panel,controller,common_bank_spearman_mean,rank_defined_roots,rank_undefined_roots,native_selected_return_mean,finite_set_regret_mean,selected_raw_prediction_bias_mean,selected_clipped_prediction_bias_mean,common_bank_raw_return_mse_mean,common_bank_clipped_return_mse_mean,reward_prediction_clipping_fraction_mean
ordinary,free-283-rs64,0.9858344761874989,64,0,-1.6475756485636575,0.15955502964741317,-0.03870069497104314,-0.038700683678756925,0.43461639644098554,0.4346198339592223,4.0690104166666664e-05
ordinary,free-283-rs256,0.9858344761874989,64,0,-1.6475898860925708,0.15956926717632663,-0.038670185374106006,-0.03867017408181979,0.43461639644098554,0.4346198339592223,5.5948893229166664e-05
ordinary,free-283-cem256,0.9858344761874989,64,0,-1.6199293453441308,0.13190872642788648,-0.04624505414773447,-0.04624505222688166,0.43461639644098554,0.4346198339592223,2.0345052083333332e-05
ordinary,free-293-rs64,0.9848464670794997,64,0,-1.6488643117515829,0.16084369283533848,0.3572229167364063,0.35441008687824854,0.40930574534556524,0.40900281087781726,0.0012003580729166665
ordinary,free-293-rs256,0.9848464670794997,64,0,-1.6488838009016664,0.16086318198542204,0.3572473074372001,0.35443447757904234,0.40930574534556524,0.40900281087781726,0.0007731119791666666
ordinary,free-293-cem256,0.9848464670794997,64,0,-1.618374824932198,0.13035420601595357,0.33346774376777816,0.3316862573273282,0.40930574534556524,0.40900281087781726,0.005045572916666666
ordinary,residual-293-rs64,0.9875357702753214,64,0,-1.6467356599688974,0.15871504105265316,0.11737773491148625,0.1173777384039459,0.31502576826210316,0.31502576598266163,0.0
ordinary,residual-293-rs256,0.9875357702753214,64,0,-1.6467565518283622,0.15873593291211802,0.11741648755887171,0.11741649116774669,0.31502576826210316,0.31502576598266163,0.0
ordinary,residual-293-cem256,0.9875357702753214,64,0,-1.5888858748747916,0.10086525595854728,0.073101628551627,0.07310163850513701,0.31502576826210316,0.31502576598266163,0.0
shift,free-271-rs64,0.9794979064880601,64,0,-1.6500700003258566,0.16204938140961256,0.032509194485671904,0.03235988057224647,0.541429807017968,0.54127834286716,0.00022379557291666666
shift,free-271-rs256,0.9794979064880601,64,0,-1.6500864663439119,0.16206584742766783,0.03257221178950442,0.032422897817871325,0.541429807017968,0.54127834286716,8.138020833333333e-05
shift,free-271-cem256,0.9794979064880601,64,0,-1.682374118760794,0.19435349984454953,0.09478701868546881,0.09445719705299228,0.541429807017968,0.54127834286716,0.0011138916015625
shift,residual-271-rs64,0.9882218682446622,64,0,-1.6331517348973392,0.14513111598109504,-0.02227902254328731,-0.022279012764400277,0.31972832338832513,0.31972833546925417,0.0
shift,residual-271-rs256,0.9882218682446622,64,0,-1.6331517348973392,0.14513111598109504,-0.02227902254328731,-0.022279012764400277,0.31972832338832513,0.31972833546925417,0.0
shift,residual-271-cem256,0.9882218682446622,64,0,-1.5711871365386259,0.08316651762238181,-0.06049789335129651,-0.060497905749528284,0.31972832338832513,0.31972833546925417,0.0
shift,residual-283-rs64,0.987004205895426,64,0,-1.6393021119318274,0.15128149301558308,0.09958173218437698,0.09958173451268341,0.37101293640668265,0.37101292075836106,0.0
shift,residual-283-rs256,0.987004205895426,64,0,-1.6392987486960173,0.151278129779773,0.09958503139743508,0.09958503395857216,0.37101293640668265,0.37101292075836106,0.0
shift,residual-283-cem256,0.987004205895426,64,0,-1.5744093942916713,0.08638877537542697,0.05178492970250012,0.05178497405673774,0.37101293640668265,0.37101292075836106,0.0
shift,free-283-rs64,0.9857271616270593,64,0,-1.6444358224301177,0.15641520351387322,0.03250906341900535,0.03217081439407028,0.4384213046438422,0.4384266442805754,0.00022379557291666666
shift,free-283-rs256,0.9857271616270593,64,0,-1.644450059959031,0.1564294410427867,0.03253917813517085,0.03220093004155836,0.4384213046438422,0.4384266442805754,0.00012715657552083334
shift,free-283-cem256,0.9857271616270593,64,0,-1.6198196606372042,0.1317990417209597,0.024196565291986216,0.023858345778335233,0.4384213046438422,0.4384266442805754,0.0012003580729166667
shift,free-293-rs64,0.9847155433157635,64,0,-1.6502860677778757,0.16226544886163133,0.46850841944115584,0.45810004757959744,0.4920417570084737,0.4902172291795026,0.0032145182291666665
shift,free-293-rs256,0.9847155433157635,64,0,-1.6503055569279592,0.1622849380117149,0.46853280292419963,0.4581244310626412,0.4920417570084737,0.4902172291795026,0.002471923828125
shift,free-293-cem256,0.9847155433157635,64,0,-1.6215076510383952,0.13348703212215088,0.4424921363065223,0.4342740671531501,0.4920417570084737,0.4902172291795026,0.016270955403645832
shift,residual-293-rs64,0.9871444298449185,64,0,-1.6467356599688974,0.15871504105265316,0.1167252453098518,0.11672525869761381,0.3894518877599349,0.38945188986095347,0.0
shift,residual-293-rs256,0.9871444298449185,64,0,-1.6467565518283622,0.15873593291211802,0.1167640172821807,0.11676403055352738,0.3894518877599349,0.38945188986095347,0.0
shift,residual-293-cem256,0.9871444298449185,64,0,-1.5923584573910816,0.10433783847483735,0.07250906527128653,0.07250908156943159,0.3894518877599349,0.38945188986095347,0.0
