panel,controller,mean_episode_cost,setup_seconds,decision_wall_seconds,native_step_seconds,row_wall_seconds
shift,residual-283-rs64,10.775355958234394,0.04589008307084441,1.9756568307057023,0.10879149870015681,2.1616086249705404
shift,residual-283-rs256,10.744519744964586,0.049776332918554544,6.301619627978653,0.10560078988783062,6.486354582943022
shift,residual-283-cem256,8.342890348480767,0.044830041006207466,6.669627578463405,0.11238311906345189,6.857145957881585
shift,free-283-rs64,11.443972315071782,0.05481416708789766,1.7665702062658966,0.10932437633164227,1.9616289581172168
shift,free-283-rs256,11.441094634572185,0.04508504085242748,6.256140872836113,0.10939428955316544,6.441776416031644
shift,free-283-cem256,8.863865898437254,0.04779129195958376,6.080336003098637,0.110523751238361,6.270119084045291
shift,free-293-rs64,11.642624934692606,0.04748745798133314,1.7853405859787017,0.10805825097486377,1.971602583071217
shift,free-293-rs256,11.64274025035782,0.04292945796623826,6.110201456584036,0.10904487245716155,6.293161124922335
shift,free-293-cem256,9.37841221695193,0.04613262484781444,6.277120376005769,0.13085171161219478,6.486157916951925
shift,residual-293-rs64,11.642626063212042,0.04837458301335573,1.8643862074241042,0.10537175228819251,2.0469107078388333
shift,residual-293-rs256,11.642585082220895,0.04388491692952812,6.725813163211569,0.10975266480818391,6.9105363339185715
shift,residual-293-cem256,8.680469806951173,0.049036958953365684,6.742866086540744,0.10907303704880178,6.9316821249667555
shift,known_state,7.25932314915093,0.048667874885722995,26.273972955765203,0.10955083463340998,26.49718724982813
shift,particle,7.49060432880753,0.438587750075385,28.82870120438747,0.1108645002823323,29.44132158299908
shift,zero,11.642617724742031,0.06191816693171859,0.0001635414082556963,0.09708762890659273,0.1921604590024799
shift,uniform,42.437480311529924,0.04839595779776573,0.00017728982493281364,0.08891566935926676,0.1710953749716282
