family,seed,regime,scope,episodes,supported_episodes,declared_case_count,supported_case_count,weight_mass,nonquery_rows,episode_weighted_agreement,episode_weighted_raw_gap,episode_weighted_centered_mse,episode_weighted_first_argmin_match,evidence_scope,eligible_for_continuation
gru_spo,295000002,lambda4,postcorrection,18,15,6,6,0.8333333333333334,8317,0.5224657297740821,0.10917623738024236,0.3573725793126766,0.5019432251507003,Descriptive saved-output arithmetic only; original training parent unverified,False
innovation_aux,295000003,lambda3,initial,18,18,6,6,1.0,54,0.7222222222222222,0.023567641222918476,0.021446598848386757,0.3888888888888889,Descriptive saved-output arithmetic only; original training parent unverified,False
innovation_aux,295000003,lambda3,full,18,18,6,6,1.0,5198,0.6872392435401592,0.10032134137777125,0.11108100141490201,0.5893076377035933,Descriptive saved-output arithmetic only; original training parent unverified,False
innovation_aux,295000003,lambda3,postcorrection,18,17,6,6,0.9444444444444444,5144,0.6173072824309158,0.11891165232587225,0.12487192709767456,0.6172055323291656,Descriptive saved-output arithmetic only; original training parent unverified,False
innovation_aux,295000003,lambda4,initial,18,18,6,6,1.0,52,0.6111111111111112,0.06577240096198188,0.049787865648621345,0.5185185185185186,Descriptive saved-output arithmetic only; original training parent unverified,False
innovation_aux,295000003,lambda4,full,18,18,6,6,1.0,8369,0.6580892621017843,0.06590853158494699,0.09338580770596598,0.6231316288351931,Descriptive saved-output arithmetic only; original training parent unverified,False
innovation_aux,295000003,lambda4,postcorrection,18,15,6,6,0.8333333333333334,8317,0.5129432403698231,0.06976551261771564,0.09103061279948249,0.4989526013791841,Descriptive saved-output arithmetic only; original training parent unverified,False
innovation_spo,295000003,lambda3,initial,18,18,6,6,1.0,54,0.7962962962962963,0.022071449844925494,0.12969050690175424,0.6296296296296297,Descriptive saved-output arithmetic only; original training parent unverified,False
innovation_spo,295000003,lambda3,full,18,18,6,6,1.0,5198,0.6943531409285603,0.11656058743677672,0.35051710820939486,0.6188812832164527,Descriptive saved-output arithmetic only; original training parent unverified,False
innovation_spo,295000003,lambda3,postcorrection,18,17,6,6,0.9444444444444444,5144,0.6141206848777405,0.13862735856197073,0.36979384902161083,0.6097793472030696,Descriptive saved-output arithmetic only; original training parent unverified,False
