architecture,seed,regime,scope,direction,episodes,weight_mass,aux_episode_weighted_agreement,spo_episode_weighted_agreement,delta_episode_weighted_agreement,aux_episode_weighted_raw_gap,spo_episode_weighted_raw_gap,delta_episode_weighted_raw_gap,aux_episode_weighted_centered_mse,spo_episode_weighted_centered_mse,delta_episode_weighted_centered_mse,aux_episode_weighted_first_argmin_match,spo_episode_weighted_first_argmin_match,delta_episode_weighted_first_argmin_match,evidence_scope,eligible_for_continuation
innovation,295000001,lambda3,initial,SPO minus AUX,18,1.0,0.7777777777777778,0.8518518518518519,0.07407407407407407,0.025067611976906105,0.01181953924673575,-0.013248072730170354,0.019956845152972004,0.11714671680364733,0.09718987165067533,0.3888888888888889,0.7962962962962963,0.4074074074074074,Descriptive saved-output arithmetic only; original training parent unverified,False
innovation,295000003,lambda4,initial,SPO minus AUX,18,1.0,0.6111111111111112,0.6481481481481481,0.03703703703703698,0.06577240096198188,0.02184618843926324,-0.04392621252271864,0.049787865648621345,0.16891515901530518,0.11912729336668385,0.5185185185185186,0.537037037037037,0.01851851851851838,Descriptive saved-output arithmetic only; original training parent unverified,False
innovation,295000001,lambda4,full,SPO minus AUX,18,1.0,0.6378161150718229,0.7471289242215415,0.10931280914971864,0.11667612053134811,0.0777792350801799,-0.038896885451168206,0.1350496815023468,0.43840085870313666,0.30335117720078986,0.5023632359717775,0.7468919413520175,0.24452870538024007,Descriptive saved-output arithmetic only; original training parent unverified,False
innovation,295000002,lambda4,full,SPO minus AUX,18,1.0,0.6992999695225094,0.7113125463849165,0.012012576862407087,0.0550337439048321,0.08672078235806285,0.03168703845323075,0.08230019789202736,0.3698663230267245,0.28756612513469715,0.6831083376905427,0.6344512635821347,-0.04865707410840803,Descriptive saved-output arithmetic only; original training parent unverified,False
innovation,295000003,lambda4,full,SPO minus AUX,18,1.0,0.6580892621017843,0.7260827363075442,0.06799347420575985,0.06590853158494699,0.05398391965532714,-0.011924611929619848,0.09338580770596598,0.36140254776896086,0.26801674006299486,0.6231316288351931,0.680838353768829,0.05770672493363582,Descriptive saved-output arithmetic only; original training parent unverified,False
innovation,295000001,lambda4,postcorrection,SPO minus AUX,18,0.8333333333333334,0.5185849398997759,0.5863632987488823,0.06777835884910632,0.08399424867403787,0.09947125620627645,0.015477007532238574,0.10223800304335096,0.454743855932573,0.35250585288922204,0.5185171064986092,0.5861937152459654,0.06767660874735626,Descriptive saved-output arithmetic only; original training parent unverified,False
innovation,295000002,lambda4,postcorrection,SPO minus AUX,18,0.8333333333333334,0.5387577892345246,0.5592390762823638,0.020481287047839247,0.07463264855696025,0.11323562487518639,0.03860297631822614,0.09221561892440118,0.3688031031361517,0.27658748421175056,0.5350820668088021,0.5451127704893914,0.010030703680589337,Descriptive saved-output arithmetic only; original training parent unverified,False
innovation,295000003,lambda4,postcorrection,SPO minus AUX,18,0.8333333333333334,0.5129432403698231,0.5334618608360028,0.020518620466179693,0.06976551261771564,0.07551435607388082,0.0057488434561651786,0.09103061279948249,0.35171909642659194,0.26068848362710945,0.4989526013791841,0.5332922773330859,0.034339675953901805,Descriptive saved-output arithmetic only; original training parent unverified,False
gru,295000001,lambda3,initial,SPO minus AUX,18,1.0,0.8518518518518519,0.8888888888888888,0.03703703703703698,0.011592335171169706,0.012472770832203052,0.0008804356610333467,0.01423321661281273,0.10849089956382137,0.09425768295100864,0.48148148148148145,0.574074074074074,0.0925925925925925,Descriptive saved-output arithmetic only; original training parent unverified,False
gru,295000002,lambda3,initial,SPO minus AUX,18,1.0,0.7407407407407407,0.8518518518518519,0.11111111111111116,0.02474693015769676,0.012349111062509043,-0.012397819095187716,0.017176812240684833,0.11952486639734583,0.102348054156661,0.6111111111111112,0.6111111111111112,0.0,Descriptive saved-output arithmetic only; original training parent unverified,False
gru,295000003,lambda3,initial,SPO minus AUX,18,1.0,0.7222222222222222,0.8518518518518517,0.12962962962962954,0.026016376636646413,0.015249164016158492,-0.010767212620487921,0.017041579115253096,0.15289138449265308,0.1358498053774,0.4444444444444444,0.537037037037037,0.09259259259259256,Descriptive saved-output arithmetic only; original training parent unverified,False
gru,295000001,lambda3,full,SPO minus AUX,18,1.0,0.7109083007347865,0.6669024243379178,-0.044005876396868704,0.09917776862850175,0.12888257798709687,0.029704809358595125,0.10283916245911956,0.3238103020323476,0.22097113957322806,0.6129089855069281,0.577636411490528,-0.03527257401640005,Descriptive saved-output arithmetic only; original training parent unverified,False
gru,295000002,lambda3,full,SPO minus AUX,18,1.0,0.645718729986386,0.681517979649334,0.03579924966294801,0.09812284664268565,0.12899430710914836,0.030871460466462705,0.09787315049348365,0.3326279198229366,0.23475476932945294,0.595777544628534,0.6008188964746263,0.0050413518460922235,Descriptive saved-output arithmetic only; original training parent unverified,False
gru,295000003,lambda3,full,SPO minus AUX,18,1.0,0.6770338331974369,0.6849699893300955,0.007936156132658523,0.07830049945421524,0.14447290956310668,0.06617241010889144,0.09092474545587524,0.46844797440551805,0.3775232289496428,0.6062524841729194,0.5955685577001206,-0.01068392647279881,Descriptive saved-output arithmetic only; original training parent unverified,False
gru,295000001,lambda3,postcorrection,SPO minus AUX,18,0.9444444444444444,0.6231993852735017,0.5622757207314161,-0.06092366454208564,0.12051686493171324,0.15578462623617995,0.03526776130446671,0.11605597571319391,0.3471262926407118,0.2310703169275179,0.6230976351717517,0.5622757207314161,-0.06082191444033558,Descriptive saved-output arithmetic only; original training parent unverified,False
gru,295000002,lambda3,postcorrection,SPO minus AUX,18,0.9444444444444444,0.5873646700480543,0.5878747365605362,0.000510066512481977,0.1124299182969559,0.1554703679382988,0.043040449641342904,0.10846356666983054,0.3577393213636427,0.2492757546938122,0.5873646700480543,0.5877729864587862,0.0004083164107319126,Descriptive saved-output arithmetic only; original training parent unverified,False
gru,295000003,lambda3,postcorrection,SPO minus AUX,18,0.9444444444444444,0.6221225043355096,0.5860071071868682,-0.036115397148641426,0.08736609474257012,0.17435630823634166,0.08699021349377153,0.10150801753620199,0.5088902137254823,0.4073821961892803,0.6220546709343429,0.5858714403845346,-0.03618323054980821,Descriptive saved-output arithmetic only; original training parent unverified,False
gru,295000001,lambda4,initial,SPO minus AUX,18,1.0,0.5555555555555556,0.7777777777777778,0.2222222222222222,0.11271138544435853,0.034236395800555194,-0.07847498964380334,0.059838168629113925,0.14236606825551287,0.08252789962639895,0.35185185185185186,0.574074074074074,0.2222222222222221,Descriptive saved-output arithmetic only; original training parent unverified,False
gru,295000002,lambda4,initial,SPO minus AUX,18,1.0,0.5740740740740741,0.7962962962962963,0.2222222222222222,0.049069872608891243,0.06963507334391277,0.02056520073502152,0.04747567706774052,0.13869655084564228,0.09122087377790175,0.5,0.7592592592592592,0.2592592592592592,Descriptive saved-output arithmetic only; original training parent unverified,False
gru,295000003,lambda4,initial,SPO minus AUX,18,1.0,0.5925925925925926,0.7777777777777778,0.18518518518518523,0.1050136265931306,0.02045098057499638,-0.08456264601813422,0.052223538596548054,0.18586635463621487,0.13364281603966682,0.35185185185185186,0.5925925925925926,0.2407407407407407,Descriptive saved-output arithmetic only; original training parent unverified,False
gru,295000001,lambda4,full,SPO minus AUX,18,1.0,0.6529498580783787,0.6710607664910699,0.01811090841269125,0.10251684102945036,0.11400353839891657,0.011486697369466212,0.105626382035712,0.3037792651487647,0.19815288311305268,0.5174631242826869,0.5862968304474263,0.06883370616473938,Descriptive saved-output arithmetic only; original training parent unverified,False
gru,295000002,lambda4,full,SPO minus AUX,18,1.0,0.6771018840024077,0.7004143587638659,0.023312474761458257,0.05220684912221498,0.1235652862366359,0.07135843711442091,0.08734733286736354,0.3295359109904044,0.24218857812304087,0.6629760122439948,0.6867239294331018,0.02374791718910696,Descriptive saved-output arithmetic only; original training parent unverified,False
gru,295000003,lambda4,full,SPO minus AUX,18,1.0,0.6158167579374848,0.7051602057685823,0.08934344783109749,0.11024889964061696,0.058917482928557634,-0.051331416712059326,0.09991346059477411,0.3743437528665907,0.2744302922718166,0.4881649679913621,0.6089946596391181,0.12082969164775603,Descriptive saved-output arithmetic only; original training parent unverified,False
gru,295000001,lambda4,postcorrection,SPO minus AUX,18,0.8333333333333334,0.5531054919880245,0.46318441284116346,-0.08992107914686104,0.04805304860715753,0.17972984784515245,0.1316767992379949,0.09076400494510535,0.29958153163043155,0.20881752668532622,0.5391148529973855,0.4490920237487744,-0.0900228292486111,Descriptive saved-output arithmetic only; original training parent unverified,False
gru,295000002,lambda4,postcorrection,SPO minus AUX,18,0.8333333333333334,0.5241240417632484,0.5224657297740821,-0.0016583119891663278,0.07011476368095582,0.10917623738024236,0.039061473699286545,0.08612179700232213,0.3573725793126766,0.27125078231035443,0.523988374960915,0.5019432251507003,-0.02204514981021466,Descriptive saved-output arithmetic only; original training parent unverified,False
gru,295000003,lambda4,postcorrection,SPO minus AUX,18,0.8333333333333334,0.5373588779147513,0.5087313578446301,-0.02862752007012126,0.05899767130119856,0.07802065719128054,0.01902298589008198,0.08633054553222459,0.3998498923965699,0.3135193468643453,0.5372232111124178,0.4882088532212483,-0.04901435789116948,Descriptive saved-output arithmetic only; original training parent unverified,False
