family,seed,scope,collector,partition,regime,case,age,declared_case_count,episode_weighted_agreement,episode_weighted_centered_mse,episode_weighted_first_argmin_match,episode_weighted_raw_gap,episodes,nonquery_rows,supported_case_count,supported_cases,supported_episode_agreement,supported_episode_centered_mse,supported_episode_raw_gap,supported_episodes,weight_mass,zero_support_cases,zero_support_episode_ids
hold,,full,all,case,lambda3,2,all,1,0.05555555555555555,0.2279292623887655,0.05555555555555555,0.9025556643803915,3,18,1,"[{""case"":2,""regime"":""lambda3""}]",0.05555555555555555,0.2279292623887655,0.9025556643803915,3,1.0,[],[]
hold,,full,all,case,lambda3,2,1,1,0.16666666666666666,0.13820387763392597,0.16666666666666666,0.585125207901001,3,6,1,"[{""case"":2,""regime"":""lambda3""}]",0.16666666666666666,0.13820387763392597,0.585125207901001,3,1.0,[],[]
hold,,full,all,case,lambda3,2,2,1,0.0,0.30288804659826835,0.0,0.9920089642206827,3,6,1,"[{""case"":2,""regime"":""lambda3""}]",0.0,0.30288804659826835,0.9920089642206827,3,1.0,[],[]
hold,,full,all,case,lambda3,2,3,1,0.0,0.24269586293410228,0.0,1.1305328210194905,3,6,1,"[{""case"":2,""regime"":""lambda3""}]",0.0,0.24269586293410228,1.1305328210194905,3,1.0,[],[]
hold,,full,all,case,lambda3,3,all,1,0.09120455007109486,0.4387114499098508,0.09120455007109486,0.7194021775135053,3,1651,1,"[{""case"":3,""regime"":""lambda3""}]",0.09120455007109486,0.4387114499098508,0.7194021775135053,3,1.0,[],[]
hold,,full,all,case,lambda3,3,1,1,0.27117611212675197,0.17045223837790255,0.27117611212675197,0.33289733505481484,3,551,1,"[{""case"":3,""regime"":""lambda3""}]",0.27117611212675197,0.17045223837790255,0.33289733505481484,3,1.0,[],[]
hold,,full,all,case,lambda3,3,2,1,0.001218769043266301,0.3990579952945152,0.001218769043266301,0.9963129153707854,3,551,1,"[{""case"":3,""regime"":""lambda3""}]",0.001218769043266301,0.3990579952945152,0.9963129153707854,3,1.0,[],[]
hold,,full,all,case,lambda3,3,3,1,0.001218769043266301,0.7248283552758089,0.001218769043266301,0.7200090460919665,3,549,1,"[{""case"":3,""regime"":""lambda3""}]",0.001218769043266301,0.7248283552758089,0.7200090460919665,3,1.0,[],[]
hold,,full,all,case,lambda3,4,all,1,0.3018992484257566,0.4985886194911869,0.3018992484257566,0.8051654098723057,3,1651,1,"[{""case"":4,""regime"":""lambda3""}]",0.3018992484257566,0.4985886194911869,0.8051654098723057,3,1.0,[],[]
hold,,full,all,case,lambda3,4,1,1,0.329981718464351,0.2629771444977313,0.329981718464351,0.5202104367547323,3,551,1,"[{""case"":4,""regime"":""lambda3""}]",0.329981718464351,0.2629771444977313,0.5202104367547323,3,1.0,[],[]
hold,,full,all,case,lambda3,4,2,1,0.6590493601462523,0.5248151437840044,0.6590493601462523,0.5709787144448829,3,550,1,"[{""case"":4,""regime"":""lambda3""}]",0.6590493601462523,0.5248151437840044,0.5709787144448829,3,1.0,[],[]
hold,,full,all,case,lambda3,4,3,1,0.0,0.6992792683925074,0.0,1.3517016513110807,3,550,1,"[{""case"":4,""regime"":""lambda3""}]",0.0,0.6992792683925074,1.3517016513110807,3,1.0,[],[]
hold,,full,all,case,lambda3,5,all,1,0.2997863247863248,0.3779117201078421,0.2997863247863248,0.6504903227345556,3,83,1,"[{""case"":5,""regime"":""lambda3""}]",0.2997863247863248,0.3779117201078421,0.6504903227345556,3,1.0,[],[]
hold,,full,all,case,lambda3,5,1,1,0.5622710622710623,0.17870996399793462,0.5622710622710623,0.34360876253673006,3,28,1,"[{""case"":5,""regime"":""lambda3""}]",0.5622710622710623,0.17870996399793462,0.34360876253673006,3,1.0,[],[]
hold,,full,all,case,lambda3,5,2,1,0.18223443223443225,0.40038943951946687,0.18223443223443225,0.7044690717489291,3,28,1,"[{""case"":5,""regime"":""lambda3""}]",0.18223443223443225,0.40038943951946687,0.7044690717489291,3,1.0,[],[]
