family,seed,split,partition,regime,case,episode_id,arm,declared_case_count,episode_weighted_centered_mse,episodes,prior_rows,supported_case_count,supported_cases,supported_episode_centered_mse,supported_episodes,weight_mass,zero_support_cases,zero_support_episode_ids
innovation_mse,275000001,train,regime,lambda3,,,,9,0.14642509818304708,27,4463,8,"[{""case"":0,""regime"":""lambda3""},{""case"":1,""regime"":""lambda3""},{""case"":2,""regime"":""lambda3""},{""case"":3,""regime"":""lambda3""},{""case"":4,""regime"":""lambda3""},{""case"":5,""regime"":""lambda3""},{""case"":7,""regime"":""lambda3""},{""case"":8,""regime"":""lambda3""}]",0.17970352958828506,22,0.8148148148148148,"[{""case"":6,""regime"":""lambda3""}]","[""train:lambda3:271000003:analytic"",""train:lambda3:271000003:neural"",""train:lambda3:271000007:analytic"",""train:lambda3:271000007:neural"",""train:lambda3:271000007:period4_hold""]"
innovation_mse,275000001,train,regime,lambda4,,,,9,0.12812120186000986,27,2298,9,"[{""case"":0,""regime"":""lambda4""},{""case"":1,""regime"":""lambda4""},{""case"":2,""regime"":""lambda4""},{""case"":3,""regime"":""lambda4""},{""case"":4,""regime"":""lambda4""},{""case"":5,""regime"":""lambda4""},{""case"":6,""regime"":""lambda4""},{""case"":7,""regime"":""lambda4""},{""case"":8,""regime"":""lambda4""}]",0.13837089800881064,25,0.9259259259259259,[],"[""train:lambda4:272000001:analytic"",""train:lambda4:272000003:period4_hold""]"
innovation_mse,275000001,train,case,lambda3,0,,,1,0.13009588973785874,3,553,1,"[{""case"":0,""regime"":""lambda3""}]",0.13009588973785874,3,1.0,[],[]
innovation_mse,275000001,train,case,lambda3,1,,,1,0.1655166128404595,3,558,1,"[{""case"":1,""regime"":""lambda3""}]",0.1655166128404595,3,1.0,[],[]
innovation_mse,275000001,train,case,lambda3,2,,,1,0.06998256810980587,3,546,1,"[{""case"":2,""regime"":""lambda3""}]",0.2099477043294176,1,0.3333333333333333,[],"[""train:lambda3:271000003:analytic"",""train:lambda3:271000003:neural""]"
innovation_mse,275000001,train,case,lambda3,3,,,1,0.21034703655821016,3,580,1,"[{""case"":3,""regime"":""lambda3""}]",0.21034703655821016,3,1.0,[],[]
innovation_mse,275000001,train,case,lambda3,4,,,1,0.07184052484111335,3,549,1,"[{""case"":4,""regime"":""lambda3""}]",0.07184052484111335,3,1.0,[],[]
innovation_mse,275000001,train,case,lambda3,5,,,1,0.11804181699038317,3,551,1,"[{""case"":5,""regime"":""lambda3""}]",0.11804181699038317,3,1.0,[],[]
innovation_mse,275000001,train,case,lambda3,6,,,1,0.0,3,0,0,[],,0,0.0,"[{""case"":6,""regime"":""lambda3""}]","[""train:lambda3:271000007:analytic"",""train:lambda3:271000007:neural"",""train:lambda3:271000007:period4_hold""]"
innovation_mse,275000001,train,case,lambda3,7,,,1,0.2106551653185941,3,571,1,"[{""case"":7,""regime"":""lambda3""}]",0.2106551653185941,3,1.0,[],[]
innovation_mse,275000001,train,case,lambda3,8,,,1,0.3413462692509988,3,555,1,"[{""case"":8,""regime"":""lambda3""}]",0.3413462692509988,3,1.0,[],[]
innovation_mse,275000001,train,case,lambda4,0,,,1,0.061571379576164986,3,12,1,"[{""case"":0,""regime"":""lambda4""}]",0.09235706936424748,2,0.6666666666666666,[],"[""train:lambda4:272000001:analytic""]"
innovation_mse,275000001,train,case,lambda4,1,,,1,0.1791925075184284,3,555,1,"[{""case"":1,""regime"":""lambda4""}]",0.1791925075184284,3,1.0,[],[]
innovation_mse,275000001,train,case,lambda4,2,,,1,0.0928685113767792,3,8,1,"[{""case"":2,""regime"":""lambda4""}]",0.1393027670651688,2,0.6666666666666666,[],"[""train:lambda4:272000003:period4_hold""]"
innovation_mse,275000001,train,case,lambda4,3,,,1,0.04871682205979058,3,37,1,"[{""case"":3,""regime"":""lambda4""}]",0.04871682205979058,3,1.0,[],[]
innovation_mse,275000001,train,case,lambda4,4,,,1,0.15785623164128915,3,552,1,"[{""case"":4,""regime"":""lambda4""}]",0.15785623164128915,3,1.0,[],[]
innovation_mse,275000001,train,case,lambda4,5,,,1,0.17548945217238776,3,551,1,"[{""case"":5,""regime"":""lambda4""}]",0.17548945217238776,3,1.0,[],[]
innovation_mse,275000001,train,case,lambda4,6,,,1,0.14427896124911774,3,553,1,"[{""case"":6,""regime"":""lambda4""}]",0.14427896124911774,3,1.0,[],[]
innovation_mse,275000001,train,case,lambda4,7,,,1,0.070845712011819,3,18,1,"[{""case"":7,""regime"":""lambda4""}]",0.070845712011819,3,1.0,[],[]
innovation_mse,275000001,train,case,lambda4,8,,,1,0.222271239134312,3,12,1,"[{""case"":8,""regime"":""lambda4""}]",0.222271239134312,3,1.0,[],[]
innovation_mse,275000001,train,episode,lambda3,0,train:lambda3:271000001:analytic,analytic,1,0.16680155747027925,1,2,1,"[{""case"":0,""regime"":""lambda3""}]",0.16680155747027925,1,1.0,[],[]
innovation_mse,275000001,train,episode,lambda3,0,train:lambda3:271000001:neural,neural,1,0.086297339902805,1,5,1,"[{""case"":0,""regime"":""lambda3""}]",0.086297339902805,1,1.0,[],[]
innovation_mse,275000001,train,episode,lambda3,0,train:lambda3:271000001:period4_hold,period4_hold,1,0.13718877184049197,1,546,1,"[{""case"":0,""regime"":""lambda3""}]",0.13718877184049197,1,1.0,[],[]
innovation_mse,275000001,train,episode,lambda3,1,train:lambda3:271000002:neural,neural,1,0.07870672896285669,1,5,1,"[{""case"":1,""regime"":""lambda3""}]",0.07870672896285669,1,1.0,[],[]
innovation_mse,275000001,train,episode,lambda3,1,train:lambda3:271000002:period4_hold,period4_hold,1,0.2700118891258556,1,546,1,"[{""case"":1,""regime"":""lambda3""}]",0.2700118891258556,1,1.0,[],[]
innovation_mse,275000001,train,episode,lambda3,1,train:lambda3:271000002:analytic,analytic,1,0.1478312204326662,1,7,1,"[{""case"":1,""regime"":""lambda3""}]",0.1478312204326662,1,1.0,[],[]
innovation_mse,275000001,train,episode,lambda3,2,train:lambda3:271000003:period4_hold,period4_hold,1,0.2099477043294176,1,546,1,"[{""case"":2,""regime"":""lambda3""}]",0.2099477043294176,1,1.0,[],[]
innovation_mse,275000001,train,episode,lambda3,2,train:lambda3:271000003:analytic,analytic,1,0.0,1,0,0,[],,0,0.0,"[{""case"":2,""regime"":""lambda3""}]","[""train:lambda3:271000003:analytic""]"
innovation_mse,275000001,train,episode,lambda3,2,train:lambda3:271000003:neural,neural,1,0.0,1,0,0,[],,0,0.0,"[{""case"":2,""regime"":""lambda3""}]","[""train:lambda3:271000003:neural""]"
innovation_mse,275000001,train,episode,lambda3,3,train:lambda3:271000004:analytic,analytic,1,0.10410624960773429,1,16,1,"[{""case"":3,""regime"":""lambda3""}]",0.10410624960773429,1,1.0,[],[]
innovation_mse,275000001,train,episode,lambda3,3,train:lambda3:271000004:neural,neural,1,0.1631687742760377,1,18,1,"[{""case"":3,""regime"":""lambda3""}]",0.1631687742760377,1,1.0,[],[]
innovation_mse,275000001,train,episode,lambda3,3,train:lambda3:271000004:period4_hold,period4_hold,1,0.36376608579085845,1,546,1,"[{""case"":3,""regime"":""lambda3""}]",0.36376608579085845,1,1.0,[],[]
innovation_mse,275000001,train,episode,lambda3,4,train:lambda3:271000005:neural,neural,1,0.05162250324059414,1,2,1,"[{""case"":4,""regime"":""lambda3""}]",0.05162250324059414,1,1.0,[],[]
innovation_mse,275000001,train,episode,lambda3,4,train:lambda3:271000005:period4_hold,period4_hold,1,0.13147106883196022,1,546,1,"[{""case"":4,""regime"":""lambda3""}]",0.13147106883196022,1,1.0,[],[]
innovation_mse,275000001,train,episode,lambda3,4,train:lambda3:271000005:analytic,analytic,1,0.0324280024507857,1,1,1,"[{""case"":4,""regime"":""lambda3""}]",0.0324280024507857,1,1.0,[],[]
innovation_mse,275000001,train,episode,lambda3,5,train:lambda3:271000006:period4_hold,period4_hold,1,0.15816581036943064,1,546,1,"[{""case"":5,""regime"":""lambda3""}]",0.15816581036943064,1,1.0,[],[]
innovation_mse,275000001,train,episode,lambda3,5,train:lambda3:271000006:analytic,analytic,1,0.049246184480011834,1,2,1,"[{""case"":5,""regime"":""lambda3""}]",0.049246184480011834,1,1.0,[],[]
innovation_mse,275000001,train,episode,lambda3,5,train:lambda3:271000006:neural,neural,1,0.14671345612170703,1,3,1,"[{""case"":5,""regime"":""lambda3""}]",0.14671345612170703,1,1.0,[],[]
innovation_mse,275000001,train,episode,lambda3,6,train:lambda3:271000007:analytic,analytic,1,0.0,1,0,0,[],,0,0.0,"[{""case"":6,""regime"":""lambda3""}]","[""train:lambda3:271000007:analytic""]"
innovation_mse,275000001,train,episode,lambda3,6,train:lambda3:271000007:neural,neural,1,0.0,1,0,0,[],,0,0.0,"[{""case"":6,""regime"":""lambda3""}]","[""train:lambda3:271000007:neural""]"
innovation_mse,275000001,train,episode,lambda3,6,train:lambda3:271000007:period4_hold,period4_hold,1,0.0,1,0,0,[],,0,0.0,"[{""case"":6,""regime"":""lambda3""}]","[""train:lambda3:271000007:period4_hold""]"
innovation_mse,275000001,train,episode,lambda3,7,train:lambda3:271000008:neural,neural,1,0.22311682110620268,1,13,1,"[{""case"":7,""regime"":""lambda3""}]",0.22311682110620268,1,1.0,[],[]
innovation_mse,275000001,train,episode,lambda3,7,train:lambda3:271000008:period4_hold,period4_hold,1,0.2860662990156868,1,546,1,"[{""case"":7,""regime"":""lambda3""}]",0.2860662990156868,1,1.0,[],[]
innovation_mse,275000001,train,episode,lambda3,7,train:lambda3:271000008:analytic,analytic,1,0.12278237583389284,1,12,1,"[{""case"":7,""regime"":""lambda3""}]",0.12278237583389284,1,1.0,[],[]
