arm,condition,size,fit_count,episodes_per_fit,assigned_episode_observations,mean_success,mean_wrong_goal,mean_timeout,mean_native_return,mean_episode_length,intact_minus_condition_success_percentage_points
feedforward,reset_all,17,3,128,384,0.0,0.0,1.0,0.0,128.0,0.0
feedforward,reset_all,23,3,128,384,0.0,0.0,1.0,0.0,128.0,0.0
fast_global,cue_swapped,11,3,128,384,0.171875,0.16145833333333334,0.6666666666666666,0.1597900390625,88.66666666666667,0.0
fast_global,cue_swapped,17,3,128,384,0.18229166666666666,0.15104166666666666,0.6666666666666666,0.16178385416666666,90.66666666666667,0.0
fast_global,cue_swapped,23,3,128,384,0.1640625,0.16927083333333334,0.6666666666666666,0.13868408203125002,92.66666666666667,0.0
fast_global,intact,11,3,128,384,0.171875,0.16145833333333334,0.6666666666666666,0.1597900390625,88.66666666666667,0.0
fast_global,intact,17,3,128,384,0.18229166666666666,0.15104166666666666,0.6666666666666666,0.16178385416666666,90.66666666666667,0.0
fast_global,intact,23,3,128,384,0.1640625,0.16927083333333334,0.6666666666666666,0.13868408203125002,92.66666666666667,0.0
fast_global,native_start,11,3,128,384,0.171875,0.16145833333333334,0.6666666666666666,0.16315917968750002,87.76302083333333,0.0
fast_global,native_start,17,3,128,384,0.18229166666666666,0.15104166666666666,0.6666666666666666,0.16865030924479166,88.84895833333333,0.0
fast_global,native_start,23,3,128,384,0.1640625,0.16927083333333334,0.6666666666666666,0.150091552734375,89.57552083333333,0.0
fast_global,reset_all,11,3,128,384,0.0,0.0,1.0,0.0,128.0,17.1875
fast_global,reset_all,17,3,128,384,0.0,0.0,1.0,0.0,128.0,18.229166666666664
fast_global,reset_all,23,3,128,384,0.0,0.0,1.0,0.0,128.0,16.40625
fast_global,reset_store,11,3,128,384,0.0,0.0,1.0,0.0,128.0,17.1875
fast_global,reset_store,17,3,128,384,0.0,0.0,1.0,0.0,128.0,18.229166666666664
fast_global,reset_store,23,3,128,384,0.0,0.0,1.0,0.0,128.0,16.40625
fast_selective,cue_swapped,11,3,128,384,0.171875,0.16145833333333334,0.6666666666666666,0.1597900390625,88.66666666666667,0.0
fast_selective,cue_swapped,17,3,128,384,0.18229166666666666,0.15104166666666666,0.6666666666666666,0.16178385416666666,90.66666666666667,0.0
fast_selective,cue_swapped,23,3,128,384,0.1640625,0.16927083333333334,0.6666666666666666,0.13868408203125002,92.66666666666667,0.0
fast_selective,intact,11,3,128,384,0.171875,0.16145833333333334,0.6666666666666666,0.1597900390625,88.66666666666667,0.0
fast_selective,intact,17,3,128,384,0.18229166666666666,0.15104166666666666,0.6666666666666666,0.16178385416666666,90.66666666666667,0.0
fast_selective,intact,23,3,128,384,0.1640625,0.16927083333333334,0.6666666666666666,0.13868408203125002,92.66666666666667,0.0
fast_selective,native_start,11,3,128,384,0.171875,0.16145833333333334,0.6666666666666666,0.164202880859375,87.48958333333333,0.0
fast_selective,native_start,17,3,128,384,0.18229166666666666,0.15104166666666666,0.6666666666666666,0.1692545572916667,88.69270833333333,0.0
fast_selective,native_start,23,3,128,384,0.1640625,0.16927083333333334,0.6666666666666666,0.15089721679687498,89.40364583333333,0.0
fast_selective,reset_all,11,3,128,384,0.171875,0.16145833333333334,0.6666666666666666,0.1597900390625,88.66666666666667,0.0
fast_selective,reset_all,17,3,128,384,0.18229166666666666,0.15104166666666666,0.6666666666666666,0.16178385416666666,90.66666666666667,0.0
fast_selective,reset_all,23,3,128,384,0.1640625,0.16927083333333334,0.6666666666666666,0.13868408203125002,92.66666666666667,0.0
fast_selective,reset_store,11,3,128,384,0.171875,0.16145833333333334,0.6666666666666666,0.1597900390625,88.66666666666667,0.0
fast_selective,reset_store,17,3,128,384,0.18229166666666666,0.15104166666666666,0.6666666666666666,0.16178385416666666,90.66666666666667,0.0
fast_selective,reset_store,23,3,128,384,0.1640625,0.16927083333333334,0.6666666666666666,0.13868408203125002,92.66666666666667,0.0
random,intact,11,1,128,128,0.0078125,0.0234375,0.96875,0.00330810546875,127.390625,0.0
random,intact,17,1,128,128,0.0,0.0,1.0,0.0,128.0,0.0
random,intact,23,1,128,128,0.0,0.0,1.0,0.0,128.0,0.0
