regime,arm,family,fit_seed,raw_found,episodes,cases_per_hit,choose_seconds,controller_seconds,environment_seconds,found,init_seconds,setup_allocation_seconds,state_bytes,steps,update_seconds
lambda3,neighbor_free@10103,neighbor_free,10103,9,24,8,6.0169581477998735,6.072584240196191,3.348857943331211,0.11171989925558608,9.817319646895648e-05,7.329409924784192e-06,22472.0,1944.4871824023971,0.05552058978992363
lambda3,cnn@10103,cnn,10103,9,24,8,15.71364266577727,15.762301133221627,2.891444121657115,0.27613569517736125,9.992138811521077e-05,8.390163700958645e-06,22472.0,1588.7449798637056,0.04855015589254188
lambda3,dense128@10103,dense128,10103,5,24,8,1.4773029698367344,1.527554944305218,3.0414238322089644,0.15722949177313075,0.00010777999578439855,0.00016414999996346456,22472.0,1845.2100787786164,0.049980044472735935
lambda3,statistics@10103,statistics,10103,3,24,8,1.700808863079256,1.7565590651184775,3.4280283083501772,0.03723996641852869,9.881179595546258e-05,8.64709231623069e-06,22472.0,2106.9751768357287,0.05564274315095002
lambda3,analytic_inbounds,analytic_inbounds,,24,24,8,0.01011413585937497,0.01125878626984175,0.05213610641352491,1.0,0.00010790359766996647,0.0,22472.0,32.55148853828866,0.0010367468127968139
lambda4,spatial@10101,spatial,10101,10,24,8,7.959874378219928,8.01156789878698,3.094857257824051,0.18765377302281896,0.00010438878263000845,9.637259602270744e-06,22472.0,1778.6283803481672,0.051579494524820454
lambda4,neighbor_free@10101,neighbor_free,10101,12,24,8,5.313284407831974,5.362306575670674,2.954224684993307,0.20709098778378324,9.646344434802334e-05,1.724317704361898e-05,22472.0,1736.2655956682713,0.04890846121730865
lambda4,cnn@10101,cnn,10101,9,24,8,17.63479057435171,17.688606705504696,3.20968686672717,0.18331164428289287,9.813182400411933e-05,9.849064345299093e-06,22472.0,1788.0822182606732,0.05370815026463526
lambda4,dense128@10101,dense128,10101,3,24,8,1.4935563842743185,1.5446424993246606,3.1295152694260224,0.13575295728111214,0.0001106332706652826,0.00019643413209080422,22472.0,1892.6918270217016,0.05077904764758583
lambda4,statistics@10101,statistics,10101,6,24,8,1.2891456234674372,1.3311767801341068,2.606004866716749,0.26075295728111214,9.701885914323096e-05,9.17895188279174e-06,22472.0,1622.1741509606964,0.041924958855643644
lambda4,spatial@10102,spatial,10102,14,24,8,5.883357006882199,5.921467417947335,2.300986879462644,0.4074636009807425,9.703802901610572e-05,7.938772991851525e-06,22472.0,1304.6092042659043,0.03800543426312807
