recording,arm,seed,learning_rate,horizon,status,selected,error_type,error_message,standardized_rmse,standardized_sse,scalars,physical_rmse_deg,windows,joint_1_rmse_deg,joint_2_rmse_deg,joint_3_rmse_deg,joint_4_rmse_deg,joint_5_rmse_deg,joint_6_rmse_deg
recording_2021_12_15_22H_41M.mat,joint_local_affine,8101,0.003,128,PASS,True,,,0.5803200003985989,5690.087933166993,16896,17.317355882544298,22,10.320991393938987,5.571067384045102,12.990327533843068,29.175462895448103,15.426631202655342,20.095970704643417
recording_2021_12_15_22H_41M.mat,joint_local_affine,8102,0.003,64,PASS,True,,,0.5522828398494093,2576.7779997030993,8448,16.522145754600267,22,6.442328956177096,4.111616004851808,10.845765204426424,27.504496555069196,19.59137538730248,17.931226123247146
recording_2021_12_15_22H_41M.mat,joint_local_affine,8102,0.003,128,PASS,True,,,0.6071577929754078,6228.551333803699,16896,18.508788801271045,22,10.960740346499374,4.465638253074144,12.070734067395003,29.360506991664312,19.051211619696975,23.33840541849043
recording_2021_12_15_22H_41M.mat,joint_local_affine,8103,0.003,64,PASS,True,,,0.5617076894193882,2665.475183525028,8448,16.744035236298995,22,8.479597574072136,4.119543114449769,12.433036491371297,26.368147203312642,18.787765794834154,19.760120409138164
recording_2021_12_15_22H_41M.mat,joint_local_affine,8103,0.003,128,PASS,True,,,0.5881719352331689,5845.107424289651,16896,17.500631455600285,22,10.473018547300066,4.384523555943274,13.305581473237833,24.800459293094185,18.789513960843717,23.73978368455853
recording_2021_12_15_22H_41M.mat,joint_temporal_affine,8101,0.003,64,PASS,True,,,0.5686175978429276,2731.4578163276356,8448,16.017723579873127,22,6.39387205891442,5.073321139303343,12.6270641160296,24.086172276051258,20.506578694171882,17.682715061801627
recording_2021_12_15_22H_41M.mat,joint_temporal_affine,8101,0.003,128,PASS,True,,,0.6173645265171068,6439.723844534179,16896,17.431081931160854,22,11.759170403922571,5.394217818616607,13.25221753216726,23.669341516397623,20.82373365111182,22.049787952941703
recording_2021_12_15_22H_41M.mat,joint_temporal_affine,8102,0.003,64,PASS,True,,,0.5580750088726856,2631.1103007826396,8448,16.961689625802872,22,7.021788952045418,4.140179517341017,10.834091254290646,28.354812825950923,18.98892850004763,19.436937360824253
recording_2021_12_15_22H_41M.mat,joint_temporal_affine,8102,0.003,128,PASS,True,,,0.6151026520353923,6392.623100852277,16896,18.899510112515518,22,10.726373304978628,4.39478938072495,12.476625166511088,29.719235333042214,19.13541647778584,24.57063997691324
recording_2021_12_15_22H_41M.mat,joint_temporal_affine,8103,0.003,64,PASS,True,,,0.5506851504560712,2561.8909319125128,8448,16.336965374376877,22,6.5046402376319605,4.118257429510624,13.335665818507984,27.998960496895773,18.384678264882602,15.566954434053393
recording_2021_12_15_22H_41M.mat,joint_temporal_affine,8103,0.003,128,PASS,True,,,0.5997400752399633,6077.291115013948,16896,17.855649563846058,22,11.183096647661053,4.391192107502026,13.641812836578639,27.529387121102747,18.930040968595282,21.593713101754027
recording_2021_12_15_22H_41M.mat,dense_bounded,8101,0.001,64,PASS,True,,,0.6007739819135307,3049.1313798041338,8448,17.990223637615188,22,6.512622802616797,4.618432343492171,15.66743707728628,29.351819653865736,18.748834308584698,20.484824056196434
recording_2021_12_15_22H_41M.mat,dense_bounded,8101,0.001,128,PASS,True,,,0.6631867313131782,7431.141959406234,16896,20.672407851997438,22,8.626639589725608,5.158169642810552,15.735640373050565,33.10149769292798,18.58545972039448,27.826717615227583
recording_2021_12_15_22H_41M.mat,dense_bounded,8102,0.001,64,PASS,True,,,0.5732441369489808,2776.0874849358343,8448,17.2651444709847,22,7.397037812676841,4.726044343172145,14.90094033781321,30.576956972817644,16.44578638782481,16.85251932221016
recording_2021_12_15_22H_41M.mat,dense_bounded,8102,0.001,128,PASS,True,,,0.5974464884404805,6030.897211466456,16896,18.23482881122158,22,8.483268753413643,5.253853710666555,14.611102896546793,31.433491271373004,15.917925733248872,20.989425958835152
recording_2021_12_15_22H_41M.mat,dense_bounded,8103,0.001,64,PASS,True,,,0.5839870344911257,2881.113155321189,8448,17.62549166835414,22,7.1906830391134156,4.412877666784844,14.334686361685861,27.968188892521976,18.34278884659286,21.64734629810181
recording_2021_12_15_22H_41M.mat,dense_bounded,8103,0.001,128,PASS,True,,,0.6070998431412163,6227.3624293831435,16896,18.732860123517536,22,8.374774864489332,4.64499191095271,13.995633300481282,29.018074020812257,17.960061503612355,25.560072495740773
recording_2021_12_15_22H_41M.mat,dense_unbounded,8101,0.003,64,PASS,True,,,0.6975582151484468,4110.6908918261415,8448,21.089853871894714,22,9.963086085770522,5.49987000214364,14.579593974336541,33.425971790444464,22.480147673399383,26.53229680265804
recording_2021_12_15_22H_41M.mat,dense_unbounded,8101,0.003,128,PASS,True,,,0.8075942411142198,11019.714111113286,16896,25.116958758720802,22,14.457035444262843,6.171998904957788,15.261432572897307,39.10878737153805,23.811538286105716,34.765965109633775
recording_2021_12_15_22H_41M.mat,dense_unbounded,8102,0.003,64,PASS,True,,,0.6289605082101318,3341.955478861378,8448,18.772682746844836,22,7.751830666910289,5.9843626381593475,13.643705775297358,32.11677255670588,18.790206453002735,21.162905871362334
recording_2021_12_15_22H_41M.mat,dense_unbounded,8102,0.003,128,PASS,True,,,0.6794763141548337,7800.681487060717,16896,20.509596054260545,22,10.100248013559039,6.118129565619474,13.96432071731508,33.39313432643261,20.273869003692546,25.75424673560528
recording_2021_12_15_22H_41M.mat,dense_unbounded,8103,0.003,64,PASS,True,,,0.6188337044931191,3235.2051394432888,8448,19.045854702236518,22,6.163020290144189,4.275506202969918,15.264808821034253,31.67434358690794,19.430878791452752,22.502605072113674
recording_2021_12_15_22H_41M.mat,dense_unbounded,8103,0.003,128,PASS,True,,,0.6613647972359833,7390.367762308496,16896,20.70442062548983,22,7.331723075482874,4.940366237461167,15.35333911858902,32.74607913846981,19.406440661715216,28.447076451147684
recording_2021_12_15_22H_41M.mat,gru32,8101,0.003,64,PASS,True,,,0.6556070412867034,3631.1243661555905,8448,19.67634964421576,22,10.490683342986552,5.888947995149162,14.169816938000714,30.62213541744507,19.193959122681857,25.909675992806516
recording_2021_12_15_22H_41M.mat,gru32,8101,0.003,128,PASS,True,,,0.7265363609347086,8918.639495213169,16896,21.88486874853475,22,12.570496275859732,6.681933940850367,17.022083986855648,28.761010992981966,19.21906889422658,34.41946480230687
recording_2021_12_15_22H_41M.mat,gru32,8102,0.003,64,PASS,True,,,0.7428584089344418,4661.932625641508,8448,22.480795218807998,22,12.242645823682315,5.482991377791701,18.38010163614647,33.68594987243314,22.02992143349269,29.907901254982878
recording_2021_12_15_22H_41M.mat,gru32,8102,0.003,128,PASS,True,,,0.7390521911687463,9228.56379492031,16896,22.565934397134185,22,13.375248403354789,5.673311944083034,16.62053073006396,32.59926759858019,21.410218210559147,32.35572436975662
recording_2021_12_15_22H_41M.mat,gru32,8103,0.003,64,PASS,True,,,0.6775808233546604,3878.6100433595707,8448,19.648557344167624,22,8.954244683114826,5.229015969826738,14.038195950465846,29.045977341739043,24.703571329358166,23.619219857550057
recording_2021_12_15_22H_41M.mat,gru32,8103,0.003,128,PASS,True,,,0.6852058374412651,7932.790942155939,16896,20.163117090701448,22,11.199958150867074,5.179893954991456,14.014732013002519,26.286735510887226,23.75621149588474,28.90111795521181
recording_2021_12_15_22H_41M.mat,legacy_instant,8101,0.001,64,PASS,True,,,0.5977410847599556,3018.4231284557513,8448,18.22632195358675,22,5.813076483001736,5.121242840341082,13.44864222633415,30.806483505548677,18.20913675338662,21.718559351271466
recording_2021_12_15_22H_41M.mat,legacy_instant,8101,0.001,128,PASS,True,,,0.6263155851114732,6627.814400545993,16896,19.068049859063816,22,7.201554213296862,5.393454526533835,14.125718886954335,30.338060590794534,18.780046163569132,25.05927830883908
recording_2021_12_15_22H_41M.mat,legacy_instant,8102,0.001,64,PASS,True,,,0.5777741637377022,2820.136571221103,8448,17.124310018471885,22,8.429263447180292,4.538088077783766,13.440573051417907,28.70554747327134,18.720428176307536,17.68313731196196
recording_2021_12_15_22H_41M.mat,legacy_instant,8102,0.001,128,PASS,True,,,0.6397691884934645,6915.610767362223,16896,19.409113486544435,22,11.208979689484382,4.9106101666076185,14.398649538267483,29.609300852628053,19.10763622938019,25.71756660985035
recording_2021_12_15_22H_41M.mat,legacy_instant,8103,0.001,64,PASS,True,,,0.5686764244680971,2732.023014300682,8448,17.01069110819195,22,6.990070422162725,4.416847338480011,13.40227466295604,27.208641452870715,18.46450175046216,20.172830396518066
recording_2021_12_15_22H_41M.mat,legacy_instant,8103,0.001,128,PASS,True,,,0.6182971004322525,6459.193879191921,16896,18.899603316377153,22,10.861665659073067,4.968383291209756,13.875427486748611,31.510271117569374,17.456955838864523,22.590693629851536
