recording,arm,seed,learning_rate,horizon,status,standardized_rmse,physical_rmse_deg,error
recording_2021_12_15_22H_10M.mat,rewired_memory,8102,0.001,128,PASS,0.8086055462024722,25.494403145802302,null
recording_2021_12_15_22H_10M.mat,chain_instant,8102,0.001,64,PASS,0.7738527017837601,23.589029862394646,null
recording_2021_12_15_22H_10M.mat,chain_instant,8102,0.001,128,PASS,0.8583617653831931,26.536693546502256,null
recording_2021_12_15_22H_10M.mat,gru_residual,8102,0.001,64,PASS,0.7032414582767977,21.205377587376546,null
recording_2021_12_15_22H_10M.mat,gru_residual,8102,0.001,128,PASS,0.7635617331443862,22.390578529454547,null
recording_2021_12_15_22H_10M.mat,quadratic_ar2,8102,0.001,64,FAILED,,,"{""message"": ""not a completed trained model"", ""type"": ""FailedTrainingAttempt""}"
recording_2021_12_15_22H_10M.mat,quadratic_ar2,8102,0.001,128,FAILED,,,"{""message"": ""not a completed trained model"", ""type"": ""FailedTrainingAttempt""}"
recording_2021_12_15_22H_10M.mat,chain_memory,8103,0.0001,64,PASS,0.7129049957452435,20.924947146344927,null
recording_2021_12_15_22H_10M.mat,chain_memory,8103,0.0001,128,PASS,0.838463391505615,25.056793239003703,null
recording_2021_12_15_22H_10M.mat,rewired_memory,8103,0.0001,64,PASS,0.7134200491624298,20.934651264818985,null
recording_2021_12_15_22H_10M.mat,rewired_memory,8103,0.0001,128,PASS,0.8378953867241672,25.020469096552077,null
recording_2021_12_15_22H_10M.mat,chain_instant,8103,0.0001,64,PASS,0.7124839366116263,20.942381973937362,null
recording_2021_12_15_22H_10M.mat,chain_instant,8103,0.0001,128,PASS,0.8373577400055665,25.032199084398147,null
recording_2021_12_15_22H_10M.mat,gru_residual,8103,0.0001,64,PASS,0.7004203062134888,19.954761938352455,null
recording_2021_12_15_22H_10M.mat,gru_residual,8103,0.0001,128,PASS,0.8556723993098756,24.70300373578207,null
recording_2021_12_15_22H_10M.mat,quadratic_ar2,8103,0.0001,64,FAILED,,,"{""message"": ""not a completed trained model"", ""type"": ""FailedTrainingAttempt""}"
recording_2021_12_15_22H_10M.mat,quadratic_ar2,8103,0.0001,128,FAILED,,,"{""message"": ""not a completed trained model"", ""type"": ""FailedTrainingAttempt""}"
recording_2021_12_15_22H_10M.mat,chain_memory,8103,0.001,64,PASS,0.7629811671459645,23.55699633584458,null
recording_2021_12_15_22H_10M.mat,chain_memory,8103,0.001,128,PASS,0.8470838596833887,25.979531692959757,null
recording_2021_12_15_22H_10M.mat,rewired_memory,8103,0.001,64,PASS,0.7624576304335204,23.563454013920946,null
recording_2021_12_15_22H_10M.mat,rewired_memory,8103,0.001,128,PASS,0.8438854909873044,25.959665014620064,null
recording_2021_12_15_22H_10M.mat,chain_instant,8103,0.001,64,PASS,0.7925614237627348,23.471073018922873,null
recording_2021_12_15_22H_10M.mat,chain_instant,8103,0.001,128,PASS,0.9039013400875974,26.728984790748566,null
recording_2021_12_15_22H_10M.mat,gru_residual,8103,0.001,64,PASS,0.7232157943985963,21.52456400162728,null
recording_2021_12_15_22H_10M.mat,gru_residual,8103,0.001,128,PASS,0.806074299399977,24.46109550370073,null
recording_2021_12_15_22H_10M.mat,quadratic_ar2,8103,0.001,64,FAILED,,,"{""message"": ""not a completed trained model"", ""type"": ""FailedTrainingAttempt""}"
recording_2021_12_15_22H_10M.mat,quadratic_ar2,8103,0.001,128,FAILED,,,"{""message"": ""not a completed trained model"", ""type"": ""FailedTrainingAttempt""}"
recording_2021_12_15_22H_10M.mat,linear_frozen,,,64,PASS,0.7721459646430878,22.307090743105768,null
recording_2021_12_15_22H_10M.mat,linear_frozen,,,128,PASS,1.0861539278016477,30.85390208654057,null
recording_2021_12_15_22H_10M.mat,quadratic_frozen,,,64,FAILED,,,"{""type"": ""NonfiniteReference""}"
recording_2021_12_15_22H_10M.mat,quadratic_frozen,,,128,FAILED,,,"{""type"": ""NonfiniteReference""}"
recording_2021_12_15_22H_10M.mat,persistence,,,64,PASS,1.265535369650866,35.903150852245844,null
recording_2021_12_15_22H_10M.mat,persistence,,,128,PASS,1.3466662276393335,38.38424221252104,null
recording_2021_12_15_22H_10M.mat,velocity,,,64,PASS,2.292933858677793,64.92652309305429,null
recording_2021_12_15_22H_10M.mat,velocity,,,128,PASS,4.092680629502291,118.11836969353843,null
recording_2021_12_15_22H_10M.mat,direct_ridge_1,,,64,PASS,0.6086497414184611,16.795105244185265,null
recording_2021_12_15_22H_10M.mat,direct_ridge_1,,,128,PASS,0.7702125221186261,22.840627485376793,null
recording_2021_12_15_22H_10M.mat,direct_ridge_100,,,64,PASS,0.5091839871258007,15.241690647905603,null
recording_2021_12_15_22H_10M.mat,direct_ridge_100,,,128,PASS,0.6418913992497933,20.042968763063257,null
