family,seed,regime,scope,metric,raw_value,display_value,episodes,supported_episodes,supported_cases,weight_mass
innovation_shared_aux,285000002,lambda4,initial,episode_weighted_agreement,0.6296296296296295,62.962962962962955,18,16,6,0.8888888888888888
innovation_shared_aux,285000002,lambda4,full,episode_weighted_agreement,0.6202429322969873,62.024293229698735,18,16,6,0.8888888888888888
innovation_shared_aux,285000002,lambda4,postcorrection,episode_weighted_raw_gap,0.11032653563350274,0.11032653563350274,18,14,6,0.7777777777777778
innovation_shared_aux,285000002,lambda4,prior,episode_weighted_centered_mse,0.09598240438420806,0.09598240438420806,18,14,6,0.7777777777777778
innovation_separate_mse,285000002,lambda3,initial,episode_weighted_agreement,0.8703703703703703,87.03703703703704,18,18,6,1.0
innovation_separate_mse,285000002,lambda3,full,episode_weighted_agreement,0.7165365212789606,71.65365212789607,18,18,6,1.0
innovation_separate_mse,285000002,lambda3,postcorrection,episode_weighted_raw_gap,0.11056395638590305,0.11056395638590305,18,15,6,0.8333333333333334
innovation_separate_mse,285000002,lambda3,prior,episode_weighted_centered_mse,46.66537947773633,46.66537947773633,18,17,6,0.9444444444444444
innovation_separate_mse,285000002,lambda4,initial,episode_weighted_agreement,0.6481481481481481,64.81481481481481,18,16,6,0.8888888888888888
innovation_separate_mse,285000002,lambda4,full,episode_weighted_agreement,0.5535062355977168,55.350623559771684,18,16,6,0.8888888888888888
innovation_separate_mse,285000002,lambda4,postcorrection,episode_weighted_raw_gap,0.1380356499938851,0.1380356499938851,18,14,6,0.7777777777777778
innovation_separate_mse,285000002,lambda4,prior,episode_weighted_centered_mse,24.42401322928283,24.42401322928283,18,14,6,0.7777777777777778
innovation_separate_aux,285000002,lambda3,initial,episode_weighted_agreement,0.8333333333333334,83.33333333333334,18,18,6,1.0
innovation_separate_aux,285000002,lambda3,full,episode_weighted_agreement,0.6801873012363893,68.01873012363893,18,18,6,1.0
innovation_separate_aux,285000002,lambda3,postcorrection,episode_weighted_raw_gap,0.11752956178516172,0.11752956178516172,18,15,6,0.8333333333333334
innovation_separate_aux,285000002,lambda3,prior,episode_weighted_centered_mse,0.09872316768151983,0.09872316768151983,18,17,6,0.9444444444444444
innovation_separate_aux,285000002,lambda4,initial,episode_weighted_agreement,0.6851851851851851,68.5185185185185,18,16,6,0.8888888888888888
innovation_separate_aux,285000002,lambda4,full,episode_weighted_agreement,0.6114726608434194,61.14726608434194,18,16,6,0.8888888888888888
innovation_separate_aux,285000002,lambda4,postcorrection,episode_weighted_raw_gap,0.11917139655019289,0.11917139655019289,18,14,6,0.7777777777777778
innovation_separate_aux,285000002,lambda4,prior,episode_weighted_centered_mse,0.10548774168736649,0.10548774168736649,18,14,6,0.7777777777777778
gru_shared_mse,285000002,lambda3,initial,episode_weighted_agreement,0.8333333333333334,83.33333333333334,18,18,6,1.0
gru_shared_mse,285000002,lambda3,full,episode_weighted_agreement,0.665375285687991,66.5375285687991,18,18,6,1.0
gru_shared_mse,285000002,lambda3,postcorrection,episode_weighted_raw_gap,0.15175226532108893,0.15175226532108893,18,15,6,0.8333333333333334
gru_shared_mse,285000002,lambda3,prior,episode_weighted_centered_mse,0.1327415420008678,0.1327415420008678,18,17,6,0.9444444444444444
gru_shared_mse,285000002,lambda4,initial,episode_weighted_agreement,0.6296296296296297,62.96296296296296,18,16,6,0.8888888888888888
gru_shared_mse,285000002,lambda4,full,episode_weighted_agreement,0.562560248855521,56.2560248855521,18,16,6,0.8888888888888888
gru_shared_mse,285000002,lambda4,postcorrection,episode_weighted_raw_gap,0.16588517415411938,0.16588517415411938,18,14,6,0.7777777777777778
gru_shared_mse,285000002,lambda4,prior,episode_weighted_centered_mse,0.13521080559650356,0.13521080559650356,18,14,6,0.7777777777777778
gru_shared_aux,285000002,lambda3,initial,episode_weighted_agreement,0.925925925925926,92.59259259259261,18,18,6,1.0
gru_shared_aux,285000002,lambda3,full,episode_weighted_agreement,0.7226074249666691,72.26074249666691,18,18,6,1.0
gru_shared_aux,285000002,lambda3,postcorrection,episode_weighted_raw_gap,0.12963660070030072,0.12963660070030072,18,15,6,0.8333333333333334
gru_shared_aux,285000002,lambda3,prior,episode_weighted_centered_mse,0.06452271518400116,0.06452271518400116,18,17,6,0.9444444444444444
gru_shared_aux,285000002,lambda4,initial,episode_weighted_agreement,0.5740740740740741,57.407407407407405,18,16,6,0.8888888888888888
gru_shared_aux,285000002,lambda4,full,episode_weighted_agreement,0.6030618295299133,60.30618295299133,18,16,6,0.8888888888888888
gru_shared_aux,285000002,lambda4,postcorrection,episode_weighted_raw_gap,0.09038532348763359,0.09038532348763359,18,14,6,0.7777777777777778
gru_shared_aux,285000002,lambda4,prior,episode_weighted_centered_mse,0.08692277946251575,0.08692277946251575,18,14,6,0.7777777777777778
gru_separate_mse,285000002,lambda3,initial,episode_weighted_agreement,0.8518518518518519,85.18518518518519,18,18,6,1.0
gru_separate_mse,285000002,lambda3,full,episode_weighted_agreement,0.676005186628678,67.6005186628678,18,18,6,1.0
gru_separate_mse,285000002,lambda3,postcorrection,episode_weighted_raw_gap,0.14665212479807,0.14665212479807,18,15,6,0.8333333333333334
gru_separate_mse,285000002,lambda3,prior,episode_weighted_centered_mse,97.37536234557462,97.37536234557462,18,17,6,0.9444444444444444
gru_separate_mse,285000002,lambda4,initial,episode_weighted_agreement,0.7037037037037037,70.37037037037037,18,16,6,0.8888888888888888
gru_separate_mse,285000002,lambda4,full,episode_weighted_agreement,0.5691356427536323,56.91356427536323,18,16,6,0.8888888888888888
gru_separate_mse,285000002,lambda4,postcorrection,episode_weighted_raw_gap,0.1684026733725321,0.1684026733725321,18,14,6,0.7777777777777778
gru_separate_mse,285000002,lambda4,prior,episode_weighted_centered_mse,76.15303749712305,76.15303749712305,18,14,6,0.7777777777777778
gru_separate_aux,285000002,lambda3,initial,episode_weighted_agreement,0.8703703703703703,87.03703703703704,18,18,6,1.0
gru_separate_aux,285000002,lambda3,full,episode_weighted_agreement,0.6612810167399743,66.12810167399743,18,18,6,1.0
gru_separate_aux,285000002,lambda3,postcorrection,episode_weighted_raw_gap,0.15402602506134794,0.15402602506134794,18,15,6,0.8333333333333334
gru_separate_aux,285000002,lambda3,prior,episode_weighted_centered_mse,0.08583374376992989,0.08583374376992989,18,17,6,0.9444444444444444
gru_separate_aux,285000002,lambda4,initial,episode_weighted_agreement,0.7222222222222222,72.22222222222221,18,16,6,0.8888888888888888
gru_separate_aux,285000002,lambda4,full,episode_weighted_agreement,0.6080281347494149,60.80281347494149,18,16,6,0.8888888888888888
gru_separate_aux,285000002,lambda4,postcorrection,episode_weighted_raw_gap,0.1099027173355143,0.1099027173355143,18,14,6,0.7777777777777778
gru_separate_aux,285000002,lambda4,prior,episode_weighted_centered_mse,0.09553295438549425,0.09553295438549425,18,14,6,0.7777777777777778
innovation_shared_mse,285000003,lambda3,initial,episode_weighted_agreement,0.8703703703703703,87.03703703703704,18,18,6,1.0
innovation_shared_mse,285000003,lambda3,full,episode_weighted_agreement,0.6942180798269574,69.42180798269574,18,18,6,1.0
innovation_shared_mse,285000003,lambda3,postcorrection,episode_weighted_raw_gap,0.1279494586018216,0.1279494586018216,18,15,6,0.8333333333333334
innovation_shared_mse,285000003,lambda3,prior,episode_weighted_centered_mse,0.19207360735678158,0.19207360735678158,18,17,6,0.9444444444444444
innovation_shared_mse,285000003,lambda4,initial,episode_weighted_agreement,0.6111111111111112,61.111111111111114,18,16,6,0.8888888888888888
innovation_shared_mse,285000003,lambda4,full,episode_weighted_agreement,0.6047460577397299,60.47460577397299,18,16,6,0.8888888888888888
innovation_shared_mse,285000003,lambda4,postcorrection,episode_weighted_raw_gap,0.11432030508272716,0.11432030508272716,18,14,6,0.7777777777777778
innovation_shared_mse,285000003,lambda4,prior,episode_weighted_centered_mse,0.1327626332202836,0.1327626332202836,18,14,6,0.7777777777777778
innovation_shared_aux,285000003,lambda3,initial,episode_weighted_agreement,0.925925925925926,92.59259259259261,18,18,6,1.0
