recording,arm,seed,learning_rate,horizon,status,standardized_rmse,physical_rmse_deg,standardized_sse,scalars,windows,per_joint_rmse_deg,error
recording_2021_12_15_21H_54M.mat,temporal_affine,8103,0.001,128,PASS,0.6154965322757671,18.402732169654193,6400.812739090081,16896,22,"[9.065567882843244, 4.420306633254099, 12.060706490939765, 31.8826428905213, 21.49333375705806, 17.501791946550117]",null
recording_2021_12_15_21H_54M.mat,last_two,8103,0.003,64,PASS,0.5705233398637858,17.04498012689548,2749.79765347017,8448,22,"[8.092886565533838, 3.8026939248453586, 13.181951519176204, 31.401607195214805, 19.39514953268644, 11.279901835440434]",null
recording_2021_12_15_21H_54M.mat,last_two,8103,0.003,128,PASS,0.639333560853165,19.32481769866627,6906.196104752737,16896,22,"[10.005779756247811, 3.7515997019587295, 13.859976959576583, 35.155647108522025, 22.051920595732305, 14.566937178639362]",null
recording_2021_12_15_21H_54M.mat,local_affine,8103,0.003,64,PASS,0.5215142556229135,15.226951353349818,2297.662699773802,8448,22,"[7.8427236643148275, 3.9788080436664446, 11.061862848023273, 26.009300975548214, 18.292716222283676, 13.429409647725086]",null
recording_2021_12_15_21H_54M.mat,local_affine,8103,0.003,128,PASS,0.6284049506772642,18.812550153638366,6672.1084452751,16896,22,"[9.537762339058547, 4.231679411506393, 11.474048878023718, 33.63084478519383, 22.60941776747215, 15.515248893126422]",null
recording_2021_12_15_21H_54M.mat,temporal_affine,8103,0.003,64,PASS,0.521582615314115,15.494504554641098,2298.265091003161,8448,22,"[5.905140336963621, 4.119731240874628, 11.73599758892413, 27.83615055171547, 17.562683592972082, 12.946134115427508]",null
recording_2021_12_15_21H_54M.mat,temporal_affine,8103,0.003,128,PASS,0.602799670280812,18.266132789938446,6139.456308322118,16896,22,"[7.0903530587894394, 4.28737468114097, 12.536734328567716, 31.99250656822201, 20.669157796816055, 18.037480042143205]",null
recording_2021_12_15_21H_54M.mat,dense_bounded,8101,0.001,64,PASS,0.5267609253931314,15.07102173289141,2344.1263086576455,8448,22,"[7.976109748611415, 3.5481753256459605, 11.863681544257732, 24.195167615607335, 19.651766371287277, 13.200806957672759]",null
recording_2021_12_15_21H_54M.mat,dense_bounded,8101,0.001,128,PASS,0.6686414336804565,19.451955152905498,7553.8867740315945,16896,22,"[9.923392409167569, 4.092085496960175, 14.009517578616892, 31.777845962405642, 25.346495640667076, 17.50741434206699]",null
recording_2021_12_15_21H_54M.mat,dense_unbounded,8101,0.001,64,PASS,0.5297008894884067,14.640166715184103,2370.365457079988,8448,22,"[7.905857513861203, 4.06536172918162, 12.927727817058466, 23.77299754422269, 19.681040330853072, 9.346241619897603]",null
recording_2021_12_15_21H_54M.mat,dense_unbounded,8101,0.001,128,PASS,0.6474937154072528,18.71289523435321,7083.616091766948,16896,22,"[10.539820904018256, 4.460819740283917, 13.406487751342535, 32.40553836537253, 23.846772751454175, 13.096814484108783]",null
recording_2021_12_15_21H_54M.mat,gru32,8101,0.001,64,PASS,0.6210290366642941,17.75262356226632,3258.1998398837704,8448,22,"[12.87717533049291, 4.951377851586364, 15.094716052806502, 23.86045483599036, 19.64911170698991, 22.745037356988583]",null
recording_2021_12_15_21H_54M.mat,gru32,8101,0.001,128,PASS,0.7260811611783278,21.366520666509796,8907.467333834891,16896,22,"[16.054960748079314, 5.267026922438653, 16.7993824766694, 29.821941190224393, 22.159774913989462, 28.125483870343892]",null
recording_2021_12_15_21H_54M.mat,dense_bounded,8101,0.003,64,PASS,0.49890379970480686,14.186323120010108,2102.7494514883847,8448,22,"[8.563489032517614, 3.2060834008948627, 12.576871934171702, 23.263182366903926, 17.85596571276135, 10.281507369484434]",null
recording_2021_12_15_21H_54M.mat,dense_bounded,8101,0.003,128,PASS,0.5788103138207356,17.030251810636916,5660.521226093326,16896,22,"[9.976741772278743, 3.6063112057441, 12.523816334814875, 29.40312936442055, 20.590458375466085, 13.501075341541407]",null
recording_2021_12_15_21H_54M.mat,dense_unbounded,8101,0.003,64,PASS,0.5801127371402044,17.60827457968067,2843.0120952693496,8448,22,"[6.866139811693366, 4.284935791862433, 11.92796273968476, 33.00325047000219, 19.547298695373563, 13.461639142218376]",null
recording_2021_12_15_21H_54M.mat,dense_unbounded,8101,0.003,128,PASS,0.6975152082730378,22.470985250623727,8220.368061686742,16896,22,"[9.43034048377065, 4.717145989435898, 13.349878524527792, 45.7202930262814, 20.213858836633783, 15.534598185371847]",null
recording_2021_12_15_21H_54M.mat,gru32,8101,0.003,64,PASS,0.6324667612678083,17.916648524802387,3379.319996309375,8448,22,"[16.11587254457483, 3.779550803651306, 13.670407704145724, 25.06566235957188, 21.80536559372159, 19.01025957266172]",null
recording_2021_12_15_21H_54M.mat,gru32,8101,0.003,128,PASS,0.7191769325260312,20.661849263734986,8738.872416849514,16896,22,"[18.92247281171045, 4.344628958600703, 13.883538586121242, 31.725944430924038, 24.414304107775752, 19.72789581056859]",null
recording_2021_12_15_21H_54M.mat,dense_bounded,8102,0.001,64,PASS,0.5099497197223455,14.722175281278677,2196.8915582161044,8448,22,"[8.17310402678404, 3.4799649608568455, 13.00794512323204, 25.23923165123538, 17.487885140496804, 10.463904966779166]",null
recording_2021_12_15_21H_54M.mat,dense_bounded,8102,0.001,128,PASS,0.6005466971295215,17.132091004758635,6093.649443478961,16896,22,"[10.399595036929782, 3.73263487317854, 13.287218096204098, 28.85748813036272, 22.566000503018245, 10.9744224682235]",null
recording_2021_12_15_21H_54M.mat,dense_unbounded,8102,0.001,64,PASS,0.6095252264687343,17.274025226679296,3138.609422376484,8448,22,"[10.422077287843036, 5.958963747582769, 14.20437605127141, 29.95242653782898, 18.670570053787966, 14.09682235858701]",null
recording_2021_12_15_21H_54M.mat,dense_unbounded,8102,0.001,128,PASS,0.6859943798244401,19.91904684144679,7951.059733490535,16896,22,"[13.448490633620303, 6.194519583495823, 15.762171005450158, 34.557596069351064, 20.079184981542014, 17.76314833629324]",null
recording_2021_12_15_21H_54M.mat,gru32,8102,0.001,64,PASS,0.6008950079586911,17.555189407864642,3050.3599998615787,8448,22,"[11.294238966542338, 4.757178182331984, 11.397728497518207, 23.435195771719776, 20.56543213425236, 24.43079732947101]",null
recording_2021_12_15_21H_54M.mat,gru32,8102,0.001,128,PASS,0.7298589317654076,21.61802572086371,9000.398842452727,16896,22,"[13.146074281967186, 4.785445217951121, 14.169047938581752, 30.06873596990369, 25.957719015706086, 28.80313320863863]",null
recording_2021_12_15_21H_54M.mat,dense_bounded,8102,0.003,64,PASS,0.5778583252245416,17.271123802278648,2820.958221576525,8448,22,"[9.969649725244501, 4.586323549717082, 12.770748198196541, 28.90222429013861, 17.941027307410582, 18.681835715758456]",null
recording_2021_12_15_21H_54M.mat,dense_bounded,8102,0.003,128,PASS,0.6455409236895905,19.51405934733786,7040.9532299337325,16896,22,"[11.335137565185605, 4.979058542221392, 12.97090951537523, 32.431107691857136, 20.362213054209583, 22.290664984205495]",null
recording_2021_12_15_21H_54M.mat,dense_unbounded,8102,0.003,64,PASS,0.5338855168140342,15.489955731165377,2407.9650782988847,8448,22,"[9.531469724905737, 4.3004616296444205, 12.643456482841886, 26.6401360080998, 17.10264912265954, 12.970545115744404]",null
recording_2021_12_15_21H_54M.mat,dense_unbounded,8102,0.003,128,PASS,0.6071076292874356,18.11797867542581,6227.5221641151165,16896,22,"[11.564937077798628, 4.725995605785618, 12.724061695301126, 31.345379167080345, 18.966283371023444, 17.587770113233105]",null
recording_2021_12_15_21H_54M.mat,gru32,8102,0.003,64,PASS,0.6044138033323568,18.061084027475005,3086.189953724571,8448,22,"[13.691251842337971, 4.382998541901286, 13.33405662812428, 25.59057792876566, 17.806618255492786, 24.5113256611988]",null
recording_2021_12_15_21H_54M.mat,gru32,8102,0.003,128,PASS,0.7313386070163059,21.55413545180076,9036.929647469657,16896,22,"[16.373695095651406, 4.877461781196361, 16.948713756912774, 28.817519675222776, 22.87823336866667, 29.23140615191591]",null
recording_2021_12_15_21H_54M.mat,dense_bounded,8103,0.001,64,PASS,0.5524675149369562,16.084612153738735,2578.501559552083,8448,22,"[7.909548857925594, 4.157203926728943, 12.327818451509753, 28.111311983835776, 19.39663221533634, 12.409466977671512]",null
recording_2021_12_15_21H_54M.mat,dense_bounded,8103,0.001,128,PASS,0.6411076925754768,19.045430850659294,6944.578265508822,16896,22,"[9.625924021568617, 4.389481153586671, 13.525003134117544, 34.564993933970044, 22.46428885866743, 13.495772312018278]",null
recording_2021_12_15_21H_54M.mat,dense_unbounded,8103,0.001,64,PASS,0.5263672072105244,14.842980568995031,2340.6234663111773,8448,22,"[6.837204375798491, 4.042072058791342, 12.810019585146224, 23.85358890217567, 19.213707037877132, 12.511669728748743]",null
