recording,arm,seed,learning_rate,horizon,status,error_type,error_message,standardized_rmse,standardized_sse,scalars,physical_rmse_deg,windows,joint_1_rmse_deg,joint_2_rmse_deg,joint_3_rmse_deg,joint_4_rmse_deg,joint_5_rmse_deg,joint_6_rmse_deg
recording_2021_12_15_22H_41M.mat,dense_unbounded,8101,0.003,128,PASS,,,0.8075942411142198,11019.714111113286,16896,25.116958758720802,22,14.457035444262843,6.171998904957788,15.261432572897307,39.10878737153805,23.811538286105716,34.765965109633775
recording_2021_12_15_22H_41M.mat,dense_unbounded,8102,0.003,64,PASS,,,0.6289605082101318,3341.955478861378,8448,18.772682746844836,22,7.751830666910289,5.9843626381593475,13.643705775297358,32.11677255670588,18.790206453002735,21.162905871362334
recording_2021_12_15_22H_41M.mat,dense_unbounded,8102,0.003,128,PASS,,,0.6794763141548337,7800.681487060717,16896,20.509596054260545,22,10.100248013559039,6.118129565619474,13.96432071731508,33.39313432643261,20.273869003692546,25.75424673560528
recording_2021_12_15_22H_41M.mat,dense_unbounded,8103,0.003,64,PASS,,,0.6188337044931191,3235.2051394432888,8448,19.045854702236518,22,6.163020290144189,4.275506202969918,15.264808821034253,31.67434358690794,19.430878791452752,22.502605072113674
recording_2021_12_15_22H_41M.mat,dense_unbounded,8103,0.003,128,PASS,,,0.6613647972359833,7390.367762308496,16896,20.70442062548983,22,7.331723075482874,4.940366237461167,15.35333911858902,32.74607913846981,19.406440661715216,28.447076451147684
recording_2021_12_15_22H_41M.mat,gru32,8101,0.003,64,PASS,,,0.6556070412867034,3631.1243661555905,8448,19.67634964421576,22,10.490683342986552,5.888947995149162,14.169816938000714,30.62213541744507,19.193959122681857,25.909675992806516
recording_2021_12_15_22H_41M.mat,gru32,8101,0.003,128,PASS,,,0.7265363609347086,8918.639495213169,16896,21.88486874853475,22,12.570496275859732,6.681933940850367,17.022083986855648,28.761010992981966,19.21906889422658,34.41946480230687
recording_2021_12_15_22H_41M.mat,gru32,8102,0.003,64,PASS,,,0.7428584089344418,4661.932625641508,8448,22.480795218807998,22,12.242645823682315,5.482991377791701,18.38010163614647,33.68594987243314,22.02992143349269,29.907901254982878
recording_2021_12_15_22H_41M.mat,gru32,8102,0.003,128,PASS,,,0.7390521911687463,9228.56379492031,16896,22.565934397134185,22,13.375248403354789,5.673311944083034,16.62053073006396,32.59926759858019,21.410218210559147,32.35572436975662
recording_2021_12_15_22H_41M.mat,gru32,8103,0.003,64,PASS,,,0.6775808233546604,3878.6100433595707,8448,19.648557344167624,22,8.954244683114826,5.229015969826738,14.038195950465846,29.045977341739043,24.703571329358166,23.619219857550057
recording_2021_12_15_22H_41M.mat,gru32,8103,0.003,128,PASS,,,0.6852058374412651,7932.790942155939,16896,20.163117090701448,22,11.199958150867074,5.179893954991456,14.014732013002519,26.286735510887226,23.75621149588474,28.90111795521181
recording_2021_12_15_22H_41M.mat,legacy_instant,8101,0.001,64,PASS,,,0.5977410847599556,3018.4231284557513,8448,18.22632195358675,22,5.813076483001736,5.121242840341082,13.44864222633415,30.806483505548677,18.20913675338662,21.718559351271466
recording_2021_12_15_22H_41M.mat,legacy_instant,8101,0.001,128,PASS,,,0.6263155851114732,6627.814400545993,16896,19.068049859063816,22,7.201554213296862,5.393454526533835,14.125718886954335,30.338060590794534,18.780046163569132,25.05927830883908
recording_2021_12_15_22H_41M.mat,legacy_instant,8102,0.001,64,PASS,,,0.5777741637377022,2820.136571221103,8448,17.124310018471885,22,8.429263447180292,4.538088077783766,13.440573051417907,28.70554747327134,18.720428176307536,17.68313731196196
recording_2021_12_15_22H_41M.mat,legacy_instant,8102,0.001,128,PASS,,,0.6397691884934645,6915.610767362223,16896,19.409113486544435,22,11.208979689484382,4.9106101666076185,14.398649538267483,29.609300852628053,19.10763622938019,25.71756660985035
recording_2021_12_15_22H_41M.mat,legacy_instant,8103,0.001,64,PASS,,,0.5686764244680971,2732.023014300682,8448,17.01069110819195,22,6.990070422162725,4.416847338480011,13.40227466295604,27.208641452870715,18.46450175046216,20.172830396518066
recording_2021_12_15_22H_41M.mat,legacy_instant,8103,0.001,128,PASS,,,0.6182971004322525,6459.193879191921,16896,18.899603316377153,22,10.861665659073067,4.968383291209756,13.875427486748611,31.510271117569374,17.456955838864523,22.590693629851536
recording_2021_12_15_22H_41M.mat,gru10,8101,0.003,64,PASS,,,0.5955280169566414,2996.113773145656,8448,17.974933231872757,22,8.244987041661494,5.174159543533371,12.885352725008637,25.085665033526457,18.15284929991697,26.813965896803165
recording_2021_12_15_22H_41M.mat,gru10,8101,0.003,128,PASS,,,0.6317122026439115,6742.52294655198,16896,19.06557740667266,22,10.413486308802359,5.04226986856902,14.586480995548786,25.224840121267665,18.92336524216102,28.982072553608372
recording_2021_12_15_22H_41M.mat,gru10,8102,0.003,64,PASS,,,0.5971803247293151,3012.762426379709,8448,17.916756235181886,22,11.72864555289402,4.865775982089768,12.3323908014839,22.377958892746367,17.980273184412887,28.083320506310926
recording_2021_12_15_22H_41M.mat,gru10,8102,0.003,128,PASS,,,0.6205926005728313,6507.243931765626,16896,19.180809269381268,22,12.100342096415186,4.769041309722582,12.747847337775157,22.77832341190256,17.5830321227885,32.36875010980058
recording_2021_12_15_22H_41M.mat,gru10,8103,0.003,64,PASS,,,0.5997586776647809,3038.834062676177,8448,17.800334774179802,22,11.825130210719887,5.076512423596987,11.903590749401772,25.07535109814301,18.45324672647287,24.990314231265007
recording_2021_12_15_22H_41M.mat,gru10,8103,0.003,128,PASS,,,0.6360087522070683,6834.552517207929,16896,19.17312220001378,22,12.794756809924042,5.164586899484002,13.04898384714868,25.37895419189245,18.743934424381106,29.147393651744
recording_2021_12_15_22H_41M.mat,causal_ridge_1,,,64,PASS,,,0.58989895194607,2939.741574587743,8448,17.576200258371106,22,8.075021454595287,5.69514105924081,13.37655931867372,25.55459639227262,16.878854335488946,25.279059126098
recording_2021_12_15_22H_41M.mat,causal_ridge_1,,,128,PASS,,,0.7529998158504607,9580.179378246306,16896,23.142846276851536,22,11.005323062229895,6.826622919611041,16.607912575600658,31.996096227469263,20.37772109105714,36.48292252262825
recording_2021_12_15_22H_41M.mat,causal_ridge_100,,,64,PASS,,,0.5920801111527157,2961.521232575028,8448,17.581022344119845,22,8.465175461387469,5.451999245572612,12.966169732910451,23.907025682266397,18.01394311476418,26.248828689366277
recording_2021_12_15_22H_41M.mat,causal_ridge_100,,,128,PASS,,,0.6610384510038521,7383.076102289346,16896,20.029314765009204,22,10.282664819256901,5.70580000090784,15.113107334178428,27.042829288579743,18.950774520726558,30.820429363301667
recording_2021_12_15_22H_41M.mat,linear_frozen,,,64,PASS,,,0.7210613169985707,4392.363764420234,8448,20.760404199734687,22,9.70250485637529,5.3741364915541245,22.147814790199735,26.08539875319382,22.04297229865498,28.391547964965618
recording_2021_12_15_22H_41M.mat,linear_frozen,,,128,PASS,,,1.009407271729065,17215.385767548913,16896,28.853113040647226,22,16.333872090525816,6.883080927645245,37.45839861756223,33.34116962143207,24.37617747151363,39.64690864937654
recording_2021_12_15_22H_41M.mat,persistence,,,64,PASS,,,1.1878484569213559,11919.992465445051,8448,34.5577644702047,22,21.728668153170453,12.459779781705166,26.216441581939097,39.780137732571745,31.75176799479407,57.09743813090768
recording_2021_12_15_22H_41M.mat,persistence,,,128,PASS,,,1.284462773349016,27875.774633954148,16896,37.23034723448785,22,24.658239522531545,13.356312970280547,29.71479103681167,42.92583178610353,33.390793139864336,60.74233903376746
recording_2021_12_15_22H_50M.mat,last_two,8101,0.001,64,PASS,,,0.5832712658010828,2874.0549616136996,8448,17.163466195111084,22,7.404794377301565,4.496837318381885,12.14987143070045,31.442975215676334,20.582872812223517,11.511741221286178
recording_2021_12_15_22H_50M.mat,last_two,8101,0.001,128,PASS,,,0.6478369186194778,7091.127405143314,16896,19.63204966649269,22,9.856120299213034,5.241351399780866,13.555449426814755,34.43874711215342,20.1349155606814,20.314946131942175
recording_2021_12_15_22H_50M.mat,last_two,8102,0.001,64,PASS,,,0.6117836877521273,3161.911362505357,8448,16.548080178225334,22,9.78872259146153,5.200237108486131,13.304964271487036,25.393008012561797,23.36350160462459,12.348767231262789
recording_2021_12_15_22H_50M.mat,last_two,8102,0.001,128,PASS,,,0.6592090984449248,7342.268912944552,16896,19.316799112915156,22,11.965634632601116,5.227824277059033,13.899374616546636,31.51858087205704,21.741791547842688,20.223915406030127
recording_2021_12_15_22H_50M.mat,last_two,8103,0.001,64,PASS,,,0.6317915664374221,3372.108608744423,8448,19.459521494778443,22,7.9684049938962875,4.890660174078266,11.365097073475756,38.03256768812308,20.700137261064402,13.43452666383528
recording_2021_12_15_22H_50M.mat,last_two,8103,0.001,128,PASS,,,0.7472474244485823,9434.36674067779,16896,23.800667761115065,22,10.633274641057742,5.829927830394619,13.15261277640218,47.27272495635664,21.49482817810627,19.546015990438747
recording_2021_12_15_22H_50M.mat,local_affine,8101,0.003,64,PASS,,,0.6257143519814975,3307.5478679284834,8448,16.504962664990487,22,10.23117058433699,7.138515851350513,11.199732654502336,27.71751073499247,21.89488791808219,10.284306759741481
recording_2021_12_15_22H_50M.mat,local_affine,8101,0.003,128,PASS,,,0.7034973146472067,8361.97353811068,16896,20.10440590101287,22,12.772561477305263,6.987974270617987,12.456835023125162,34.80707614689112,22.73968385502225,18.148118309690723
recording_2021_12_15_22H_50M.mat,local_affine,8102,0.003,64,PASS,,,0.5635545817879524,2683.0321406946296,8448,15.351634229771724,22,7.330771846691394,3.915677085874204,12.745215462892487,23.092148850289416,22.990918339840697,10.986041890071693
