model,family,seed,collector,regime,age,episode_weighted_agreement,episode_weighted_centered_mse,episode_weighted_first_argmin_match,episode_weighted_raw_gap,episodes,nonquery_rows,supported_episode_agreement,supported_episode_centered_mse,supported_episode_raw_gap,supported_episodes,weight_mass,zero_support_episode_ids
current_mlp@235002,current_mlp,235002,neural,lambda3,1,0.5341269841269841,0.09172380980521878,0.5341269841269841,0.23920492104121616,6,51,0.5341269841269841,0.09172380980521878,0.23920492104121616,6,1.0,[]
current_mlp@235002,current_mlp,235002,neural,lambda3,2,0.6341269841269841,0.10212535889494856,0.6341269841269841,0.1382742412506588,6,51,0.6341269841269841,0.10212535889494856,0.1382742412506588,6,1.0,[]
current_mlp@235002,current_mlp,235002,neural,lambda3,3,0.5507936507936507,0.12844821918649477,0.5507936507936507,0.18597283325498068,6,51,0.5507936507936507,0.12844821918649477,0.18597283325498068,6,1.0,[]
current_mlp@235002,current_mlp,235002,neural,lambda4,all,0.6172839506172839,0.18219225327741365,0.6172839506172839,0.23069518583792226,6,137,0.6172839506172839,0.18219225327741365,0.23069518583792226,6,1.0,[]
current_mlp@235002,current_mlp,235002,neural,lambda4,1,0.774074074074074,0.12615855933864162,0.774074074074074,0.08465855033309372,6,46,0.774074074074074,0.12615855933864162,0.08465855033309372,6,1.0,[]
current_mlp@235002,current_mlp,235002,neural,lambda4,2,0.5462962962962963,0.1802325204922872,0.5462962962962963,0.23974465794033475,6,46,0.5462962962962963,0.1802325204922872,0.23974465794033475,6,1.0,[]
current_mlp@235002,current_mlp,235002,neural,lambda4,3,0.48148148148148145,0.2403150433017838,0.48148148148148145,0.4183444376345034,6,45,0.48148148148148145,0.2403150433017838,0.4183444376345034,6,1.0,[]
current_mlp@235002,current_mlp,235002,period4_hold,all,all,0.42265053872649555,0.14963046755800846,0.42265053872649555,0.2076745502484516,12,6726,0.42265053872649555,0.14963046755800846,0.2076745502484516,12,1.0,[]
current_mlp@235002,current_mlp,235002,period4_hold,all,1,0.36621670698453146,0.11137649821380176,0.36621670698453146,0.15002636755515644,12,2243,0.36621670698453146,0.11137649821380176,0.15002636755515644,12,1.0,[]
current_mlp@235002,current_mlp,235002,period4_hold,all,2,0.5649333062495768,0.12764593216616762,0.5649333062495768,0.20717839774414537,12,2242,0.5649333062495768,0.12764593216616762,0.20717839774414537,12,1.0,[]
current_mlp@235002,current_mlp,235002,period4_hold,all,3,0.3357996479111653,0.20059543905233515,0.3357996479111653,0.20981553243762616,12,2241,0.3663268886303621,0.2188313880570929,0.2288896717501376,11,0.9166666666666666,"[""valid:lambda3:23300006:period4_hold""]"
current_mlp@235002,current_mlp,235002,period4_hold,lambda3,all,0.34436668785315366,0.1277198833017588,0.34436668785315366,0.27306270694557905,6,1713,0.34436668785315366,0.1277198833017588,0.27306270694557905,6,1.0,[]
current_mlp@235002,current_mlp,235002,period4_hold,lambda3,1,0.32965394345650284,0.09694066038164274,0.32965394345650284,0.22132863184224624,6,572,0.32965394345650284,0.09694066038164274,0.22132863184224624,6,1.0,[]
current_mlp@235002,current_mlp,235002,period4_hold,lambda3,2,0.3843185049766403,0.12014958595376625,0.3843185049766403,0.295684724693833,6,571,0.3843185049766403,0.12014958595376625,0.295684724693833,6,1.0,[]
current_mlp@235002,current_mlp,235002,period4_hold,lambda3,3,0.3171237050578915,0.14752233708642573,0.3171237050578915,0.1901680582838041,6,570,0.3805484460694698,0.1770268045037109,0.2282016699405649,5,0.8333333333333334,"[""valid:lambda3:23300006:period4_hold""]"
current_mlp@235002,current_mlp,235002,period4_hold,lambda4,all,0.5009343895998375,0.17154105181425813,0.5009343895998375,0.1422863935513242,6,5013,0.5009343895998375,0.17154105181425813,0.1422863935513242,6,1.0,[]
current_mlp@235002,current_mlp,235002,period4_hold,lambda4,1,0.4027794705125601,0.1258123360459608,0.4027794705125601,0.07872410326806667,6,1671,0.4027794705125601,0.1258123360459608,0.07872410326806667,6,1.0,[]
current_mlp@235002,current_mlp,235002,period4_hold,lambda4,2,0.7455481075225134,0.135142278378569,0.7455481075225134,0.11867207079445778,6,1671,0.7455481075225134,0.135142278378569,0.11867207079445778,6,1.0,[]
current_mlp@235002,current_mlp,235002,period4_hold,lambda4,3,0.354475590764439,0.2536685410182446,0.354475590764439,0.22946300659144817,6,1671,0.354475590764439,0.2536685410182446,0.22946300659144817,6,1.0,[]
residual_gru@235003,residual_gru,235003,all,all,all,0.6888426570617622,0.08538698839770346,0.596147492059178,0.11128350607475662,36,7257,0.6888426570617622,0.08538698839770346,0.11128350607475662,36,1.0,[]
residual_gru@235003,residual_gru,235003,all,all,1,0.7634955918548241,0.04649264622150669,0.5874858151023599,0.04149212937442073,36,2422,0.7634955918548241,0.04649264622150669,0.04149212937442073,36,1.0,[]
residual_gru@235003,residual_gru,235003,all,all,2,0.7154745710199701,0.08825996598922108,0.6609992623779948,0.11078023333265692,36,2420,0.7154745710199701,0.08825996598922108,0.11078023333265692,36,1.0,[]
residual_gru@235003,residual_gru,235003,all,all,3,0.5498751855895285,0.1209311296907812,0.530534280089269,0.19060355895833367,36,2415,0.5655859051778008,0.12438630482480352,0.19604937492857177,35,0.9722222222222222,"[""valid:lambda3:23300006:period4_hold""]"
residual_gru@235003,residual_gru,235003,all,lambda3,all,0.7340350407505211,0.07036081649824591,0.578994504984036,0.09400617024176677,18,1992,0.7340350407505211,0.07036081649824591,0.09400617024176677,18,1.0,[]
residual_gru@235003,residual_gru,235003,all,lambda3,1,0.8282193397367072,0.043219100667243875,0.5363849714169642,0.025988289047751724,18,666,0.8282193397367072,0.043219100667243875,0.025988289047751724,18,1.0,[]
residual_gru@235003,residual_gru,235003,all,lambda3,2,0.7493906154783668,0.07373965158704826,0.6558720969598483,0.11343574871972674,18,665,0.7493906154783668,0.07373965158704826,0.11343574871972674,18,1.0,[]
residual_gru@235003,residual_gru,235003,all,lambda3,3,0.566854789319429,0.09190594671898435,0.543605077084342,0.14446954692474126,18,661,0.6001991886911601,0.0973121788789246,0.1529677555673731,17,0.9444444444444444,"[""valid:lambda3:23300006:period4_hold""]"
residual_gru@235003,residual_gru,235003,all,lambda4,all,0.6436502733730034,0.10041316029716102,0.6133004791343203,0.12856084190774644,18,5265,0.6436502733730034,0.10041316029716102,0.12856084190774644,18,1.0,[]
residual_gru@235003,residual_gru,235003,all,lambda4,1,0.6987718439729408,0.0497661917757695,0.6385866587877557,0.05699596970108973,18,1756,0.6987718439729408,0.0497661917757695,0.05699596970108973,18,1.0,[]
residual_gru@235003,residual_gru,235003,all,lambda4,2,0.6815585265615735,0.10278028039139386,0.6661264277961414,0.10812471794558712,18,1755,0.6815585265615735,0.10278028039139386,0.10812471794558712,18,1.0,[]
residual_gru@235003,residual_gru,235003,all,lambda4,3,0.5328955818596282,0.14995631266257806,0.5174634830941961,0.23673757099192608,18,1754,0.5328955818596282,0.14995631266257806,0.23673757099192608,18,1.0,[]
residual_gru@235003,residual_gru,235003,analytic,all,all,0.6860231846721653,0.09417265162269595,0.6102203711206413,0.14508366960880373,12,241,0.6860231846721653,0.09417265162269595,0.14508366960880373,12,1.0,[]
residual_gru@235003,residual_gru,235003,analytic,all,1,0.8044191919191919,0.05924989485063691,0.5787247474747474,0.06618633498045733,12,82,0.8044191919191919,0.05924989485063691,0.06618633498045733,12,1.0,[]
residual_gru@235003,residual_gru,235003,analytic,all,2,0.635563973063973,0.0950710619767061,0.635563973063973,0.1272408997771716,12,81,0.635563973063973,0.0950710619767061,0.1272408997771716,12,1.0,[]
residual_gru@235003,residual_gru,235003,analytic,all,3,0.607189058504848,0.12962837830933274,0.607189058504848,0.24692795085051714,12,78,0.607189058504848,0.12962837830933274,0.24692795085051714,12,1.0,[]
residual_gru@235003,residual_gru,235003,analytic,lambda3,all,0.7115325004971284,0.08883350965359804,0.6201120585792657,0.13820878743115814,6,126,0.7115325004971284,0.08883350965359804,0.13820878743115814,6,1.0,[]
residual_gru@235003,residual_gru,235003,analytic,lambda3,1,0.85,0.06445108826708511,0.5791666666666667,0.036307646830876665,6,43,0.85,0.06445108826708511,0.036307646830876665,6,1.0,[]
residual_gru@235003,residual_gru,235003,analytic,lambda3,2,0.6583333333333333,0.08699549958619031,0.6583333333333333,0.17199896971384684,6,43,0.6583333333333333,0.08699549958619031,0.17199896971384684,6,1.0,[]
residual_gru@235003,residual_gru,235003,analytic,lambda3,3,0.6243107769423558,0.11711766995290969,0.6243107769423558,0.21140829306796083,6,40,0.6243107769423558,0.11711766995290969,0.21140829306796083,6,1.0,[]
residual_gru@235003,residual_gru,235003,analytic,lambda4,all,0.6605138688472022,0.09951179359179385,0.600328683662017,0.15195855178644935,6,115,0.6605138688472022,0.09951179359179385,0.15195855178644935,6,1.0,[]
residual_gru@235003,residual_gru,235003,analytic,lambda4,1,0.7588383838383838,0.054048701434188696,0.5782828282828283,0.09606502313003797,6,39,0.7588383838383838,0.054048701434188696,0.09606502313003797,6,1.0,[]
residual_gru@235003,residual_gru,235003,analytic,lambda4,2,0.6127946127946128,0.10314662436722188,0.6127946127946128,0.08248282984049633,6,38,0.6127946127946128,0.10314662436722188,0.08248282984049633,6,1.0,[]
residual_gru@235003,residual_gru,235003,analytic,lambda4,3,0.5900673400673401,0.14213908666575578,0.5900673400673401,0.2824476086330735,6,38,0.5900673400673401,0.14213908666575578,0.2824476086330735,6,1.0,[]
residual_gru@235003,residual_gru,235003,neural,all,all,0.6998677248677249,0.09137775000742931,0.6477513227513227,0.1458661199667256,12,290,0.6998677248677249,0.09137775000742931,0.1458661199667256,12,1.0,[]
residual_gru@235003,residual_gru,235003,neural,all,1,0.8335978835978836,0.04828167294443939,0.6772486772486772,0.04028380314509074,12,97,0.8335978835978836,0.04828167294443939,0.04028380314509074,12,1.0,[]
residual_gru@235003,residual_gru,235003,neural,all,2,0.6574074074074073,0.09652003100142785,0.6574074074074073,0.16316658302589698,12,97,0.6574074074074073,0.09652003100142785,0.16316658302589698,12,1.0,[]
residual_gru@235003,residual_gru,235003,neural,all,3,0.5919312169312169,0.13082698613791588,0.5919312169312169,0.2558516699801046,12,96,0.5919312169312169,0.13082698613791588,0.2558516699801046,12,1.0,[]
residual_gru@235003,residual_gru,235003,neural,lambda3,all,0.7941798941798942,0.06459877807647392,0.6899470899470899,0.08588113482036287,6,153,0.7941798941798942,0.06459877807647392,0.08588113482036287,6,1.0,[]
residual_gru@235003,residual_gru,235003,neural,lambda3,1,0.8746031746031746,0.03841890162809726,0.5619047619047619,0.020114970207214356,6,51,0.8746031746031746,0.03841890162809726,0.020114970207214356,6,1.0,[]
residual_gru@235003,residual_gru,235003,neural,lambda3,2,0.7777777777777778,0.0714936109996118,0.7777777777777778,0.09979061020745172,6,51,0.7777777777777778,0.0714936109996118,0.09979061020745172,6,1.0,[]
