recording,arm,seed,learning_rate,horizon,status,standardized_rmse,physical_rmse_deg,standardized_sse,scalars,windows,per_joint_rmse_deg,error
recording_2021_12_15_21H_54M.mat,lpv_constant,8103,0.003,64,PASS,0.626062359293885,19.015879607124834,3311.228048617636,8448,22,"[10.242012866478142, 4.836607343415818, 13.32170869444959, 30.56154992842544, 19.393827153740556, 23.53154642194027]",null
recording_2021_12_15_21H_54M.mat,lpv_constant,8103,0.003,128,PASS,0.7051560634274049,21.407998505863016,8401.452766729386,16896,22,"[12.26616290852949, 5.432820101668779, 13.89261682177823, 35.0106949621745, 22.20119094957307, 25.655285419108612]",null
recording_2021_12_15_21H_54M.mat,gru_residual,8103,0.003,64,PASS,0.5760446281095957,17.341645083332278,2803.2779898724957,8448,22,"[11.170147879405736, 4.41161780182865, 11.54948173381009, 27.047370327240323, 17.946076062270837, 21.7519868961221]",null
recording_2021_12_15_21H_54M.mat,gru_residual,8103,0.003,128,PASS,0.6617312783837281,20.13962020291688,7398.56045983487,16896,22,"[12.3533770243588, 4.5943919424430915, 11.632482224044137, 31.389910920610617, 21.958443769536064, 25.633904252049376]",null
recording_2021_12_15_21H_54M.mat,causal_ridge_1,,,64,PASS,0.5599151897565028,16.271883209864082,2648.4904065950714,8448,22,"[10.499510295911932, 5.659646894957718, 12.582046779628348, 27.724421147817804, 15.183705490634116, 16.99639485804384]",null
recording_2021_12_15_21H_54M.mat,causal_ridge_1,,,128,PASS,0.7442245238288899,21.91315915052798,9358.189917007438,16896,22,"[14.053230406707497, 7.2315882571217305, 15.90852542488149, 36.36754569585619, 20.625129317972245, 25.104871830708348]",null
recording_2021_12_15_21H_54M.mat,causal_ridge_100,,,64,PASS,0.5844021519934689,17.38522921818423,2885.2105941508394,8448,22,"[9.478970796657395, 4.957414484545274, 12.216408466956493, 28.62236646866448, 18.442880090016907, 19.759301606194985]",null
recording_2021_12_15_21H_54M.mat,causal_ridge_100,,,128,PASS,0.6754474634486927,20.23529265862581,7708.449845256197,16896,22,"[11.759510201274846, 5.712201969730269, 13.598085645362522, 33.44591922255935, 20.8447141721552, 23.406142945498498]",null
recording_2021_12_15_21H_54M.mat,linear_frozen,,,64,PASS,0.7300262060516359,21.221134171642312,4502.262433339085,8448,22,"[10.75192044754271, 5.339142994362352, 23.062256900856205, 28.093629642368878, 20.866774739892755, 28.308425672782153]",null
recording_2021_12_15_21H_54M.mat,linear_frozen,,,128,PASS,1.0877737441922855,30.807745145679764,19992.221036690134,16896,22,"[19.781331622661934, 7.270114934345849, 40.49145179780395, 37.024305882345196, 26.079284124834153, 39.49761206219232]",null
