arm,seed,value_head,reward_condition,group,entropy_nats,raw_advantage_std,normalization_divisor,norm_actor_normalized,norm_actor_raw,norm_actor_centered_raw,norm_entropy_weighted,norm_critic_weighted,cosine_actor_normalized__actor_raw,cosine_actor_normalized__actor_centered_raw,cosine_actor_normalized__entropy_weighted,cosine_actor_normalized__critic_weighted,cosine_actor_raw__actor_centered_raw,cosine_actor_raw__entropy_weighted,cosine_actor_raw__critic_weighted,cosine_actor_centered_raw__entropy_weighted,cosine_actor_centered_raw__critic_weighted,cosine_entropy_weighted__critic_weighted,actor_to_entropy_norm_ratio
feedforward,127,original,actual,shared_trunk,1.9459091424942017,0.0587675974583402,0.05876760929822922,0.0018655420698132441,0.00012210126143410115,0.00010963344151266887,3.2462345953912726e-07,0.17349119709597136,0.8585704455515658,0.9999999999998983,0.22266643986878817,-0.015721826408113464,0.8585704194935219,0.28561584096845916,-0.04460764082452521,0.22266640330255097,-0.015721817649859703,0.21140267164384896,5746.787593422182
feedforward,127,original,actual,actor_head,1.9459091424942017,0.0587675974583402,0.05876760929822922,0.04125667740310572,0.0026770568518575642,0.0024245562010274902,8.379716858695784e-06,0.0,0.8318100790929623,0.9999999999999537,0.2494333804869679,,0.831810086501052,0.2931738365968278,,0.24943331972784194,,,4923.397544189446
feedforward,127,original,actual,value_head,1.9459091424942017,0.0587675974583402,0.05876760929822922,0.0,0.0,0.0,0.0,0.04187395084796949,,,,,,,,,,,
feedforward,127,original,synthetic_all_zero,all,1.9459091424942017,0.0587675974583402,0.05876760929822922,0.041298833852279435,0.002679839940392211,0.0024270336345915706,8.386002326638936e-06,0.17847303221890792,0.8318650923850233,0.9999999999999521,0.24938135920151702,-0.0006903591679563178,0.8318650997232406,0.29315361024025693,-0.0019757199797300192,0.2493812984876717,-0.0006903587735396471,0.007955000954371808,4924.734366110268
feedforward,127,original,synthetic_all_zero,shared_trunk,1.9459091424942017,0.0587675974583402,0.05876760929822922,0.0018655420698132441,0.00012210126143410115,0.00010963344151266887,3.2462345953912726e-07,0.17349119709597136,0.8585704455515658,0.9999999999998983,0.22266643986878817,-0.015721826408113464,0.8585704194935219,0.28561584096845916,-0.04460764082452521,0.22266640330255097,-0.015721817649859703,0.21140267164384896,5746.787593422182
feedforward,127,original,synthetic_all_zero,actor_head,1.9459091424942017,0.0587675974583402,0.05876760929822922,0.04125667740310572,0.0026770568518575642,0.0024245562010274902,8.379716858695784e-06,0.0,0.8318100790929623,0.9999999999999537,0.2494333804869679,,0.831810086501052,0.2931738365968278,,0.24943331972784194,,,4923.397544189446
feedforward,127,original,synthetic_all_zero,value_head,1.9459091424942017,0.0587675974583402,0.05876760929822922,0.0,0.0,0.0,0.0,0.04187395084796949,,,,,,,,,,,
feedforward,127,zero,actual,all,1.9459091424942017,0.0,9.99999993922529e-09,0.0,0.0,0.0,8.386002326638936e-06,0.0,,,,,,,,,,,0.0
feedforward,127,zero,actual,shared_trunk,1.9459091424942017,0.0,9.99999993922529e-09,0.0,0.0,0.0,3.2462345953912726e-07,0.0,,,,,,,,,,,0.0
feedforward,127,zero,actual,actor_head,1.9459091424942017,0.0,9.99999993922529e-09,0.0,0.0,0.0,8.379716858695784e-06,0.0,,,,,,,,,,,0.0
