panel,arm,mean_cost,batch_latency_seconds.mean,batch_latency_seconds.median,batch_latency_seconds.p95,decision_wall_seconds,episode_costs_json,on_policy_prediction.all_angle.components,on_policy_prediction.all_angle.mse,on_policy_prediction.all_angle.targets,on_policy_prediction.blackout_angle.components,on_policy_prediction.blackout_angle.mse,on_policy_prediction.blackout_angle.targets,on_policy_prediction.mean_reward_prediction_bias,on_policy_prediction.observed_angle.components,on_policy_prediction.observed_angle.mse,on_policy_prediction.observed_angle.targets,on_policy_prediction.reward_mse,per_case_amortized_seconds,planner_used,setup_seconds
ordinary,free-271,11.570778263951254,0.02852554908487946,0.030703166499733925,0.036094687471631914,1.426277454243973,"[17.06393745334302,14.564641484598011,8.240856786504608,16.958125663221836,2.528548087326617,9.224359698601752,10.779385423437118,15.035436297694645,6.1667500787827505,10.308863712105804,12.39295493089996,15.081212949096715,7.956339455682591,5.222673609993335,8.239496434027355,6.017890618841468,19.136121913424677,12.304421668175156,12.690918373983743,7.81870138798276,9.621762707620627,11.081021303756994,3.704080204879955,19.602260185349248,2.8211980048463157,2.7648770582909057,8.693510652841665,8.05998035383754,12.982145305173777,18.62772595441288,15.58033053871395,16.997096074802098,14.2536145993761,9.98609532661684,7.166879791803986,12.584027631238092,8.792132789024688,18.435635195876362,17.174094725556685,14.655395370973272,18.023585375650413,13.545049287205485,17.977408746375975,5.55493847298301,10.84894721234695,13.667241215019283,5.233296573159092,1.6786086598684364,13.431662870986544,9.17986936421946,9.819930187684715,19.763824924096532,8.627641851962194,14.372736315844465,14.73645227294183,7.593370620949777,17.246018085903074,15.53079759756063,9.50072105165134,13.159082265767086,10.681854681805362,18.798984417536733,9.697216692727979,10.545070345918035]",12800,0.001465534417909992,3200,3072,0.0026684221299980524,768,0.016180103366208703,9728,0.0010856751404084996,2432,0.0011683839904879148,0.00044571170445124154,True,0.06575079099275172
ordinary,residual-271,11.284419334009463,0.03307047423440963,0.035755792050622404,0.04142038732534274,1.6535237117204815,"[16.797587251437136,14.564641484598011,8.240856786504608,16.958125663221836,2.382401093276024,9.28826555778345,10.404115951587055,13.449187076657369,6.1667500787827505,10.308863712105804,12.370109749465968,15.081212949096715,8.133630074749172,5.222673609993335,8.239496434027355,8.152327798465418,19.1372066380623,12.334397985198189,12.735995124539013,7.81870138798276,9.709665675172733,11.081021303756994,3.6505813777962155,13.520311478452449,7.595001220266173,2.7648770582909057,8.693369322127833,8.05998035383754,12.982145305173777,18.62772595441288,15.58033053871395,16.997096074802098,14.29318285456863,9.98609532661684,5.6832668507100115,12.344953627702312,8.792132789024688,18.435635195876362,17.17667655463133,12.256988235127118,15.09571352989615,10.700107620893508,17.95775060004196,5.55493847298301,10.84894721234695,12.177936721505501,5.234541466147172,1.7679475473027977,10.10684322364402,9.760994659294383,9.819930187684715,19.73365512799081,8.794164878287297,14.372736315844465,14.73645227294183,7.572706000846851,14.10874467122219,15.53079759756063,9.50072105165134,13.159082265767086,10.681854681805362,18.798984417536733,9.624633002897838,10.545070345918035]",12800,0.0007340684397748151,3200,3072,0.0015589150160194541,768,0.00012522183321766773,9728,0.00047359057359229754,2432,0.0011030511360665973,0.0005167261599126505,True,0.05313091701827943
ordinary,residual-283,10.788643682923071,0.034026172459125516,0.0358891460346058,0.04408096672268584,1.701308622956276,"[14.096450785707516,13.560997969731664,8.240856786504608,11.786117043182923,2.382401093276024,9.28826555778345,9.837698343983487,12.859672177808077,6.1667500787827505,9.155566069308483,12.39295493089996,15.642595804279095,6.43249642592415,5.222673609993335,8.239496434027355,8.152327798465418,19.1372066380623,12.334397985198189,12.735995124539013,7.81870138798276,7.325563835607629,11.081021303756994,3.6505813777962155,13.866885275061604,7.595001220266173,2.7648770582909057,8.693510652841665,8.05998035383754,12.982145305173777,17.350684146074418,15.03110658190219,14.54642624979829,13.43973858005165,9.206661667463969,5.6832668507100115,12.584027631238092,8.792132789024688,18.435635195876362,15.29004033395458,14.655395370973272,11.634839139348431,8.944755102860446,17.977408746375975,5.55493847298301,10.84894721234695,10.809522330903224,5.1472567061421515,1.7679475473027977,13.431662870986544,8.289449674335335,9.839840449468092,17.36688775306853,7.44913885172212,14.372736315844465,14.73645227294183,7.572706000846851,11.743521297526572,15.53079759756063,9.50072105165134,11.559982318865076,10.681854681805362,18.818954358005975,9.697077348992073,10.677493780052188]",12800,0.0009137926051265882,3200,3072,0.0019082937151985644,768,0.005053684210179302,9728,0.0005997396229985959,2432,0.0008348485178834562,0.0005316589446738362,True,0.07645104196853936
ordinary,free-283,11.569238200447808,0.028012918257154525,0.029929999844171107,0.03722048128256574,1.4006459128577262,"[16.434233359547434,14.564641484598011,8.240856786504608,16.958125663221836,2.382760193885425,9.28826555778345,10.550032690104521,15.035436297694645,6.1667500787827505,10.308863712105804,12.39295493089996,15.081212949096715,8.133630074749172,5.222673609993335,8.239496434027355,8.152327798465418,19.1372066380623,12.334397985198189,12.735995124539013,7.81870138798276,9.709665675172733,11.081021303756994,3.6505813777962155,19.602260185349248,7.595001220266173,2.7648770582909057,8.693510652841665,8.05998035383754,12.982145305173777,18.628465044624406,15.515415892426017,16.997096074802098,14.249318924883617,9.98609532661684,5.6832668507100115,12.584027631238092,8.792132789024688,18.437084270447674,17.209432515874244,14.655395370973272,18.023863101715442,10.806035288446418,17.977408746375975,5.55493847298301,10.84894721234695,12.43340622198519,5.234541466147172,1.7679475473027977,13.431662870986544,11.483844655041638,9.819930187684715,19.67274009199134,8.794164878287297,14.372736315844465,14.73645227294183,7.572706000846851,14.113854812000556,15.53079759756063,9.50072105165134,12.976222660918456,10.681854681805362,18.798984417536733,9.697077348992073,10.545070345918035]",12800,0.0011667324315391733,3200,3072,0.00221220796477752,768,-0.006517132022151586,9728,0.0008365822631481165,2432,0.0010650281658524854,0.00043770184776803945,True,0.057549041928723454
ordinary,free-293,11.725332062558055,0.02714761087205261,0.030212812591344118,0.033218468748964364,1.3573805436026305,"[17.6288884475377,14.564641484598011,8.240856786504608,16.958125663221836,2.3853571059478376,9.28826555778345,10.779385423437118,15.035436297694645,6.1667500787827505,10.308863712105804,12.39295493089996,15.081212949096715,8.133630074749172,5.222673609993335,8.239496434027355,8.152327798465418,19.136121913424677,12.334397985198189,12.735995124539013,7.81870138798276,9.709665675172733,11.081021303756994,3.6505813777962155,19.602260185349248,7.595001220266173,2.7658387996598113,8.693369322127833,8.05998035383754,12.982145305173777,18.62772595441288,15.515415892426017,16.996686396112363,14.2536145993761,9.986598770041644,5.6832668507100115,12.584027631238092,8.792132789024688,18.435635195876362,17.202220890897586,14.655395370973272,18.023863101715442,13.545049287205485,17.977408746375975,5.55493847298301,10.84894721234695,14.857457272601529,5.234541466147172,1.7679475473027977,13.431662870986544,11.483844655041638,9.819930187684715,19.763824924096532,8.794164878287297,14.372736315844465,14.73645227294183,7.572706000846851,17.246018085903074,15.530301943513873,9.50072105165134,13.159082265767086,10.681854681805362,18.798984417536733,9.697077348992073,10.545070345918035]",12800,0.0013993677263602247,3200,3072,0.0026245057461158554,768,0.03357798390754997,9728,0.0010124820359110782,2432,0.0021635870284549687,0.00042418141987582203,True,0.06680212495848536
ordinary,residual-293,11.72470679982494,0.03179436907637864,0.034572750446386635,0.04001813965151087,1.5897184538189322,"[17.6288884475377,14.564641484598011,8.240856786504608,16.958125663221836,2.382401093276024,9.28826555778345,10.779385423437118,15.035436297694645,6.1667500787827505,10.308863712105804,12.39295493089996,15.081212949096715,8.133630074749172,5.222673609993335,8.239496434027355,8.152327798465418,19.136121913424677,12.334397985198189,12.735995124539013,7.81870138798276,9.709665675172733,11.081021303756994,3.6505813777962155,19.602260185349248,7.595001220266173,2.7648770582909057,8.693369322127833,8.05998035383754,12.982145305173777,18.62772595441288,15.515415892426017,16.997096074802098,14.2536145993761,9.98609532661684,5.6832668507100115,12.584027631238092,8.792132789024688,18.435635195876362,17.202220890897586,14.655395370973272,17.987362151525147,13.545049287205485,17.977408746375975,5.55493847298301,10.84894721234695,14.857457272601529,5.234541466147172,1.7679475473027977,13.431662870986544,11.483844655041638,9.819930187684715,19.763824924096532,8.794164878287297,14.372736315844465,14.73645227294183,7.572706000846851,17.246018085903074,15.53079759756063,9.50072105165134,13.159082265767086,10.681854681805362,18.798984417536733,9.697077348992073,10.545070345918035]",12800,0.0007109441520082117,3200,3072,0.0014368946805240325,768,0.010582136539448693,9728,0.0004816966166874261,2432,0.0006461904581246279,0.0004967870168184163,True,0.06553245894610882
ordinary,free-271-reset,11.395031399450971,0.028261359250172972,0.03087416652124375,0.03652715666685253,1.4130679625086486,"[17.16348071492883,14.564641484598011,8.292446067849772,16.958125663221836,2.528548087326617,8.977132126690634,10.779385423437118,15.035436297694645,6.1667500787827505,10.308863712105804,12.39295493089996,15.081212949096715,7.956339455682591,5.108227343852271,8.239496434027355,5.186266078298426,19.136121913424677,10.761367384941583,11.57034666160546,7.81870138798276,7.535647547965961,11.081021303756994,3.754526230704908,19.602260185349248,2.8211980048463157,2.7648770582909057,8.693510652841665,8.05998035383754,12.982145305173777,18.62772595441288,15.602251777899102,16.997096074802098,14.269933382099767,9.98609532661684,7.166879791803986,12.584027631238092,8.792132789024688,18.435635195876362,17.174094725556685,14.655395370973272,18.023585375650413,11.800576363631484,17.977408746375975,5.577705829728618,10.597772283874507,12.525787864886855,5.135620193243494,1.6005053618179885,13.431662870986544,9.17986936421946,9.819930187684715,19.763824924096532,7.061797782319843,13.684115524065032,14.73645227294183,7.593370620949777,17.246018085903074,15.53079759756063,9.50072105165134,13.159082265767086,10.681854681805362,18.798984417536733,9.697216692727979,10.545070345918035]",12800,0.09743085717545846,3200,3072,0.32849207300292577,768,0.023267543029668915,9728,0.024464157440468773,2432,0.0031553908213854957,0.0004415837382839527,True,0.05609454098157585
ordinary,residual-271-reset,11.10017196512074,0.033436978333629665,0.035788979032076895,0.04262412488460541,1.6718489166814834,"[15.378317662560422,14.554762104335841,8.240856786504608,16.958125663221836,2.382401093276024,9.28826555778345,10.574992499997345,13.7255399793956,6.1667500787827505,10.30375352034593,12.370109749465968,13.86227299088136,7.956339455682591,5.222673609993335,8.239496434027355,8.257160163466157,19.230156650218618,12.334397985198189,11.066104062329815,7.81870138798276,7.564354958541264,11.081021303756994,3.748442297640052,14.107658126865749,7.595001220266173,2.7648770582909057,8.693369322127833,8.05998035383754,12.982145305173777,17.12182463490896,15.694453859194573,16.997096074802098,14.29318285456863,9.979952593490635,5.810363449429748,12.28541371840295,8.792132789024688,18.55000145561046,15.560025807403587,12.299504331285668,15.09571352989615,10.698900571534168,17.96539451067213,5.55493847298301,10.84894721234695,11.852048859579485,5.233296573159092,1.7679475473027977,10.10684322364402,9.499637506965101,9.84445785052,16.977387465185874,8.715508718705689,14.372736315844465,14.73645227294183,7.593370620949777,14.167248733005385,15.521978658288646,9.368983137275075,12.926491506739877,10.681854681805362,18.81252578057077,9.611292721821432,10.545070345918035]",12800,0.07874787107190835,3200,3072,0.261038419597076,768,0.018422451403083427,9728,0.02118243469553961,2432,0.003829349224075424,0.0005224527864629635,True,0.05284900008700788
ordinary,residual-283-reset,10.941544332308446,0.032133130081929265,0.03553493751678616,0.04277231439482421,1.6066565040964633,"[14.890757769761093,14.564641484598011,8.34118628518521,12.373245754949656,2.382401093276024,9.28826555778345,9.912910022626072,12.814157518663274,6.1667500787827505,9.92544692524192,12.39295493089996,15.496182173848888,6.772505080950757,5.1759971384605095,8.239496434027355,8.152327798465418,19.11058701503393,12.334397985198189,12.735995124539013,7.81870138798276,7.5977153904452255,11.081021303756994,3.8815099997046816,14.155756684315637,7.595001220266173,2.7648770582909057,8.693510652841665,8.460646806792683,12.982145305173777,18.629715964213446,15.03110658190219,14.588420091429539,13.622096464339222,9.26412889098334,5.6832668507100115,12.505593582380047,8.792132789024688,18.408207432316782,16.768328818717986,14.384441858911703,11.634839139348431,9.15498956836451,17.977408746375975,5.55493847298301,10.84894721234695,11.861030526583068,5.1517890750646895,1.686954488143909,13.148353608277933,8.382966750050814,9.839840449468092,18.23132094766314,7.627503192965379,14.372736315844465,14.73645227294183,7.593370620949777,11.996870974468422,15.53079759756063,9.50072105165134,12.060491891122947,10.681854681805362,18.818954358005975,9.409680238910694,10.677493780052188]",12800,0.07445519078670501,3200,3072,0.24979067797129237,768,0.023107868051151403,9728,0.01908608957051954,2432,0.003711135943240865,0.0005020801575301448,True,0.059026625007390976
ordinary,free-283-reset,11.584336478759838,0.027816298361867667,0.029961312538944185,0.03548960410989821,1.3908149180933833,"[16.745847807992753,14.564641484598011,8.240856786504608,16.958125663221836,2.382760193885425,9.28826555778345,10.569814091560936,15.035436297694645,6.1667500787827505,10.308863712105804,12.39295493089996,15.081212949096715,8.133630074749172,5.222673609993335,8.239496434027355,8.152327798465418,19.1372066380623,12.334397985198189,12.735995124539013,7.81870138798276,9.709665675172733,11.081021303756994,3.6505813777962155,19.602260185349248,7.595001220266173,2.7648770582909057,8.693510652841665,8.05998035383754,12.982145305173777,18.628465044624406,15.515415892426017,16.997096074802098,14.249318924883617,9.98609532661684,5.6832668507100115,12.584027631238092,8.792132789024688,18.437084270447674,17.209432515874244,14.655395370973272,18.023863101715442,10.748721466136926,17.977408746375975,5.55493847298301,10.84894721234695,12.984343367071181,5.234541466147172,1.7679475473027977,13.431662870986544,11.483844655041638,9.819930187684715,19.701457402977645,8.794164878287297,14.372736315844465,14.73645227294183,7.572706000846851,14.167248733005385,15.53079759756063,9.50072105165134,13.03538206821901,10.681854681805362,18.798984417536733,9.697077348992073,10.545070345918035]",12800,0.04982343485757209,3200,3072,0.16905532178036434,768,-0.0012264910031421848,9728,0.012171260039848218,2432,0.0020833189351019037,0.0004346296619041823,True,0.04690024978481233
