group,method,rows,dialogues,distinct_schema_queries,dialogue_query_streams,accuracy,nll,brier,equal_dialogue_accuracy,equal_dialogue_nll,equal_dialogue_brier
unseen/transition/revision,candidate,203,196,11,203,0.6568144499178982,1.2403521751598008,0.555045556792501,0.6643990929705215,1.223988364017581,0.5453670728780153
unseen/transition/unmentioned_retention,mean,17953,1352,16,4491,0.9679719266974879,0.12925381468018327,0.05339353862027468,0.9649091640957028,0.135889575844898,0.059857888730876184
unseen/transition/unmentioned_retention,slot,17953,1352,16,4491,0.9745817783471656,0.11006230616854483,0.042367997766273736,0.9716510780275663,0.1220027104585323,0.04723690325581046
unseen/transition/unmentioned_retention,candidate,17953,1352,16,4491,0.9753430253068197,0.09236802293032288,0.03915709250047764,0.9654682557533792,0.12044260291577302,0.053600619842265294
unseen/value/dontcare,mean,162,39,5,39,0.7469135802469137,1.2219685228712276,0.38123535176450307,0.6860907610907611,1.5282410087701723,0.46620062079727104
unseen/value/dontcare,slot,162,39,5,39,0.7736625514403292,1.4474124393781473,0.37479756053555424,0.7328144078144079,1.7445420712572475,0.4398324190138833
unseen/value/dontcare,candidate,162,39,5,39,0.7592592592592592,1.4042866370612803,0.40479851598022015,0.7268925518925519,1.6449637078012629,0.4615880955985105
unseen/value/dontcare/changed,mean,23,23,4,23,0.028985507246376812,6.496952511262202,1.5290564083015958,0.028985507246376812,6.496952511262202,1.5290564083015958
unseen/value/dontcare/changed,slot,23,23,4,23,0.08695652173913043,8.085075577694004,1.5398261869922678,0.08695652173913043,8.085075577694004,1.5398261869922678
unseen/value/dontcare/changed,candidate,23,23,4,23,0.0,7.152604989383531,1.7423653703131705,0.0,7.152604989383531,1.7423653703131705
unseen/value/dontcare/retained,mean,139,39,5,39,0.8657074340527577,0.3491294456554546,0.19130812658210636,0.8045584045584045,0.4937151038372904,0.27819993865002063
unseen/value/dontcare/retained,slot,139,39,5,39,0.8872901678657074,0.34909407836185435,0.18202303961106212,0.8434947768281101,0.4626057177384282,0.24735819676884419
unseen/value/dontcare/retained,candidate,139,39,5,39,0.8848920863309352,0.4531260463892533,0.18347450411217792,0.8677248677248678,0.5157608103593999,0.20774806662619164
unseen/value/false,mean,0,0,0,0,,,,,,
unseen/value/false,slot,0,0,0,0,,,,,,
unseen/value/false,candidate,0,0,0,0,,,,,,
unseen/value/false/changed,mean,0,0,0,0,,,,,,
unseen/value/false/changed,slot,0,0,0,0,,,,,,
unseen/value/false/changed,candidate,0,0,0,0,,,,,,
unseen/value/false/retained,mean,0,0,0,0,,,,,,
unseen/value/false/retained,slot,0,0,0,0,,,,,,
unseen/value/false/retained,candidate,0,0,0,0,,,,,,
unseen/value/none,mean,17953,1352,16,4491,0.9679719266974879,0.12925381468018327,0.05339353862027468,0.9649091640957028,0.135889575844898,0.059857888730876184
unseen/value/none,slot,17953,1352,16,4491,0.9745817783471656,0.11006230616854483,0.042367997766273736,0.9716510780275663,0.1220027104585323,0.04723690325581046
unseen/value/none,candidate,17953,1352,16,4491,0.9753430253068197,0.09236802293032288,0.03915709250047764,0.9654682557533792,0.12044260291577302,0.053600619842265294
unseen/value/none/changed,mean,0,0,0,0,,,,,,
unseen/value/none/changed,slot,0,0,0,0,,,,,,
unseen/value/none/changed,candidate,0,0,0,0,,,,,,
unseen/value/none/retained,mean,17953,1352,16,4491,0.9679719266974879,0.12925381468018327,0.05339353862027468,0.9649091640957028,0.135889575844898,0.059857888730876184
unseen/value/none/retained,slot,17953,1352,16,4491,0.9745817783471656,0.11006230616854483,0.042367997766273736,0.9716510780275663,0.1220027104585323,0.04723690325581046
