anchor_id,episode_id,regime,case,schedule,preaction_step,weight,same_action,half_a,half_b,mean_advantage,paired_standard_error,physical_records,tied_replicates,both_censored_replicates,analytic_censored_fraction,neural_censored_fraction
216,train:shift:19600003:always,shift,2,always,4,0.006944444444444444,True,0.0,0.0,0.0,0.0,16,16,0,0.0,0.0
217,train:shift:19600003:always,shift,2,always,8,0.006944444444444444,True,0.0,0.0,0.0,0.0,16,16,0,0.0,0.0
218,train:shift:19600003:always,shift,2,always,16,0.006944444444444444,True,0.0,0.0,0.0,0.0,16,16,2,0.125,0.125
220,train:shift:19600003:never,shift,2,never,0,0.009259259259259259,False,-2.375,2.0,-0.1875,2.544960297660195,32,2,2,0.3125,0.25
221,train:shift:19600003:never,shift,2,never,4,0.009259259259259259,True,0.0,0.0,0.0,0.0,16,16,1,0.0625,0.0625
222,train:shift:19600003:never,shift,2,never,8,0.009259259259259259,True,0.0,0.0,0.0,0.0,16,16,0,0.0,0.0
225,train:shift:19600004:always,shift,3,always,0,0.005555555555555556,False,-1.25,1.625,0.1875,1.2186698691606352,32,10,8,0.625,0.5
226,train:shift:19600004:always,shift,3,always,4,0.005555555555555556,True,0.0,0.0,0.0,0.0,16,16,12,0.75,0.75
227,train:shift:19600004:always,shift,3,always,8,0.005555555555555556,False,-0.5,0.0,-0.25,0.25,32,15,14,0.9375,0.875
228,train:shift:19600004:always,shift,3,always,16,0.005555555555555556,True,0.0,0.0,0.0,0.0,16,16,5,0.3125,0.3125
229,train:shift:19600004:always,shift,3,always,32,0.005555555555555556,True,0.0,0.0,0.0,0.0,16,16,2,0.125,0.125
230,train:shift:19600004:never,shift,3,never,0,0.005555555555555556,False,-3.125,-0.25,-1.6875,1.5430455545230455,32,11,10,0.75,0.75
231,train:shift:19600004:never,shift,3,never,4,0.005555555555555556,True,0.0,0.0,0.0,0.0,16,16,8,0.5,0.5
232,train:shift:19600004:never,shift,3,never,8,0.005555555555555556,True,0.0,0.0,0.0,0.0,16,16,1,0.0625,0.0625
233,train:shift:19600004:never,shift,3,never,16,0.005555555555555556,True,0.0,0.0,0.0,0.0,16,16,6,0.375,0.375
234,train:shift:19600004:never,shift,3,never,32,0.005555555555555556,False,-0.5,1.75,0.625,1.7580173491749165,32,3,1,0.0625,0.125
235,train:shift:19600004:period2,shift,3,period2,0,0.005555555555555556,False,-0.25,3.125,1.4375,2.1505207702631783,32,10,10,0.75,0.75
236,train:shift:19600004:period2,shift,3,period2,4,0.005555555555555556,True,0.0,0.0,0.0,0.0,16,16,14,0.875,0.875
237,train:shift:19600004:period2,shift,3,period2,8,0.005555555555555556,True,0.0,0.0,0.0,0.0,16,16,12,0.75,0.75
238,train:shift:19600004:period2,shift,3,period2,16,0.005555555555555556,False,1.125,2.875,2.0,2.336307628146031,32,0,0,0.0625,0.0625
239,train:shift:19600004:period2,shift,3,period2,32,0.005555555555555556,True,0.0,0.0,0.0,0.0,16,16,0,0.0,0.0
240,train:shift:19600005:never,shift,4,never,0,0.005555555555555556,True,0.0,0.0,0.0,0.0,16,16,2,0.125,0.125
241,train:shift:19600005:never,shift,4,never,4,0.005555555555555556,True,0.0,0.0,0.0,0.0,16,16,5,0.3125,0.3125
242,train:shift:19600005:never,shift,4,never,8,0.005555555555555556,False,-3.375,-2.5,-2.9375,2.9018223440911517,32,4,2,0.1875,0.4375
243,train:shift:19600005:never,shift,4,never,16,0.005555555555555556,False,2.5,0.125,1.3125,2.1305686838651003,32,3,2,0.1875,0.25
244,train:shift:19600005:never,shift,4,never,32,0.005555555555555556,True,0.0,0.0,0.0,0.0,16,16,0,0.0,0.0
245,train:shift:19600005:period2,shift,4,period2,0,0.005555555555555556,True,0.0,0.0,0.0,0.0,16,16,2,0.125,0.125
246,train:shift:19600005:period2,shift,4,period2,4,0.005555555555555556,True,0.0,0.0,0.0,0.0,16,16,2,0.125,0.125
247,train:shift:19600005:period2,shift,4,period2,8,0.005555555555555556,True,0.0,0.0,0.0,0.0,16,16,4,0.25,0.25
248,train:shift:19600005:period2,shift,4,period2,16,0.005555555555555556,True,0.0,0.0,0.0,0.0,16,16,2,0.125,0.125
249,train:shift:19600005:period2,shift,4,period2,32,0.005555555555555556,True,0.0,0.0,0.0,0.0,16,16,0,0.0,0.0
250,train:shift:19600005:always,shift,4,always,0,0.005555555555555556,True,0.0,0.0,0.0,0.0,16,16,8,0.5,0.5
251,train:shift:19600005:always,shift,4,always,4,0.005555555555555556,True,0.0,0.0,0.0,0.0,16,16,3,0.1875,0.1875
252,train:shift:19600005:always,shift,4,always,8,0.005555555555555556,True,0.0,0.0,0.0,0.0,16,16,1,0.0625,0.0625
253,train:shift:19600005:always,shift,4,always,16,0.005555555555555556,True,0.0,0.0,0.0,0.0,16,16,1,0.0625,0.0625
254,train:shift:19600005:always,shift,4,always,32,0.005555555555555556,True,0.0,0.0,0.0,0.0,16,16,0,0.0,0.0
255,train:shift:19600006:period2,shift,5,period2,0,0.013888888888888888,False,0.375,-0.875,-0.25,1.8314384146529925,32,2,1,0.125,0.125
256,train:shift:19600006:period2,shift,5,period2,4,0.013888888888888888,True,0.0,0.0,0.0,0.0,16,16,1,0.0625,0.0625
260,train:shift:19600006:always,shift,5,always,0,0.013888888888888888,False,-3.625,0.625,-1.5,1.9937402037376886,32,0,0,0.0625,0.1875
261,train:shift:19600006:always,shift,5,always,4,0.013888888888888888,True,0.0,0.0,0.0,0.0,16,16,1,0.0625,0.0625
265,train:shift:19600006:never,shift,5,never,0,0.027777777777777776,False,-5.75,-1.125,-3.4375,2.5625,32,1,0,0.0,0.1875
270,train:shift:19600007:always,shift,6,always,0,0.005555555555555556,False,-2.875,-0.25,-1.5625,2.071570961854795,32,11,8,0.625,0.5625
271,train:shift:19600007:always,shift,6,always,4,0.005555555555555556,True,0.0,0.0,0.0,0.0,16,16,15,0.9375,0.9375
272,train:shift:19600007:always,shift,6,always,8,0.005555555555555556,False,-0.75,3.75,1.5,1.665833124895768,32,10,6,0.625,0.5625
273,train:shift:19600007:always,shift,6,always,16,0.005555555555555556,True,0.0,0.0,0.0,0.0,16,16,15,0.9375,0.9375
274,train:shift:19600007:always,shift,6,always,32,0.005555555555555556,True,0.0,0.0,0.0,0.0,16,16,10,0.625,0.625
275,train:shift:19600007:never,shift,6,never,0,0.005555555555555556,False,2.125,-3.625,-0.75,2.277608394786075,32,9,9,0.5625,0.6875
276,train:shift:19600007:never,shift,6,never,4,0.005555555555555556,True,0.0,0.0,0.0,0.0,16,16,14,0.875,0.875
277,train:shift:19600007:never,shift,6,never,8,0.005555555555555556,True,0.0,0.0,0.0,0.0,16,16,12,0.75,0.75
278,train:shift:19600007:never,shift,6,never,16,0.005555555555555556,True,0.0,0.0,0.0,0.0,16,16,13,0.8125,0.8125
279,train:shift:19600007:never,shift,6,never,32,0.005555555555555556,True,0.0,0.0,0.0,0.0,16,16,8,0.5,0.5
280,train:shift:19600007:period2,shift,6,period2,0,0.005555555555555556,False,0.875,-2.375,-0.75,1.1565033506220377,32,10,7,0.5625,0.5
281,train:shift:19600007:period2,shift,6,period2,4,0.005555555555555556,True,0.0,0.0,0.0,0.0,16,16,12,0.75,0.75
282,train:shift:19600007:period2,shift,6,period2,8,0.005555555555555556,True,0.0,0.0,0.0,0.0,16,16,13,0.8125,0.8125
283,train:shift:19600007:period2,shift,6,period2,16,0.005555555555555556,True,0.0,0.0,0.0,0.0,16,16,11,0.6875,0.6875
284,train:shift:19600007:period2,shift,6,period2,32,0.005555555555555556,True,0.0,0.0,0.0,0.0,16,16,15,0.9375,0.9375
