candidate,control,regime,scope,direction,seed_count,candidate_episode_weighted_raw_gap,candidate_episode_weighted_agreement,candidate_episode_weighted_centered_mse,candidate_episode_weighted_first_argmin_match,control_episode_weighted_raw_gap,control_episode_weighted_agreement,control_episode_weighted_centered_mse,control_episode_weighted_first_argmin_match,delta_episode_weighted_raw_gap,delta_episode_weighted_agreement,delta_episode_weighted_centered_mse,delta_episode_weighted_first_argmin_match
frozen_spo,joint_aux,lambda3,postcorrection,frozen_spo minus control,3,0.14986222891345968,0.6387165003784864,0.16517542178538155,0.619814738560058,0.11612642823128365,0.6667886186331021,0.09463946282672266,0.6501890453668623,0.03373580068217603,-0.028072118254615752,0.07053595895865888,-0.030374306806804308
frozen_spo,joint_spo,lambda3,postcorrection,frozen_spo minus control,3,0.14986222891345968,0.6387165003784864,0.16517542178538155,0.619814738560058,0.15210041428201934,0.640851839003847,0.3070902445444275,0.6272265342674311,-0.00223818536855964,-0.0021353386253605646,-0.14191482275904602,-0.007411795707373233
frozen_spo,pretrained,lambda4,initial,frozen_spo minus control,3,0.04009053147869345,0.5,0.042214021716333504,0.48148148148148145,0.02954923665082013,0.5277777777777778,0.027535398313028456,0.478395061728395,0.010541294827873323,-0.02777777777777779,0.014678623403305044,0.003086419753086415
frozen_spo,frozen_aux,lambda4,initial,frozen_spo minus control,3,0.04009053147869345,0.5,0.042214021716333504,0.48148148148148145,0.03790505138444312,0.4814814814814814,0.02486494651325698,0.345679012345679,0.0021854800942503346,0.018518518518518545,0.017349075203076523,0.13580246913580246
frozen_spo,joint_aux,lambda4,initial,frozen_spo minus control,3,0.04009053147869345,0.5,0.042214021716333504,0.48148148148148145,0.030626723795761295,0.49691358024691357,0.01937844318462112,0.4845679012345679,0.009463807682932158,0.0030864197530864335,0.02283557853171238,-0.003086419753086415
frozen_spo,joint_spo,lambda4,initial,frozen_spo minus control,3,0.04009053147869345,0.5,0.042214021716333504,0.48148148148148145,0.039541780212779105,0.5802469135802469,0.09079206113689124,0.5493827160493827,0.0005487512659143526,-0.08024691358024694,-0.048578039420557724,-0.06790123456790122
frozen_spo,pretrained,lambda4,full,frozen_spo minus control,3,0.07444716747246215,0.5494648173885639,0.09811698217545478,0.5456435357895045,0.06959011856729726,0.5698330336079585,0.06565301825044279,0.5519197683653774,0.004857048905164886,-0.020368216219394553,0.03246396392501199,-0.006276232575872805
frozen_spo,frozen_aux,lambda4,full,frozen_spo minus control,3,0.07444716747246215,0.5494648173885639,0.09811698217545478,0.5456435357895045,0.07473940022254949,0.5531049583255983,0.0620381191601802,0.5224137547487809,-0.00029223275008734284,-0.003640140937034316,0.03607886301527458,0.023229781040723596
frozen_spo,joint_aux,lambda4,full,frozen_spo minus control,3,0.07444716747246215,0.5494648173885639,0.09811698217545478,0.5456435357895045,0.05429814784786562,0.564487103903735,0.05234643371679845,0.5616085442494639,0.020149019624596528,-0.01502228651517105,0.04577054845865633,-0.01596500845995937
frozen_spo,joint_spo,lambda4,full,frozen_spo minus control,3,0.07444716747246215,0.5494648173885639,0.09811698217545478,0.5456435357895045,0.0677461916219271,0.5656702704090094,0.20272603372598438,0.5557099223524061,0.006700975850535043,-0.016205453020445515,-0.10460905155052959,-0.01006638656290156
frozen_spo,pretrained,lambda4,postcorrection,frozen_spo minus control,3,0.08334270443487753,0.45511721923599313,0.10060188907185598,0.45511721923599313,0.0790537994114776,0.49010560179142554,0.06759694702535841,0.47577963968768566,0.00428890502339994,-0.03498838255543241,0.03300494204649757,-0.02066242045169253
frozen_spo,frozen_aux,lambda4,postcorrection,frozen_spo minus control,3,0.08334270443487753,0.45511721923599313,0.10060188907185598,0.45511721923599313,0.08515767715610072,0.4687773224363263,0.06289909132056809,0.4639625076215115,-0.0018149727212231764,-0.013660103200333137,0.03770279775128789,-0.00884528838551829
frozen_spo,joint_aux,lambda4,postcorrection,frozen_spo minus control,3,0.08334270443487753,0.45511721923599313,0.10060188907185598,0.45511721923599313,0.06115455967627622,0.4923971388339205,0.05578702316294413,0.490968567405349,0.022188144758601317,-0.03727991959792731,0.04481486590891185,-0.03585134816935589
frozen_spo,joint_spo,lambda4,postcorrection,frozen_spo minus control,3,0.08334270443487753,0.45511721923599313,0.10060188907185598,0.45511721923599313,0.06433061959188506,0.4733893153816526,0.19585316547949483,0.4653836173759545,0.019012084842992473,-0.01827209614565939,-0.09525127640763886,-0.010266398139961386
