family,seed,regime,scope,episodes,supported_episodes,declared_case_count,supported_case_count,weight_mass,nonquery_rows,episode_weighted_raw_gap,episode_weighted_agreement,episode_weighted_centered_mse,episode_weighted_first_argmin_match
joint_aux,301000001,lambda3,initial,18,18,6,6,1.0,54,0.07096355932730215,0.6111111111111112,0.029867471858682184,0.5555555555555556
joint_aux,301000001,lambda3,full,18,18,6,6,1.0,3631,0.12042247539847667,0.6817597585858951,0.0825752689569737,0.646835436982238
joint_aux,301000001,lambda3,postcorrection,18,17,6,6,0.9444444444444444,3577,0.1140873328557669,0.685434338628624,0.09149595539730154,0.6714610279886466
joint_aux,301000001,lambda4,initial,18,15,6,5,0.8333333333333334,44,0.03945441599245424,0.5277777777777778,0.02422399325429528,0.5277777777777778
joint_aux,301000001,lambda4,full,18,15,6,5,0.8333333333333334,3560,0.05344366272669084,0.5510874312683736,0.05713048255316136,0.5510874312683736
joint_aux,301000001,lambda4,postcorrection,18,13,6,5,0.7222222222222222,3516,0.05469742767548455,0.4921177120027695,0.059707232404540185,0.4921177120027695
joint_spo,301000001,lambda3,initial,18,18,6,6,1.0,54,0.05935260984632704,0.5555555555555556,0.11908943382642777,0.5555555555555556
joint_spo,301000001,lambda3,full,18,18,6,6,1.0,3631,0.15908385028560085,0.6538772777785542,0.322002394210104,0.6459407698420463
joint_spo,301000001,lambda3,postcorrection,18,17,6,6,0.9444444444444444,3577,0.18891984109584326,0.5888573270093911,0.3399767765918162,0.5793623775144416
joint_spo,301000001,lambda4,initial,18,15,6,5,0.8333333333333334,44,0.05099978270354094,0.48148148148148145,0.11909915670568062,0.48148148148148145
joint_spo,301000001,lambda4,full,18,15,6,5,0.8333333333333334,3560,0.06140918459351029,0.533123744268283,0.22733502748837336,0.5305796832391931
joint_spo,301000001,lambda4,postcorrection,18,13,6,5,0.7222222222222222,3516,0.06177874497835862,0.4565746471493598,0.21238761616479776,0.45384231775036377
pretrained,301000002,lambda3,initial,18,18,6,6,1.0,54,0.0380297236972385,0.7962962962962963,0.02129562832522601,0.5925925925925926
pretrained,301000002,lambda3,full,18,18,6,6,1.0,3631,0.11984528188205355,0.7127621306584506,0.09234113041484276,0.6317633343842899
pretrained,301000002,lambda3,postcorrection,18,17,6,6,0.9444444444444444,3577,0.12842603238375924,0.6688665623222311,0.10344160947709428,0.6425700193590215
pretrained,301000002,lambda4,initial,18,15,6,5,0.8333333333333334,44,0.02344900590402109,0.5648148148148148,0.021200270252767456,0.5277777777777778
pretrained,301000002,lambda4,full,18,15,6,5,0.8333333333333334,3560,0.05838507645553029,0.5759410630051537,0.0554365518287919,0.5620183194206185
pretrained,301000002,lambda4,postcorrection,18,13,6,5,0.7222222222222222,3516,0.06381747603355098,0.48919409241248324,0.05866491832229442,0.4706755738939647
frozen_aux,301000002,lambda3,initial,18,18,6,6,1.0,54,0.06399412508364077,0.7962962962962963,0.04123269086147309,0.4259259259259259
frozen_aux,301000002,lambda3,full,18,18,6,6,1.0,3631,0.13827923211886495,0.6945339773425362,0.09820828120391104,0.5914996553107703
frozen_aux,301000002,lambda3,postcorrection,18,17,6,6,0.9444444444444444,3577,0.13428531466709964,0.6506191081610072,0.1048018913558292,0.6208503429755754
frozen_aux,301000002,lambda4,initial,18,15,6,5,0.8333333333333334,44,0.03813595241970486,0.537037037037037,0.023364756449359026,0.4074074074074074
frozen_aux,301000002,lambda4,full,18,15,6,5,0.8333333333333334,3560,0.07191994101690237,0.5610104495747193,0.05802830221087455,0.5328641886013242
frozen_aux,301000002,lambda4,postcorrection,18,13,6,5,0.7222222222222222,3516,0.08415683862323785,0.43246403660196764,0.06198896839404043,0.42817832231625336
frozen_spo,301000002,lambda3,initial,18,18,6,6,1.0,54,0.03261590886999059,0.8333333333333334,0.055479883642201834,0.4629629629629629
frozen_spo,301000002,lambda3,full,18,18,6,6,1.0,3631,0.12519857979678098,0.6898644931118546,0.14183021342873356,0.5888142980642157
frozen_spo,301000002,lambda3,postcorrection,18,17,6,6,0.9444444444444444,3577,0.14078013960004715,0.6125432916256544,0.15686685673215883,0.5849967486624447
frozen_spo,301000002,lambda4,initial,18,15,6,5,0.8333333333333334,44,0.051650956824973775,0.45370370370370366,0.044194164710432915,0.39814814814814814
frozen_spo,301000002,lambda4,full,18,15,6,5,0.8333333333333334,3560,0.08139608282348386,0.5167934427189128,0.09792312123827668,0.5053295979217347
frozen_spo,301000002,lambda4,postcorrection,18,13,6,5,0.7222222222222222,3516,0.09270532029407169,0.424718538166814,0.10151501704944767,0.424718538166814
joint_aux,301000002,lambda3,initial,18,18,6,6,1.0,54,0.035333509798403134,0.8703703703703703,0.020090684560023594,0.5
joint_aux,301000002,lambda3,full,18,18,6,6,1.0,3631,0.10858142170678546,0.7303684417967521,0.0878759039232524,0.6302580963731734
joint_aux,301000002,lambda3,postcorrection,18,17,6,6,0.9444444444444444,3577,0.11441162008052556,0.6754542390709322,0.09975133119498575,0.6491576961077226
joint_aux,301000002,lambda4,initial,18,15,6,5,0.8333333333333334,44,0.027298176730120624,0.5092592592592592,0.016630509924196544,0.4722222222222222
