candidate,control,seed,regime,scope,direction,candidate_episode_weighted_raw_gap,control_episode_weighted_raw_gap,delta_episode_weighted_raw_gap,candidate_episode_weighted_agreement,control_episode_weighted_agreement,delta_episode_weighted_agreement,candidate_episode_weighted_centered_mse,control_episode_weighted_centered_mse,delta_episode_weighted_centered_mse,candidate_episode_weighted_first_argmin_match,control_episode_weighted_first_argmin_match,delta_episode_weighted_first_argmin_match
frozen_spo,frozen_aux,301000002,lambda3,full,frozen_spo minus control,0.12519857979678098,0.13827923211886495,-0.013080652322083969,0.6898644931118546,0.6945339773425362,-0.0046694842306815865,0.14183021342873356,0.09820828120391104,0.043621932224822524,0.5888142980642157,0.5914996553107703,-0.0026853572465546094
frozen_spo,frozen_aux,301000003,lambda3,full,frozen_spo minus control,0.15110324423867086,0.14847228477552266,0.0026309594631482025,0.7009373917914093,0.6778212769725385,0.02311611481887088,0.1560075782655228,0.09820057541729485,0.057807002848227956,0.6620448162194985,0.6075662069924705,0.05447860922702796
frozen_spo,joint_aux,301000001,lambda3,full,frozen_spo minus control,0.13540745931349502,0.12042247539847667,0.014984983915018346,0.7209643036986793,0.6817597585858951,0.03920454511278415,0.14874383696111232,0.0825752689569737,0.06616856800413862,0.712993941066525,0.646835436982238,0.06615850408428703
frozen_spo,joint_aux,301000002,lambda3,full,frozen_spo minus control,0.12519857979678098,0.10858142170678546,0.016617158089995518,0.6898644931118546,0.7303684417967521,-0.040503948684897484,0.14183021342873356,0.0878759039232524,0.05395430950548116,0.5888142980642157,0.6302580963731734,-0.041443798308957724
frozen_spo,joint_aux,301000003,lambda3,full,frozen_spo minus control,0.15110324423867086,0.10485541541577509,0.04624782882289577,0.7009373917914093,0.7166043948306914,-0.015667003039282035,0.1560075782655228,0.08108959967552246,0.07491797859000035,0.6620448162194985,0.6495283421410658,0.012516474078432704
frozen_spo,joint_spo,301000001,lambda3,full,frozen_spo minus control,0.13540745931349502,0.15908385028560085,-0.023676390972105832,0.7209643036986793,0.6538772777785542,0.06708702592012505,0.14874383696111232,0.322002394210104,-0.1732585572489917,0.712993941066525,0.6459407698420463,0.06705317122447874
frozen_spo,joint_spo,301000002,lambda3,full,frozen_spo minus control,0.12519857979678098,0.11766413082526343,0.007534448971517546,0.6898644931118546,0.727023318507371,-0.037158825395516404,0.14183021342873356,0.27632583717078574,-0.13449562374205218,0.5888142980642157,0.6256269772271318,-0.036812679162916084
frozen_spo,joint_spo,301000003,lambda3,full,frozen_spo minus control,0.15110324423867086,0.12723961699553762,0.023863627243133234,0.7009373917914093,0.7314857035822087,-0.03054831179079931,0.1560075782655228,0.2403673210253845,-0.08435974275986169,0.6620448162194985,0.7231507984237203,-0.06110598220422181
frozen_spo,pretrained,301000001,lambda3,postcorrection,frozen_spo minus control,0.14986611036406353,0.15954842872811342,-0.009682318364049897,0.6763044809104363,0.6495868715306402,0.02671760937979606,0.16584293402710076,0.09826363166246738,0.06757930236463339,0.6667756147149033,0.6333913386684407,0.03338427604646266
frozen_spo,pretrained,301000002,lambda3,postcorrection,frozen_spo minus control,0.14078013960004715,0.12842603238375924,0.012354107216287907,0.6125432916256544,0.6688665623222311,-0.05632327069657672,0.15686685673215883,0.10344160947709428,0.05342524725506455,0.5849967486624447,0.6425700193590215,-0.057573270696576806
frozen_spo,pretrained,301000003,lambda3,postcorrection,frozen_spo minus control,0.15894043677626837,0.17321030745043148,-0.014269870674163104,0.6273017285993687,0.6082863152974199,0.01901541330194878,0.172816474596885,0.12470963177150574,0.048106842825379276,0.6076718523028258,0.5965352268796649,0.011136625423160962
frozen_spo,frozen_aux,301000001,lambda3,postcorrection,frozen_spo minus control,0.14986611036406353,0.16263400077187232,-0.01276789040780879,0.6763044809104363,0.6531947617629198,0.023109719147516472,0.16584293402710076,0.10922533934516512,0.05661759468193564,0.6667756147149033,0.6234259965774879,0.04334961813741545
frozen_spo,frozen_aux,301000002,lambda3,postcorrection,frozen_spo minus control,0.14078013960004715,0.13428531466709964,0.006494824932947507,0.6125432916256544,0.6506191081610072,-0.03807581653535286,0.15686685673215883,0.1048018913558292,0.05206496537632964,0.5849967486624447,0.6208503429755754,-0.03585359431313073
frozen_spo,frozen_aux,301000003,lambda3,postcorrection,frozen_spo minus control,0.15894043677626837,0.16345553750432065,-0.004515100728052279,0.6273017285993687,0.6269726440289985,0.000329084570370175,0.172816474596885,0.11424690072234495,0.058569573874540065,0.6076718523028258,0.6224942828839707,-0.014822430581144852
frozen_spo,joint_aux,301000001,lambda3,postcorrection,frozen_spo minus control,0.14986611036406353,0.1140873328557669,0.035778777508296625,0.6763044809104363,0.685434338628624,-0.00912985771818775,0.16584293402710076,0.09149595539730154,0.07434697862979922,0.6667756147149033,0.6714610279886466,-0.004685413273743277
frozen_spo,joint_aux,301000002,lambda3,postcorrection,frozen_spo minus control,0.14078013960004715,0.11441162008052556,0.026368519519521585,0.6125432916256544,0.6754542390709322,-0.06291094744527781,0.15686685673215883,0.09975133119498575,0.057115525537173084,0.5849967486624447,0.6491576961077226,-0.0641609474452779
frozen_spo,joint_aux,301000003,lambda3,postcorrection,frozen_spo minus control,0.15894043677626837,0.1198803317575585,0.03906010501870988,0.6273017285993687,0.6394772781997504,-0.012175549600381697,0.172816474596885,0.09267110188788068,0.08014537270900433,0.6076718523028258,0.6299484120042176,-0.02227655970139175
frozen_spo,joint_spo,301000001,lambda3,postcorrection,frozen_spo minus control,0.14986611036406353,0.18891984109584326,-0.03905373073177973,0.6763044809104363,0.5888573270093911,0.08744715390104518,0.16584293402710076,0.3399767765918162,-0.17413384256471542,0.6667756147149033,0.5793623775144416,0.08741323720046168
frozen_spo,joint_spo,301000002,lambda3,postcorrection,frozen_spo minus control,0.14078013960004715,0.12840068286734477,0.012379456732702382,0.6125432916256544,0.6581888788262602,-0.04564558720060585,0.15686685673215883,0.31080125220885524,-0.1539343954766964,0.5849967486624447,0.6341145580852728,-0.049117809422828174
frozen_spo,joint_spo,301000003,lambda3,postcorrection,frozen_spo minus control,0.15894043677626837,0.13898071888286995,0.019959717893398427,0.6273017285993687,0.6755093111758897,-0.048207582576521024,0.172816474596885,0.27049270483261123,-0.09767623023572622,0.6076718523028258,0.668202667202579,-0.060530814899753205
frozen_spo,pretrained,301000001,lambda4,initial,frozen_spo minus control,0.04132270812988281,0.0477338985160545,-0.006411190386171689,0.5,0.49074074074074076,0.009259259259259245,0.03834650486955548,0.02252234312340167,0.01582416174615381,0.5,0.4722222222222222,0.02777777777777779
frozen_spo,pretrained,301000002,lambda4,initial,frozen_spo minus control,0.051650956824973775,0.02344900590402109,0.028201950920952686,0.45370370370370366,0.5648148148148148,-0.1111111111111111,0.044194164710432915,0.021200270252767456,0.02299389445766546,0.39814814814814814,0.5277777777777778,-0.12962962962962965
frozen_spo,pretrained,301000003,lambda4,initial,frozen_spo minus control,0.027297929481223778,0.017464805532384803,0.009833123948838975,0.5462962962962963,0.5277777777777778,0.01851851851851849,0.04410139556901211,0.03888358156291624,0.005217814006095868,0.5462962962962963,0.4351851851851852,0.1111111111111111
