recording,arm,seed,learning_rate,horizon,status,standardized_rmse,physical_rmse_deg,standardized_sse,scalars,windows,per_joint_rmse_deg,error
recording_2021_12_15_21H_54M.mat,householder12,8103,0.003,128,PASS,0.6425925211758772,18.29022940312333,6976.783305189691,16896,22,"[12.369335987336283, 4.6867074471722665, 13.157069904900922, 29.875705831417736, 23.233491654032907, 15.05881231719145]",null
recording_2021_12_15_21H_54M.mat,householder,8101,0.001,64,PASS,0.588962107120301,16.61208230859206,2930.4115198920445,8448,22,"[12.426103862435436, 3.5718666761530784, 13.245889343673186, 26.771806696421713, 21.582649234967242, 11.428360193717245]",null
recording_2021_12_15_21H_54M.mat,householder,8101,0.001,128,PASS,0.7569561174921431,21.72027217281782,9681.113398113132,16896,22,"[15.760672522484366, 4.248382241443671, 16.710954556019963, 34.7493977630963, 27.554036029813098, 17.8373832423316]",null
recording_2021_12_15_21H_54M.mat,dense_bounded,8101,0.001,64,PASS,0.5267609253931314,15.07102173289141,2344.1263086576455,8448,22,"[7.976109748611415, 3.5481753256459605, 11.863681544257732, 24.195167615607335, 19.651766371287277, 13.200806957672759]",null
recording_2021_12_15_21H_54M.mat,dense_bounded,8101,0.001,128,PASS,0.6686414336804565,19.451955152905498,7553.8867740315945,16896,22,"[9.923392409167569, 4.092085496960175, 14.009517578616892, 31.777845962405642, 25.346495640667076, 17.50741434206699]",null
recording_2021_12_15_21H_54M.mat,dense_unbounded,8101,0.001,64,PASS,0.5297008894884067,14.640166715184103,2370.365457079988,8448,22,"[7.905857513861203, 4.06536172918162, 12.927727817058466, 23.77299754422269, 19.681040330853072, 9.346241619897603]",null
recording_2021_12_15_21H_54M.mat,dense_unbounded,8101,0.001,128,PASS,0.6474937154072528,18.71289523435321,7083.616091766948,16896,22,"[10.539820904018256, 4.460819740283917, 13.406487751342535, 32.40553836537253, 23.846772751454175, 13.096814484108783]",null
recording_2021_12_15_21H_54M.mat,dense_mlp,8101,0.001,64,PASS,0.5650032003522554,16.50275627156743,2696.8433514172407,8448,22,"[7.03596034037591, 4.3353720626951056, 13.941848671783987, 29.05794069869066, 19.07954141184305, 12.766269462823807]",null
recording_2021_12_15_21H_54M.mat,dense_mlp,8101,0.001,128,PASS,0.6465557248892753,19.464346955809212,7063.107623820378,16896,22,"[9.2422187847714, 4.591264716507241, 13.77685210495862, 35.83202177370905, 21.759942488751012, 14.813370963655668]",null
recording_2021_12_15_21H_54M.mat,gru32,8101,0.001,64,PASS,0.6210290366642941,17.75262356226632,3258.1998398837704,8448,22,"[12.87717533049291, 4.951377851586364, 15.094716052806502, 23.86045483599036, 19.64911170698991, 22.745037356988583]",null
recording_2021_12_15_21H_54M.mat,gru32,8101,0.001,128,PASS,0.7260811611783278,21.366520666509796,8907.467333834891,16896,22,"[16.054960748079314, 5.267026922438653, 16.7993824766694, 29.821941190224393, 22.159774913989462, 28.125483870343892]",null
recording_2021_12_15_21H_54M.mat,householder,8101,0.003,64,PASS,0.5701474759136214,16.251668565340044,2746.1756829676096,8448,22,"[12.659888501657367, 3.375151717058921, 13.007170679093042, 26.27742055267624, 20.13231910313331, 12.167019705365512]",null
recording_2021_12_15_21H_54M.mat,householder,8101,0.003,128,PASS,0.6825875242467638,20.29420419554116,7872.281104635787,16896,22,"[14.35441215196738, 3.792270557256941, 15.351982129044625, 34.95722927622721, 22.72455060470657, 16.6313392493462]",null
recording_2021_12_15_21H_54M.mat,dense_bounded,8101,0.003,64,PASS,0.49890379970480686,14.186323120010108,2102.7494514883847,8448,22,"[8.563489032517614, 3.2060834008948627, 12.576871934171702, 23.263182366903926, 17.85596571276135, 10.281507369484434]",null
recording_2021_12_15_21H_54M.mat,dense_bounded,8101,0.003,128,PASS,0.5788103138207356,17.030251810636916,5660.521226093326,16896,22,"[9.976741772278743, 3.6063112057441, 12.523816334814875, 29.40312936442055, 20.590458375466085, 13.501075341541407]",null
recording_2021_12_15_21H_54M.mat,dense_unbounded,8101,0.003,64,PASS,0.5801127371402044,17.60827457968067,2843.0120952693496,8448,22,"[6.866139811693366, 4.284935791862433, 11.92796273968476, 33.00325047000219, 19.547298695373563, 13.461639142218376]",null
recording_2021_12_15_21H_54M.mat,dense_unbounded,8101,0.003,128,PASS,0.6975152082730378,22.470985250623727,8220.368061686742,16896,22,"[9.43034048377065, 4.717145989435898, 13.349878524527792, 45.7202930262814, 20.213858836633783, 15.534598185371847]",null
recording_2021_12_15_21H_54M.mat,dense_mlp,8101,0.003,64,PASS,0.5845815330100131,17.77092243177001,2886.982084684576,8448,22,"[9.271908098843546, 4.154182838965638, 12.128165304280671, 32.74062469245044, 18.9810835377721, 14.570043185770812]",null
recording_2021_12_15_21H_54M.mat,dense_mlp,8101,0.003,128,PASS,0.6761089466451871,21.33250461989595,7723.555407467994,16896,22,"[11.686250232008062, 4.497624460292246, 11.975320477210492, 41.132760529798375, 20.69340363744495, 17.61045730355995]",null
recording_2021_12_15_21H_54M.mat,gru32,8101,0.003,64,PASS,0.6324667612678083,17.916648524802387,3379.319996309375,8448,22,"[16.11587254457483, 3.779550803651306, 13.670407704145724, 25.06566235957188, 21.80536559372159, 19.01025957266172]",null
recording_2021_12_15_21H_54M.mat,gru32,8101,0.003,128,PASS,0.7191769325260312,20.661849263734986,8738.872416849514,16896,22,"[18.92247281171045, 4.344628958600703, 13.883538586121242, 31.725944430924038, 24.414304107775752, 19.72789581056859]",null
recording_2021_12_15_21H_54M.mat,householder,8102,0.001,64,PASS,0.5683743180868148,16.29557076245522,2729.1210394115856,8448,22,"[11.86879394354879, 4.2454122860195, 12.553298682312114, 27.030580688537217, 19.078407893465393, 13.49661867936203]",null
recording_2021_12_15_21H_54M.mat,householder,8102,0.001,128,PASS,0.6547918946964365,18.90135363634716,7244.200978885079,16896,22,"[13.959519808370704, 4.261797873230896, 13.99995416015742, 31.232822532961553, 22.794254153494162, 15.47481693102988]",null
recording_2021_12_15_21H_54M.mat,dense_bounded,8102,0.001,64,PASS,0.5099497197223455,14.722175281278677,2196.8915582161044,8448,22,"[8.17310402678404, 3.4799649608568455, 13.00794512323204, 25.23923165123538, 17.487885140496804, 10.463904966779166]",null
recording_2021_12_15_21H_54M.mat,dense_bounded,8102,0.001,128,PASS,0.6005466971295215,17.132091004758635,6093.649443478961,16896,22,"[10.399595036929782, 3.73263487317854, 13.287218096204098, 28.85748813036272, 22.566000503018245, 10.9744224682235]",null
recording_2021_12_15_21H_54M.mat,dense_unbounded,8102,0.001,64,PASS,0.6095252264687343,17.274025226679296,3138.609422376484,8448,22,"[10.422077287843036, 5.958963747582769, 14.20437605127141, 29.95242653782898, 18.670570053787966, 14.09682235858701]",null
recording_2021_12_15_21H_54M.mat,dense_unbounded,8102,0.001,128,PASS,0.6859943798244401,19.91904684144679,7951.059733490535,16896,22,"[13.448490633620303, 6.194519583495823, 15.762171005450158, 34.557596069351064, 20.079184981542014, 17.76314833629324]",null
recording_2021_12_15_21H_54M.mat,dense_mlp,8102,0.001,64,PASS,0.5289602216424747,15.702698901222432,2363.7412430443123,8448,22,"[8.236523555350427, 3.8958870096216573, 12.6301571415358, 28.164513716456277, 17.09153441298173, 12.310524356446054]",null
recording_2021_12_15_21H_54M.mat,dense_mlp,8102,0.001,128,PASS,0.5947825411777006,18.02020578848964,5977.234919712513,16896,22,"[10.335035252271739, 3.9104079333662245, 12.974647030902636, 32.97102962554147, 19.251576657017647, 14.149529750496653]",null
