block,regime,arm,choose_seconds,controller_seconds,environment_seconds,found,init_seconds,paid_controller_seconds,queries,setup_allocation_seconds,steps,update_seconds,success_percent,query_fraction
4,lambda4,analytic,0.024641305086531323,0.02787432452959921,0.11760185430768405,1.0,9.308511866809105e-05,0.02787432452959921,0.0,0.0011369144976924872,80.62883407755582,0.0020030198267073094,100.0,0.0
4,lambda4,neural,2.4070373223505133,2.4191311890640916,0.12848653933437731,1.0,7.31905585067736e-05,2.4191311890640916,70.70322887412485,0.009474599990519495,70.70322887412485,0.002546076164551616,100.0,1.0
4,lambda4,period2,1.2193482993428486,1.2359051095034248,0.11573826876576458,1.0,0.00024426176559105785,1.2359051095034248,35.29950889218331,0.009487579331685899,70.56428075444721,0.0068249690632990806,100.0,0.500246137490158
4,lambda4,random_pair,1.3201257508052633,1.3372182999359115,0.1249666279892857,1.0,0.00024290067570106335,1.3372182999359115,37.79827870800076,0.009487579331685899,75.63129444592091,0.0073620691232610825,100.0,0.49977035280055776
4,lambda4,entropy,1.09776947698991,1.1145163915341818,0.11960073532477702,1.0,0.00024303592722463142,1.287393729879613,31.747814614937123,0.009487579331685899,74.22018612145162,0.007016299285361113,100.0,0.42775175156507933
5,lambda4,analytic,0.012813845800397638,0.015348814452519266,0.06901572683523648,1.0,0.00010152031865139892,0.015348814452519266,0.0,0.0011369144976924872,41.662627966819,0.0012965338357777414,100.0,0.0
5,lambda4,neural,1.061756713791147,1.0723997817366928,0.05660552432919652,1.0,7.306928452094619e-05,1.0723997817366928,31.115031891037162,0.009474599990519495,31.115031891037162,0.0010953986705053182,100.0,1.0
5,lambda4,period2,0.6601326869556517,0.6736558625643069,0.06192562629675083,1.0,0.00029745936963436524,0.6736558625643069,18.289532338467602,0.009487579331685899,36.42356695884749,0.0037381369073349368,100.0,0.5021345756480056
5,lambda4,random_pair,0.8079136688159997,0.8221493734494896,0.07521899214084768,1.0,0.0002568355318780879,0.8221493734494896,22.321809000021908,0.009487579331685899,44.55759434179492,0.004491289769925955,100.0,0.5009653086024912
5,lambda4,entropy,0.5260103132261312,0.5402721495547815,0.07432968328019275,1.0,0.0002621237482820686,0.7131494879002129,14.720465927545483,0.009487579331685899,44.55759434179492,0.004512133248682439,100.0,0.3303694049240383
6,lambda4,analytic,0.04502360857819108,0.05011103749092091,0.2205344928047341,1.0,0.0001119149149031074,0.05011103749092091,0.0,0.0011369144976924872,142.43382814793873,0.0038385995001342372,100.0,0.0
