initialization,arm,mode,size,success,wrong_goal,timeout,mean_return,mean_length
original,feedforward,cue_swapped,17,0.0,0.0,1.0,0.0,128.0
original,feedforward,cue_swapped,23,0.0,0.0,1.0,0.0,128.0
original,feedforward,intact,11,0.0,0.0,1.0,0.0,128.0
original,feedforward,intact,17,0.0,0.0,1.0,0.0,128.0
original,feedforward,intact,23,0.0,0.0,1.0,0.0,128.0
original,feedforward,native_start,11,0.0,0.0,1.0,0.0,128.0
original,feedforward,native_start,17,0.0,0.0,1.0,0.0,128.0
original,feedforward,native_start,23,0.0,0.0,1.0,0.0,128.0
original,feedforward,reset_all,11,0.0,0.0,1.0,0.0,128.0
original,feedforward,reset_all,17,0.0,0.0,1.0,0.0,128.0
original,feedforward,reset_all,23,0.0,0.0,1.0,0.0,128.0
original,gru,cue_swapped,11,0.34375,0.3229166666666667,0.3333333333333333,0.319580078125,49.333333333333336
original,gru,cue_swapped,17,0.3645833333333333,0.3020833333333333,0.3333333333333333,0.3235677083333333,53.333333333333336
original,gru,cue_swapped,23,0.328125,0.3385416666666667,0.3333333333333333,0.27736816406250003,57.333333333333336
original,gru,intact,11,0.34375,0.3229166666666667,0.3333333333333333,0.319580078125,49.333333333333336
original,gru,intact,17,0.3645833333333333,0.3020833333333333,0.3333333333333333,0.3235677083333333,53.333333333333336
original,gru,intact,23,0.328125,0.3385416666666667,0.3333333333333333,0.27736816406250003,57.333333333333336
original,gru,native_start,11,0.34375,0.3229166666666667,0.3333333333333333,0.32840576171875,46.979166666666664
original,gru,native_start,17,0.3645833333333333,0.3020833333333333,0.3333333333333333,0.3385091145833334,49.385416666666664
original,gru,native_start,23,0.328125,0.3385416666666667,0.3333333333333333,0.30179443359374997,50.807291666666664
original,gru,reset_all,11,0.34375,0.3229166666666667,0.3333333333333333,0.319580078125,49.333333333333336
original,gru,reset_all,17,0.3645833333333333,0.3020833333333333,0.3333333333333333,0.3235677083333333,53.333333333333336
original,gru,reset_all,23,0.328125,0.3385416666666667,0.3333333333333333,0.27736816406250003,57.333333333333336
original,random,intact,11,0.0078125,0.0234375,0.96875,0.00330810546875,127.390625
original,random,intact,17,0.0,0.0,1.0,0.0,128.0
original,random,intact,23,0.0,0.0,1.0,0.0,128.0
zero,fast_global,cue_swapped,11,0.5052083333333334,0.4947916666666667,0.0,0.4696858723958333,10.0
zero,fast_global,cue_swapped,17,0.515625,0.484375,0.0,0.45761718749999997,16.0
zero,fast_global,cue_swapped,23,0.4973958333333333,0.5026041666666666,0.0,0.4204549153645834,22.0
zero,fast_global,intact,11,0.5052083333333334,0.4947916666666667,0.0,0.4696858723958333,10.0
zero,fast_global,intact,17,0.515625,0.484375,0.0,0.45761718749999997,16.0
zero,fast_global,intact,23,0.4973958333333333,0.5026041666666666,0.0,0.4204549153645834,22.0
zero,fast_global,native_start,11,0.5052083333333334,0.4947916666666667,0.0,0.48237508138020835,6.46875
zero,fast_global,native_start,17,0.515625,0.484375,0.0,0.47896728515625003,10.078125
zero,fast_global,native_start,23,0.4973958333333333,0.5026041666666666,0.0,0.4556111653645833,12.2109375
zero,fast_global,reset_all,11,0.5052083333333334,0.4947916666666667,0.0,0.4696858723958333,10.0
zero,fast_global,reset_all,17,0.515625,0.484375,0.0,0.45761718749999997,16.0
zero,fast_global,reset_all,23,0.4973958333333333,0.5026041666666666,0.0,0.4204549153645834,22.0
zero,fast_global,reset_store,11,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3098958333333333,49.333333333333336
zero,fast_global,reset_store,17,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.29583333333333334,53.333333333333336
zero,fast_global,reset_store,23,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.28177083333333336,57.333333333333336
zero,fast_selective,cue_swapped,11,0.5052083333333334,0.4947916666666667,0.0,0.4696858723958333,10.0
zero,fast_selective,cue_swapped,17,0.515625,0.484375,0.0,0.45761718749999997,16.0
zero,fast_selective,cue_swapped,23,0.4973958333333333,0.5026041666666666,0.0,0.4204549153645834,22.0
zero,fast_selective,intact,11,0.5052083333333334,0.4947916666666667,0.0,0.4696858723958333,10.0
zero,fast_selective,intact,17,0.515625,0.484375,0.0,0.45761718749999997,16.0
