baseline_family,candidate_family,contrast,group,scope,seed,episodes,normalization_rows,normalization_supported_episodes,rows,supported_episodes,weight_mass,cell,cell_statistics.baseline.agreement,cell_statistics.baseline.legal_centered_mse,cell_statistics.baseline.near_mixed_wrong_mass,cell_statistics.baseline.near_no_best_mass,cell_statistics.baseline.pair_mse_best_best,cell_statistics.baseline.pair_mse_best_rest,cell_statistics.baseline.pair_mse_rest_rest,cell_statistics.baseline.raw_gap,cell_statistics.candidate.agreement,cell_statistics.candidate.legal_centered_mse,cell_statistics.candidate.near_mixed_wrong_mass,cell_statistics.candidate.near_no_best_mass,cell_statistics.candidate.pair_mse_best_best,cell_statistics.candidate.pair_mse_best_rest,cell_statistics.candidate.pair_mse_rest_rest,cell_statistics.candidate.raw_gap,cell_statistics.delta.agreement,cell_statistics.delta.legal_centered_mse,cell_statistics.delta.near_mixed_wrong_mass,cell_statistics.delta.near_no_best_mass,cell_statistics.delta.pair_mse_best_best,cell_statistics.delta.pair_mse_best_rest,cell_statistics.delta.pair_mse_rest_rest,cell_statistics.delta.raw_gap,cell_statistics.mass,cell_statistics.rows,cell_statistics.teacher_margin.conditional_mean,cell_statistics.teacher_margin.contribution,cell_statistics.teacher_margin.mass,cell_statistics.teacher_margin.rows
gru_separate_mse,gru_separate_aux,gru.separate_mse_to_separate_aux,lambda3/neural,post_age3,285000003,6,26,4,26,4,0.6666666666666666,CC,0.4537037037037037,0.09989252101651495,0.0,0.0,0.0,0.054223009001528766,0.04566951201498618,0.0,0.4537037037037037,0.0997426624416337,0.0,0.0,0.0,0.059222665644324025,0.04051999679730966,0.0,0.0,-0.0001498585748812518,0.0,0.0,0.0,0.0049996566427952666,-0.005149515217676519,0.0,0.4537037037037037,15,0.7516361207378155,0.3410200918162311,0.4537037037037037,15
gru_separate_mse,gru_separate_aux,gru.separate_mse_to_separate_aux,lambda3/neural,post_age3,285000003,6,26,4,26,4,0.6666666666666666,CW,0.03935185185185185,0.002404867993799666,0.0,0.0,0.0,0.001388765375129129,0.001016102618670537,0.0,0.0,0.0058323396654174076,0.0,0.03935185185185185,0.0,0.004293698314725702,0.0015386413506917052,0.0063043876930519395,-0.03935185185185185,0.003427471671617742,0.0,0.03935185185185185,0.0,0.002904932939596573,0.0005225387320211683,0.0063043876930519395,0.03935185185185185,2,0.16020561667049635,0.0063043876930519395,0.03935185185185185,2
gru_separate_mse,gru_separate_aux,gru.separate_mse_to_separate_aux,lambda3/neural,post_age3,285000003,6,26,4,26,4,0.6666666666666666,WC,0.0,0.0055140971668968764,0.0,0.03935185185185185,0.0,0.004496338022349804,0.0010177591445470725,0.023563941319783527,0.03935185185185185,0.0028868459512149565,0.0,0.0,0.0,0.0020932418722962977,0.0007936040789186588,0.0,0.03935185185185185,-0.0026272512156819204,0.0,-0.03935185185185185,0.0,-0.002403096150053506,-0.00022415506562841378,-0.023563941319783527,0.03935185185185185,2,0.5988013323615579,0.023563941319783527,0.03935185185185185,2
gru_separate_mse,gru_separate_aux,gru.separate_mse_to_separate_aux,lambda3/neural,post_age3,285000003,6,26,4,26,4,0.6666666666666666,WW,0.0,0.04859371915153766,0.0,0.13425925925925927,0.0,0.03522751822547905,0.013366200926058612,0.0505019536724797,0.0,0.04266700674332121,0.0,0.13425925925925927,0.0,0.03047693045530066,0.012190076288020548,0.0505019536724797,0.0,-0.005926712408216447,0.0,0.0,0.0,-0.0047505877701783895,-0.0011761246380380629,0.0,0.13425925925925927,7,0.1736123150792615,0.023309060820826778,0.13425925925925927,7
gru_separate_mse,gru_separate_aux,gru.separate_mse_to_separate_aux,lambda3/period4_hold,post_age3,285000003,6,2195,6,2195,6,1.0,CC,0.730891330891331,0.10938317793399854,0.0,0.0,0.00013442398962650512,0.03982577560401287,0.06942297834035917,0.0,0.730891330891331,0.10344661334801909,0.0,0.0,0.0004645388810381894,0.04128146747162934,0.06170060699535156,0.0,0.0,-0.0059365645859794465,0.0,0.0,0.00033011489141168427,0.0014556918676164774,-0.007722371345007605,0.0,0.730891330891331,1818,0.9319938729628248,0.681186242192365,0.730891330891331,1818
gru_separate_mse,gru_separate_aux,gru.separate_mse_to_separate_aux,lambda3/period4_hold,post_age3,285000003,6,2195,6,2195,6,1.0,CW,0.04188034188034188,0.0017546926955400888,0.0,0.0,0.0,0.00047677838842899445,0.0012779143071110944,0.0,0.0,0.006982012465103938,0.0,0.04188034188034188,0.0,0.0024493165103551783,0.004532695954748761,0.013602349857125383,-0.04188034188034188,0.005227319769563849,0.0,0.04188034188034188,0.0,0.001972538121926184,0.003254781647637667,0.013602349857125383,0.04188034188034188,29,0.324790802710953,0.013602349857125383,0.04188034188034188,29
gru_separate_mse,gru_separate_aux,gru.separate_mse_to_separate_aux,lambda3/period4_hold,post_age3,285000003,6,2195,6,2195,6,1.0,WC,0.0,0.0014197484733520463,0.0,0.04157509157509157,0.0,0.001211394915313894,0.00020835355803815257,0.011347395807541044,0.04157509157509157,0.002794896102630692,0.0,0.0,0.0,0.0019525968571250617,0.0008422992455056302,0.0,0.04157509157509157,0.001375147629278645,0.0,-0.04157509157509157,0.0,0.0007412019418111677,0.0006339456874674776,-0.011347395807541044,0.04157509157509157,28,0.27293736171442334,0.011347395807541044,0.04157509157509157,28
gru_separate_mse,gru_separate_aux,gru.separate_mse_to_separate_aux,lambda3/period4_hold,post_age3,285000003,6,2195,6,2195,6,1.0,WW,0.0,0.030178609692976078,0.0,0.18565323565323566,0.0,0.027709931625277174,0.0024686780676989035,0.029364212004693,0.0,0.028293643215084555,0.0,0.18565323565323566,0.0,0.025603591699704765,0.0026900515153797894,0.028551904011122037,0.0,-0.0018849664778915244,0.0,0.0,0.0,-0.002106339925572412,0.00022137344768088582,-0.0008123079935709621,0.18565323565323566,320,0.153791577672535,0.028551904011122037,0.18565323565323566,320
gru_separate_mse,gru_separate_aux,gru.separate_mse_to_separate_aux,lambda3/case0,post_age3,285000003,3,565,3,565,3,1.0,CC,0.8166000666000666,0.10087407194691793,0.0,0.0,5.528689453935467e-06,0.04008260082697763,0.06078594243048636,0.0,0.8166000666000666,0.08273703776694909,0.0,0.0,4.519083252627835e-06,0.036597718825124165,0.046134799858572294,0.0,0.0,-0.018137034179968838,0.0,0.0,-1.0096062013076328e-06,-0.00348488200185346,-0.014651142571914065,0.0,0.8166000666000666,545,0.6109135486252646,0.498872044494274,0.8166000666000666,545
gru_separate_mse,gru_separate_aux,gru.separate_mse_to_separate_aux,lambda3/case0,post_age3,285000003,3,565,3,565,3,1.0,CW,0.0006105006105006105,1.5264426689879716e-05,0.0,0.0,0.0,6.784251836750151e-06,8.480174853129566e-06,0.0,0.0,4.875375542382668e-06,0.0,0.0006105006105006105,0.0,3.3986577242394055e-06,1.476717818143262e-06,1.3760740212613992e-05,-0.0006105006105006105,-1.038905114749705e-05,0.0,0.0006105006105006105,0.0,-3.385594112510745e-06,-7.0034570349863035e-06,1.3760740212613992e-05,0.0006105006105006105,1,0.02254009246826172,1.3760740212613992e-05,0.0006105006105006105,1
