baseline_family,candidate_family,contrast,group,normalization_scope,phase,seeds,episodes,normalization_rows,normalization_supported_episodes,rows,supported_episodes,weight_mass,cell,cell_statistics.baseline.agreement,cell_statistics.baseline.legal_centered_mse,cell_statistics.baseline.near_mixed_wrong_mass,cell_statistics.baseline.near_no_best_mass,cell_statistics.baseline.pair_mse_best_best,cell_statistics.baseline.pair_mse_best_rest,cell_statistics.baseline.pair_mse_rest_rest,cell_statistics.baseline.raw_gap,cell_statistics.candidate.agreement,cell_statistics.candidate.legal_centered_mse,cell_statistics.candidate.near_mixed_wrong_mass,cell_statistics.candidate.near_no_best_mass,cell_statistics.candidate.pair_mse_best_best,cell_statistics.candidate.pair_mse_best_rest,cell_statistics.candidate.pair_mse_rest_rest,cell_statistics.candidate.raw_gap,cell_statistics.delta.agreement,cell_statistics.delta.legal_centered_mse,cell_statistics.delta.near_mixed_wrong_mass,cell_statistics.delta.near_no_best_mass,cell_statistics.delta.pair_mse_best_best,cell_statistics.delta.pair_mse_best_rest,cell_statistics.delta.pair_mse_rest_rest,cell_statistics.delta.raw_gap,cell_statistics.mass,cell_statistics.rows,cell_statistics.teacher_margin.conditional_mean,cell_statistics.teacher_margin.contribution,cell_statistics.teacher_margin.mass,cell_statistics.teacher_margin.rows
innovation_separate_aux,gru_separate_aux,innovation_to_gru.separate_aux,lambda3/case5,full,initial,285000001;285000002;285000003,3,24.0,3.0,9.0,3.0,0.7222222222222222,WC,0.0,0.016107696318077503,0.0,0.07407407407407407,0.0,0.013411381484633854,0.0026963148334436513,0.06432731063277633,0.07407407407407407,0.009122339792244078,0.0,0.0,0.0,0.007494754441462755,0.001627585350781323,0.0,0.07407407407407407,-0.006985356525833426,0.0,-0.07407407407407407,0.0,-0.0059166270431710985,-0.0010687294826623283,-0.06432731063277633,0.07407407407407407,0.6666666666666666,0.49581956863403326,0.03672737545437283,0.07407407407407407,0.6666666666666666
innovation_separate_aux,gru_separate_aux,innovation_to_gru.separate_aux,lambda3/case5,full,initial,285000001;285000002;285000003,3,24.0,3.0,9.0,3.0,0.7222222222222222,WW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
innovation_separate_aux,gru_separate_aux,innovation_to_gru.separate_aux,lambda4,full,initial,285000001;285000002;285000003,18,3526.0,16.0,44.0,16.0,0.27854088432897134,CC,0.23402467945921968,0.0026761130704197333,0.0,0.0,7.054500105353803e-05,0.0015599631470607771,0.0010456049223054188,0.0,0.23402467945921968,0.003824838060353459,0.0,0.0,0.00011258070219437613,0.0018067251416304258,0.0019055322165286567,0.0,0.0,0.0011487249899337253,0.0,0.0,4.20357011408381e-05,0.000246761994569649,0.0008599272942232381,0.0,0.23402467945921968,28.0,0.24491768408257056,0.057316782511318005,0.23402467945921968,28.0
innovation_separate_aux,gru_separate_aux,innovation_to_gru.separate_aux,lambda4,full,initial,285000001;285000002;285000003,18,3526.0,16.0,44.0,16.0,0.27854088432897134,CW,0.009955008342290128,0.00010812776780387155,0.0,0.0,1.4363254567719182e-06,5.6694378825791716e-05,4.9997063521307906e-05,0.0,0.0,0.000230752486208447,0.0,0.009955008342290128,1.199934202727009e-06,0.0001644021562413196,6.515039576440039e-05,0.0018958472652538247,-0.009955008342290128,0.00012262471840457546,0.0,0.009955008342290128,-2.363912540449091e-07,0.0001077077774155279,1.5153332243092481e-05,0.0018958472652538247,0.009955008342290128,4.0,0.19044155032513188,0.001895847222205353,0.009955008342290128,4.0
innovation_separate_aux,gru_separate_aux,innovation_to_gru.separate_aux,lambda4,full,initial,285000001;285000002;285000003,18,3526.0,16.0,44.0,16.0,0.27854088432897134,WC,0.0,0.00028173384237130763,0.0,0.01290546727830118,0.0,0.00017846066249595767,0.00010327317987534999,0.0018543779377594941,0.01290546727830118,0.00012197778723631746,0.0,0.0,0.0,6.246956641028608e-05,5.950822082603138e-05,0.0,0.01290546727830118,-0.00015975605513499018,0.0,-0.01290546727830118,0.0,-0.00011599109608567156,-4.3764959049318595e-05,-0.0018543779377594941,0.01290546727830118,4.666666666666667,0.14368932931838765,0.0018543779377594941,0.01290546727830118,4.666666666666667
innovation_separate_aux,gru_separate_aux,innovation_to_gru.separate_aux,lambda4,full,initial,285000001;285000002;285000003,18,3526.0,16.0,44.0,16.0,0.27854088432897134,WW,0.0,0.0004082742498765697,0.0,0.021655729249160347,2.85013268897002e-08,0.00023266820717632569,0.00017557754137335435,0.0033512435534083537,0.0,0.0004990745039087559,0.0,0.021655729249160347,1.6898661799033109e-07,0.00019570310543239681,0.00030320241185836884,0.00310513214405419,0.0,9.080025403218628e-05,0.0,0.0,1.404852911006309e-07,-3.696510174392886e-05,0.00012762487048501448,-0.0002461114093541639,0.021655729249160347,7.333333333333333,0.13028527173737198,0.0028214225698978104,0.021655729249160347,7.333333333333333
innovation_separate_aux,gru_separate_aux,innovation_to_gru.separate_aux,lambda4/analytic,full,initial,285000001;285000002;285000003,6,115.0,6.0,16.0,6.0,0.4197619047619048,CC,0.3775661375661376,0.005064406086491723,0.0,0.0,0.00014770404757862265,0.003458544441747462,0.0014581575971656382,0.0,0.3775661375661376,0.007364701041873933,0.0,0.0,0.0002945149841959798,0.0035281276446947965,0.0035420584129831566,0.0,0.0,0.0023002949553822104,0.0,0.0,0.0001468109366173572,6.958320294733491e-05,0.0020839008158175187,0.0,0.3775661375661376,11.666666666666666,0.38876376905783405,0.14678403470882032,0.3775661375661376,11.666666666666666
innovation_separate_aux,gru_separate_aux,innovation_to_gru.separate_aux,lambda4/analytic,full,initial,285000001;285000002;285000003,6,115.0,6.0,16.0,6.0,0.4197619047619048,CW,0.00537037037037037,2.6218222454324992e-05,0.0,0.0,0.0,1.1761673204765193e-05,1.44565492495598e-05,0.0,0.0,3.86639652256067e-05,0.0,0.00537037037037037,0.0,1.029997867657652e-05,2.836398654903018e-05,0.0005107858445909288,-0.00537037037037037,1.2445742771281708e-05,0.0,0.00537037037037037,0.0,-1.4616945281886727e-06,1.3907437299470378e-05,0.0005107858445909288,0.00537037037037037,0.6666666666666666,0.09511184692382812,0.0005107858445909288,0.00537037037037037,0.6666666666666666
innovation_separate_aux,gru_separate_aux,innovation_to_gru.separate_aux,lambda4/analytic,full,initial,285000001;285000002;285000003,6,115.0,6.0,16.0,6.0,0.4197619047619048,WC,0.0,0.00013579246886685588,0.0,0.009074074074074075,0.0,3.951394486800079e-05,9.62785239988551e-05,0.0010768515975387008,0.009074074074074075,9.169533377374777e-05,0.0,0.0,0.0,2.401782697402437e-05,6.76775067997234e-05,0.0,0.009074074074074075,-4.4097135093108115e-05,0.0,-0.009074074074074075,0.0,-1.5496117893976417e-05,-2.8601017199131702e-05,-0.0010768515975387008,0.009074074074074075,1.0,0.11867344136140784,0.0010768515975387008,0.009074074074074075,1.0
innovation_separate_aux,gru_separate_aux,innovation_to_gru.separate_aux,lambda4/analytic,full,initial,285000001;285000002;285000003,6,115.0,6.0,16.0,6.0,0.4197619047619048,WW,0.0,0.00023688020182622836,0.0,0.02775132275132275,0.0,0.00015210995066470464,8.477025116152372e-05,0.003250706183216559,0.0,0.0006144694364017834,0.0,0.02775132275132275,0.0,0.0002084196534511833,0.0004060497829506001,0.003250706183216559,0.0,0.0003775892345755551,0.0,0.0,0.0,5.6309702786478656e-05,0.0003212795317890764,0.0,0.02775132275132275,2.6666666666666665,0.09909590002010843,0.0027500423047908396,0.02775132275132275,2.6666666666666665
innovation_separate_aux,gru_separate_aux,innovation_to_gru.separate_aux,lambda4/neural,full,initial,285000001;285000002;285000003,6,76.0,5.0,15.0,5.0,0.20989422084623321,CC,0.1317767457860337,0.002203209529837513,0.0,0.0,7.454348153329214e-06,0.000773369543136834,0.0014223856385473502,0.0,0.1317767457860337,0.002710325044726961,0.0,0.0,5.05749384220981e-06,0.0009690479175512596,0.0017362196333334911,0.0,0.0,0.0005071155148894475,0.0,0.0,-2.396854311119404e-06,0.00019567837441442573,0.0003138339947861411,0.0,0.1317767457860337,8.666666666666666,0.11791241297341898,0.015538114069416057,0.1317767457860337,8.666666666666666
innovation_separate_aux,gru_separate_aux,innovation_to_gru.separate_aux,lambda4/neural,full,initial,285000001;285000002;285000003,6,76.0,5.0,15.0,5.0,0.20989422084623321,CW,0.018110021786492375,0.00013774125881065553,0.0,0.0,4.264795068569452e-06,7.747187362352596e-05,5.6004590118560125e-05,0.0,0.0,0.00025759332533500224,0.0,0.018110021786492375,3.562892690003055e-06,0.00015948606262956543,9.454437001543377e-05,0.0038110659273101876,-0.018110021786492375,0.00011985206652434672,0.0,0.018110021786492375,-7.019023785663979e-07,8.201418900603948e-05,3.853977989687365e-05,0.0038110659273101876,0.018110021786492375,1.3333333333333333,0.21043961030200012,0.0038110659273101876,0.018110021786492375,1.3333333333333333
