family,group,scope,seed,episodes,max_residuals.pair_mse,max_residuals.strict_margin,metrics.agreement,metrics.first_argmin_match,metrics.legal_centered_mse,metrics.near_all_best_mass,metrics.near_mixed_correct_mass,metrics.near_mixed_wrong_mass,metrics.near_no_best_mass,metrics.pair_mse_best_best,metrics.pair_mse_best_rest,metrics.pair_mse_rest_rest,metrics.raw_gap,metrics.selection_differs_from_strict_mass,metrics.strict_argmin_error_difference,metrics.strict_argmin_prediction_margin,metrics.strict_argmin_raw_gap,rows,supported_episodes,teacher_margin.conditional_mean,teacher_margin.contribution,teacher_margin.mass,teacher_margin.rows,weight_mass
hold,overall,initial,,36,0.0,0.0,0.1388888888888889,0.1111111111111111,0.08507539512836162,0.027777777777777776,0.1111111111111111,0.7037037037037037,0.10185185185185185,1.8421478334521116e-14,0.057668684206357415,0.02740671092198578,0.3737607355471011,0.0,-0.37376091215345597,-1.7660635489004629e-07,0.3737607355471011,96,34,0.20370913486854703,0.1923919607091833,0.9444444444444444,96,0.9444444444444444
hold,lambda3,initial,,18,0.0,0.0,0.018518518518518517,0.018518518518518517,0.11819342585182219,0.0,0.018518518518518517,0.9814814814814815,0.0,0.0,0.08061524076128121,0.03757818509054098,0.5534909389637135,0.0,-0.5534909389637135,0.0,0.5534909389637135,52,18,0.24361453232941802,0.24361453232941802,1.0,52,1.0
hold,lambda3/analytic,initial,,6,0.0,0.0,0.0,0.0,0.11388052126231528,0.0,0.0,1.0,0.0,0.0,0.07588467919141333,0.037995842070901946,0.5223386552598741,0.0,-0.5223386552598741,0.0,0.5223386552598741,16,6,0.22211922539605036,0.22211922539605036,1.0,16,1.0
hold,lambda3/neural,initial,,6,0.0,0.0,0.0,0.0,0.12993346123838656,0.0,0.0,1.0,0.0,0.0,0.09381739105665726,0.03611607018172928,0.5918480555216471,0.0,-0.5918480555216471,0.0,0.5918480555216471,18,6,0.31041733423868817,0.31041733423868817,1.0,18,1.0
hold,lambda3/period4_hold,initial,,6,0.0,0.0,0.05555555555555555,0.05555555555555555,0.11076629505476475,0.0,0.05555555555555555,0.9444444444444445,0.0,0.0,0.07214365203577304,0.03862264301899169,0.5462861061096191,0.0,-0.5462861061096191,0.0,0.5462861061096191,18,6,0.19830703735351562,0.19830703735351562,1.0,18,1.0
hold,lambda3/case0,initial,,3,0.0,0.0,0.1111111111111111,0.1111111111111111,0.05474582426197433,0.0,0.1111111111111111,0.8888888888888888,0.0,0.0,0.03100993535372254,0.023735888908251786,0.12944539388020834,0.0,-0.12944539388020834,0.0,0.12944539388020834,9,3,0.13317786322699654,0.13317786322699654,1.0,9,1.0
hold,lambda3/case1,initial,,3,0.0,0.0,0.0,0.0,0.11658750903504572,0.0,0.0,1.0,0.0,0.0,0.07605120625876477,0.04053630277628094,0.576184696621365,0.0,-0.576184696621365,0.0,0.576184696621365,9,3,0.2003728018866645,0.2003728018866645,1.0,9,1.0
hold,lambda3/case2,initial,,3,0.0,0.0,0.0,0.0,0.20784955450122786,0.0,0.0,1.0,0.0,0.0,0.12846306631524365,0.07938648818598419,0.9111656612820095,0.0,-0.9111656612820095,0.0,0.9111656612820095,7,3,0.24862946404351127,0.24862946404351127,1.0,7,1.0
hold,lambda3/case3,initial,,3,0.0,0.0,0.0,0.0,0.01036030913009098,0.0,0.0,1.0,0.0,0.0,0.0064631974817328025,0.0038971116483581783,0.10981241861979167,0.0,-0.10981241861979167,0.0,0.10981241861979167,9,3,0.06085925632052951,0.06085925632052951,1.0,9,1.0
hold,lambda3/case4,initial,,3,0.0,0.0,0.0,0.0,0.08971107355065062,0.0,0.0,1.0,0.0,0.0,0.07013079832103762,0.019580275229613007,0.5541813108656142,0.0,-0.5541813108656142,0.0,0.5541813108656142,9,3,0.28999000125461155,0.28999000125461155,1.0,9,1.0
hold,lambda3/case5,initial,,3,0.0,0.0,0.0,0.0,0.22990628463194362,0.0,0.0,1.0,0.0,0.0,0.17157324083718586,0.05833304379475773,1.040156152513292,0.0,-1.040156152513292,0.0,1.040156152513292,9,3,0.5286578072441949,0.5286578072441949,1.0,9,1.0
hold,lambda4,initial,,18,0.0,0.0,0.2592592592592593,0.2037037037037037,0.051957364404901056,0.05555555555555555,0.2037037037037037,0.4259259259259259,0.2037037037037037,3.684295666904223e-14,0.03472212765143362,0.017235236753430593,0.19403053213048863,0.0,-0.19403088534319843,-3.5321270978009257e-07,0.19403053213048863,44,16,0.15881556272506717,0.14116938908894858,0.8888888888888888,44,0.8888888888888888
