baseline_family,candidate_family,contrast,group,normalization_scope,phase,seed,episodes,normalization_rows,normalization_supported_episodes,rows,supported_episodes,weight_mass,cell,cell_statistics.baseline.agreement,cell_statistics.baseline.legal_centered_mse,cell_statistics.baseline.near_mixed_wrong_mass,cell_statistics.baseline.near_no_best_mass,cell_statistics.baseline.pair_mse_best_best,cell_statistics.baseline.pair_mse_best_rest,cell_statistics.baseline.pair_mse_rest_rest,cell_statistics.baseline.raw_gap,cell_statistics.candidate.agreement,cell_statistics.candidate.legal_centered_mse,cell_statistics.candidate.near_mixed_wrong_mass,cell_statistics.candidate.near_no_best_mass,cell_statistics.candidate.pair_mse_best_best,cell_statistics.candidate.pair_mse_best_rest,cell_statistics.candidate.pair_mse_rest_rest,cell_statistics.candidate.raw_gap,cell_statistics.delta.agreement,cell_statistics.delta.legal_centered_mse,cell_statistics.delta.near_mixed_wrong_mass,cell_statistics.delta.near_no_best_mass,cell_statistics.delta.pair_mse_best_best,cell_statistics.delta.pair_mse_best_rest,cell_statistics.delta.pair_mse_rest_rest,cell_statistics.delta.raw_gap,cell_statistics.mass,cell_statistics.rows,cell_statistics.teacher_margin.conditional_mean,cell_statistics.teacher_margin.contribution,cell_statistics.teacher_margin.mass,cell_statistics.teacher_margin.rows
innovation_separate_mse,gru_separate_mse,innovation_to_gru.separate_mse,lambda4/period4_hold,full,initial,285000002,6,3335,5,13,5,0.205966527378776,WW,0.0,0.0007807634813318316,0.0,0.006155509126258669,0.0,0.000607067724284638,0.00017369575704719354,0.0018799399745668074,0.0,0.0008023009638325004,0.0,0.006155509126258669,0.0,0.0005294254353670895,0.00027287552846541087,0.0018799399745668074,0.0,2.1537482500668723e-05,0.0,0.0,0.0,-7.764228891754854e-05,9.917977141821732e-05,0.0,0.006155509126258669,3,0.3054077146189593,0.0018799399745668074,0.006155509126258669,3
innovation_separate_mse,gru_separate_mse,innovation_to_gru.separate_mse,lambda4/case0,full,initial,285000002,3,123,3,9,3,0.09666666666666666,CC,0.06,0.0017591210701054176,0.0,0.0,0.0,0.0014386168040477463,0.00032050426605767117,0.0,0.06,0.0038501448627994254,0.0,0.0,0.0,0.0019061495315236242,0.0019439953312758006,0.0,0.0,0.0020910237926940077,0.0,0.0,0.0,0.00046753272747587804,0.0016234910652181292,0.0,0.06,5,0.059799759476273154,0.0035879855685763892,0.06,5
innovation_separate_mse,gru_separate_mse,innovation_to_gru.separate_mse,lambda4/case0,full,initial,285000002,3,123,3,9,3,0.09666666666666666,CW,0.027777777777777776,0.0001814855578332855,0.0,0.0,0.0,0.0001324936093220054,4.899194851128009e-05,0.0,0.0,0.0007172227728410185,0.0,0.027777777777777776,0.0,0.0002705039284794313,0.00044671884436158713,0.0013590918646918403,-0.027777777777777776,0.000535737215007733,0.0,0.027777777777777776,0.0,0.00013801031915742593,0.000397726895850307,0.0013590918646918403,0.027777777777777776,2,0.04892730712890625,0.0013590918646918403,0.027777777777777776,2
innovation_separate_mse,gru_separate_mse,innovation_to_gru.separate_mse,lambda4/case0,full,initial,285000002,3,123,3,9,3,0.09666666666666666,WC,0.0,0.00011577304473677133,0.0,0.0044444444444444444,0.0,3.1176135388603954e-05,8.459690934816738e-05,0.00042271931966145833,0.0044444444444444444,0.0003185222760496092,0.0,0.0,0.0,0.00011963084743506947,0.0001988914286145397,0.0,0.0044444444444444444,0.00020274923131283784,0.0,-0.0044444444444444444,0.0,8.845471204646552e-05,0.00011429451926637233,-0.00042271931966145833,0.0044444444444444444,1,0.09511184692382812,0.00042271931966145833,0.0044444444444444444,1
innovation_separate_mse,gru_separate_mse,innovation_to_gru.separate_mse,lambda4/case0,full,initial,285000002,3,123,3,9,3,0.09666666666666666,WW,0.0,3.117663079238911e-05,0.0,0.0044444444444444444,0.0,1.8574699335860914e-05,1.260193145652819e-05,0.0002174716525607639,0.0,9.373179453784056e-05,0.0,0.0044444444444444444,0.0,4.579925289160908e-05,4.793254164623148e-05,0.0002174716525607639,0.0,6.255516374545146e-05,0.0,0.0,0.0,2.7224553555748164e-05,3.533061018970329e-05,0.0,0.0044444444444444444,1,0.048931121826171875,0.0002174716525607639,0.0044444444444444444,1
innovation_separate_mse,gru_separate_mse,innovation_to_gru.separate_mse,lambda4/case1,full,initial,285000002,3,62,3,9,3,0.1550125313283208,CC,0.14310776942355888,0.0017816367328801817,0.0,0.0,4.140030794440777e-06,0.0006330091855335805,0.0011444875165521604,0.0,0.14310776942355888,0.0041500369283317025,0.0,0.0,0.00037196501286008017,0.0018614081841702142,0.0019166637313014082,0.0,0.0,0.0023684001954515205,0.0,0.0,0.0003678249820656394,0.0012283989986366336,0.0007721762147492476,0.0,0.14310776942355888,8,0.12510390707573835,0.017903341087781098,0.14310776942355888,8
innovation_separate_mse,gru_separate_mse,innovation_to_gru.separate_mse,lambda4/case1,full,initial,285000002,3,62,3,9,3,0.1550125313283208,CW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.0,0.0,0
innovation_separate_mse,gru_separate_mse,innovation_to_gru.separate_mse,lambda4/case1,full,initial,285000002,3,62,3,9,3,0.1550125313283208,WC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.0,0.0,0
innovation_separate_mse,gru_separate_mse,innovation_to_gru.separate_mse,lambda4/case1,full,initial,285000002,3,62,3,9,3,0.1550125313283208,WW,0.0,0.0015560066890971246,0.0,0.011904761904761904,0.0,0.0012120302162332206,0.00034397647286390397,0.003730387914748419,0.0,0.0015897984004433444,0.0,0.011904761904761904,0.0,0.001054928176142225,0.0005348702243011195,0.003730387914748419,0.0,3.3791711346219805e-05,0.0,0.0,0.0,-0.0001571020400909956,0.00019089375143721554,0.0,0.011904761904761904,1,0.3133525848388672,0.003730387914748419,0.011904761904761904,1
innovation_separate_mse,gru_separate_mse,innovation_to_gru.separate_mse,lambda4/case2,full,initial,285000002,3,5,1,3,1,0.19999999999999998,CC,0.13333333333333333,0.00481778051943517,0.0,0.0,0.0,0.002034177625819211,0.0027836028936159586,0.0,0.13333333333333333,0.005648632072840579,0.0,0.0,0.0,0.0014866338066743387,0.004161998266166241,0.0,0.0,0.0008308515534054088,0.0,0.0,0.0,-0.0005475438191448724,0.0013783953725502822,0.0,0.13333333333333333,2,0.7690696716308594,0.10254262288411459,0.13333333333333333,2
